i,x,y,vx,vy,ax,ay,fx,fy
0,16.321910,7.604854,0.741904,-1.053651,19.214040,3.152857,19.214040,3.152857
1,5.156246,1.050419,-0.495254,0.373786,60.893044,-1.654362,60.893044,-1.654362
2,12.194696,18.446625,1.027184,-0.556157,9.657843,-9.864298,9.657843,-9.864298
3,5.674249,3.053270,0.746049,0.051753,4.706116,-1.731260,4.706116,-1.731260
4,1.488487,14.822255,-0.381471,-0.456011,-0.651203,1.220047,-0.651203,1.220047
5,9.655851,3.820538,0.053503,-0.248877,2.500539,0.580240,2.500539,0.580240
6,11.515198,19.216042,-0.226697,0.390568,-10.398586,10.568315,-10.398586,10.568315
7,19.939595,17.014461,0.387265,-1.870648,-3.260877,-1.680143,-3.260877,-1.680143
8,4.193208,19.903409,0.137670,-3.060295,-1.406439,1.988549,-1.406439,1.988549
9,12.762673,3.230746,-0.032811,-1.765117,3.341520,-4.277849,3.341520,-4.277849
10,11.683988,3.128279,-0.215998,-0.865163,-2.946124,-0.230245,-2.946124,-0.230245
11,6.364467,4.727152,-0.796375,-0.632386,-2.316018,-1.107280,-2.316018,-1.107280
12,4.098180,13.521605,0.683922,0.207243,19.741479,-10.768135,19.741479,-10.768135
13,3.488713,18.716187,0.342825,0.576035,1.300637,0.283135,1.300637,0.283135
14,13.537079,15.656917,-0.830347,1.117198,-18.508813,4.959403,-18.508813,4.959403
15,8.711155,17.539358,-0.674583,0.064630,1.054901,0.191575,1.054901,0.191575
16,1.710416,0.462372,1.509221,0.524435,-9.250576,18.720513,-9.250576,18.720513
17,0.413788,8.093051,0.567312,-0.677861,-1.461644,-1.881743,-1.461644,-1.881743
18,13.098328,19.619952,-1.558809,-0.290630,-1.501891,-1.105699,-1.501891,-1.105699
19,6.337938,8.140440,-0.867585,-0.198288,-2.671503,-0.894738,-2.671503,-0.894738
20,4.530876,2.345676,1.795953,-0.863548,0.818361,-9.466485,0.818361,-9.466485
21,18.664027,16.941282,0.068727,0.157163,2.229619,-1.433160,2.229619,-1.433160
22,5.098848,11.283605,0.501296,0.209901,-2.362258,-0.714656,-2.362258,-0.714656
23,4.209796,1.085128,1.724046,-1.768552,-63.852637,1.864943,-63.852637,1.864943
24,6.323833,6.984426,-1.386264,2.226864,-2.041741,2.476097,-2.041741,2.476097
25,6.755890,16.936593,-1.838121,0.059432,-6.362265,5.477240,-6.362265,5.477240
26,3.187805,13.948082,-0.708607,1.091069,-19.201052,10.135189,-19.201052,10.135189
