i,x,y,vx,vy,ax,ay,fx,fy
0,16.644240,4.633301,-0.127323,0.833353,0.561575,2.826105,0.561575,2.826105
1,5.982275,0.014715,1.276990,-0.783382,-5.205441,-7.678934,-5.205441,-7.678934
2,13.838535,18.089492,2.056980,1.210384,0.390579,-1.573471,0.390579,-1.573471
3,6.715821,0.768119,-0.479201,2.111587,6.006961,5.678918,6.006961,5.678918
4,1.765003,17.135989,0.255410,-0.019334,2.684557,-10.277656,2.684557,-10.277656
5,11.315718,5.768724,0.148557,0.159754,-3.429218,2.088303,-3.429218,2.088303
6,13.342649,1.292338,-0.649953,1.404957,1.348441,-0.413409,1.348441,-0.413409
7,18.373301,18.592708,-0.948466,0.350591,-0.589010,-1.401016,-0.589010,-1.401016
8,4.286802,1.420464,0.285914,0.337493,0.025206,-0.346258,0.025206,-0.346258
9,12.306404,3.789584,1.220185,-0.946562,-0.681851,-0.672565,-0.681851,-0.672565
10,11.643895,2.414693,1.060281,-0.502258,0.365166,0.578808,0.365166,0.578808
11,10.378345,4.068784,-1.496443,0.684889,-1.481074,-1.065201,-1.481074,-1.065201
12,5.733059,11.586362,0.390877,0.434988,0.042862,2.113137,0.042862,2.113137
13,4.580457,18.900325,-0.581644,-0.507003,2.885971,-4.414294,2.885971,-4.414294
14,14.689821,0.872254,0.416940,-2.915275,-0.112690,0.464677,-0.112690,0.464677
15,8.716859,19.098656,-0.470365,-0.926479,-1.726783,-0.180859,-1.726783,-0.180859
16,19.737511,1.426835,-0.294629,0.327324,0.218327,-1.189311,0.218327,-1.189311
17,16.068703,8.833806,0.915404,-0.044679,-3.321504,1.220898,-3.321504,1.220898
18,16.299448,2.474670,-1.591140,-0.983314,2.160688,-1.192654,2.160688,-1.192654
19,6.446903,8.000524,0.624332,-1.534725,-2.560253,-0.754989,-2.560253,-0.754989
20,1.191555,6.586730,2.163256,-0.723470,12.395752,6.489403,12.395752,6.489403
21,15.023557,19.137056,-0.377722,-1.350346,-0.669393,-0.571874,-0.669393,-0.571874
22,5.158743,8.208943,-0.999991,0.382240,0.421132,-1.429254,0.421132,-1.429254
23,1.900902,0.910922,0.324132,-0.005206,0.000527,-0.036235,0.000527,-0.036235
24,9.995933,6.341227,-1.541067,-0.120088,3.184877,0.734507,3.184877,0.734507
25,6.202061,18.555331,1.478820,-0.403022,1.330239,2.548456,1.330239,2.548456
26,1.013167,13.411909,2.134188,-0.314001,17.174403,-9.639221,17.174403,-9.639221
27,17.645071,5.313878,1.838410,-0.068511,-11.684236,5.160796,-11.684236,5.160796
28,17.402528,19.978344,-1.481473,-0.604464,0.794095,0.021851,0.794095,0.021851
29,5.391894,5.045258,-0.371015,-0.030728,0.197334,0.657719,0.197334,0.657719
30,0.179688,3.388101,0.138854,0.751845,-1.258283,-0.105311,-1.258283,-0.105311
31,10.225019,12.577211,0.792100,-1.065122,4.758384,-14.330536,4.758384,-14.330536
32,3.797973,17.849092,-0.366003,-1.704212,-0.489312,0.581052,-0.489312,0.581052
33,8.051949,14.860914,1.019779,-1.204063,-0.702622,-0.399554,-0.702622,-0.399554
34,11.177412,0.707316,-1.187892,0.039934,-0.249978,-1.784759,-0.249978,-1.784759
35,17.180155,11.687963,-0.552907,0.930553,-0.224219,1.455373,-0.224219,1.455373
36,15.242887,13.843631,-0.086409,0.574329,0.337537,-1.396634,0.337537,-1.396634
37,13.677883,12.778505,-0.957013,-0.784956,1.666663,0.134730,1.666663,0.134730
38,0.267107,6.119654,-0.530467,1.038788,-10.900244,-5.340932,-10.900244,-5.340932
39,17.584656,2.753034,2.260375,0.053046,3.171215,-9.336383,3.171215,-9.336383
40,18.754502,15.088462,-0.300307,0.256848,0.421366,-0.148829,0.421366,-0.148829
41,0.146925,13.928917,-1.097751,0.719444,-38.820915,-19.714378,-38.820915,-19.714378
42,14.839470,8.834689,1.562324,-1.071978,0.970513,-1.675746,0.970513,-1.675746
43,10.035461,13.583852,0.013998,-0.692429,-0.403481,14.071342,-0.403481,14.071342
44,5.995450,6.572614,0.334223,0.833622,-0.213721,0.776430,-0.213721,0.776430
45,2.961697,16.990584,1.338371,0.600968,4.287211,9.339402,4.287211,9.339402
46,7.731023,2.212961,0.692020,-1.073206,0.348611,-8.597820,0.348611,-8.597820
47,15.013514,4.208433,-1.402670,0.975057,0.690386,0.110972,0.690386,0.110972
48,13.100400,7.300997,-1.091919,-1.190804,0.545964,1.743677,0.545964,1.743677
49,8.941028,11.731602,-1.281031,0.794414,1.166608,0.439116,1.166608,0.439116
50,18.579446,17.179965,2.187823,0.249485,-2.413128,1.830411,-2.413128,1.830411
51,10.344815,10.570338,1.504786,-1.639843,-9.708815,8.077848,-9.708815,8.077848
52,11.648726,12.103997,1.735267,1.427812,-1.236421,2.486601,-1.236421,2.486601
53,1.224625,11.933714,0.413100,1.276537,-0.148626,1.272199,-0.148626,1.272199
54,13.134650,8.590489,-1.945205,-1.439807,5.460219,-2.380138,5.460219,-2.380138
55,3.823250,12.051638,0.411408,2.537434,0.043763,1.331802,0.043763,1.331802
56,9.286858,3.351730,0.258222,-1.255665,1.036352,1.121448,1.036352,1.121448
57,17.216365,13.153526,0.453372,-0.311118,-0.797535,-1.402502,-0.797535,-1.402502
58,2.328990,16.155494,-0.727768,-1.293179,-5.651118,-6.580814,-5.651118,-6.580814
59,18.631661,1.496689,-0.419882,-0.178601,-1.022293,-0.976708,-1.022293,-0.976708
60,18.655793,3.413840,0.812448,-0.621269,-3.169061,1.248303,-3.169061,1.248303
61,15.631943,12.759624,-0.647601,1.188019,0.243164,1.204639,0.243164,1.204639
62,18.567665,5.919288,0.721471,-1.515529,1.264247,-1.426755,1.264247,-1.426755
63,5.425039,13.055776,1.540485,2.031968,-5.954934,2.171950,-5.954934,2.171950
64,5.238149,10.592768,-0.284355,0.231100,-1.437691,-0.904158,-1.437691,-0.904158
65,3.937911,6.433796,1.965320,0.748562,-0.055696,2.419480,-0.055696,2.419480
66,3.405760,13.394666,0.100640,0.364089,0.566483,-1.599735,0.566483,-1.599735
67,16.100773,1.261563,1.274023,-0.636480,-0.555907,1.831141,-0.555907,1.831141
68,12.064585,8.592506,-0.919942,0.899574,-5.176223,-0.179861,-5.176223,-0.179861
69,8.878973,8.651200,-1.450358,-0.456045,0.059243,0.003125,0.059243,0.003125
70,3.923942,7.626631,-0.883207,-0.068514,4.147355,-3.307022,4.147355,-3.307022
71,1.751276,18.180091,-0.795030,-0.997458,0.469961,9.150833,0.469961,9.150833
72,15.815843,16.825300,0.665021,0.452479,10.089922,-5.940950,10.089922,-5.940950
73,15.397969,9.782378,-0.457472,1.597829,1.688373,0.093425,1.688373,0.093425
74,10.929694,19.433077,1.525491,0.449000,0.379527,2.184542,0.379527,2.184542
75,12.575610,12.759996,-0.164868,-0.569178,-3.169664,0.156030,-3.169664,0.156030
76,14.190787,6.924458,2.404657,0.145791,-0.583856,0.429361,-0.583856,0.429361
77,14.945123,17.387588,-0.224579,0.758559,-11.477559,7.837152,-11.477559,7.837152
78,17.293059,3.753104,-1.415642,0.371817,1.089151,8.858649,1.089151,8.858649
79,12.414244,5.799784,1.031866,-0.388969,1.823911,0.715525,1.823911,0.715525
