i,x,y,vx,vy,ax,ay,fx,fy
0,16.935153,4.069876,1.403404,0.870913,-1.583334,-3.703880,-1.583334,-3.703880
1,3.611785,1.222391,1.126429,0.992409,-8.482221,73.284008,-8.482221,73.284008
2,13.755971,18.104374,0.729951,0.116029,-0.035442,-0.037089,-0.035442,-0.037089
3,5.692122,19.925227,-0.287625,-0.948970,6.265403,0.820065,6.265403,0.820065
4,3.181203,17.694621,-0.884449,-0.943072,-0.314918,0.293072,-0.314918,0.293072
5,8.778560,6.860081,0.435573,-1.384815,-1.734801,-1.380039,-1.734801,-1.380039
6,10.634030,17.483721,1.794368,1.255406,-0.234772,-0.309799,-0.234772,-0.309799
7,18.075857,16.154414,0.785093,0.632428,1.236828,-1.081421,1.236828,-1.081421
8,3.865848,3.539300,0.560740,-1.324793,-0.212293,0.960630,-0.212293,0.960630
9,11.485083,3.084126,1.881750,0.713421,-0.448296,1.370620,-0.448296,1.370620
10,10.956040,0.007464,-0.333973,1.349974,1.576393,-0.412260,1.576393,-0.412260
11,11.875320,4.551758,1.210593,-0.017685,-10.729945,-0.748896,-10.729945,-0.748896
12,4.989344,10.844016,1.343031,0.580514,1.563799,-1.725417,1.563799,-1.725417
13,4.686400,19.580987,1.339255,0.646971,0.932870,-10.785451,0.932870,-10.785451
14,14.713316,5.977509,0.118410,-1.150085,-25.373918,1.800350,-25.373918,1.800350
15,8.523722,1.694892,-1.101914,-1.003337,3.193541,-1.688601,3.193541,-1.688601
16,2.376460,3.205485,-1.032981,-1.144808,0.902193,0.334418,0.902193,0.334418
17,18.129868,6.994123,-0.819079,1.213418,-51.205731,-5.693504,-51.205731,-5.693504
18,14.414125,4.092306,-0.831288,0.197329,-0.139862,0.278966,-0.139862,0.278966
19,7.312698,10.566120,-0.642579,0.181801,-0.493505,-0.471662,-0.493505,-0.471662
20,0.237292,7.696073,-2.232357,-0.968111,-0.874324,-1.827826,-0.874324,-1.827826
21,18.024368,2.539495,-0.975593,-0.443303,1.101881,-0.721648,1.101881,-0.721648
22,7.266444,8.145858,1.492398,0.615708,0.101143,2.045232,0.101143,2.045232
23,0.622129,1.240426,0.811135,-1.777225,-0.748616,1.181229,-0.748616,1.181229
24,10.829210,8.909291,0.232542,-1.254802,2.427561,0.282764,2.427561,0.282764
25,4.965500,0.749613,0.145219,0.032283,11.447883,6.182098,11.447883,6.182098
26,1.175704,10.684300,0.317192,0.552675,0.183951,-0.264890,0.183951,-0.264890
27,17.170933,5.133141,-1.448634,-1.087091,0.241524,2.865897,0.241524,2.865897
28,0.355272,18.067436,-0.015150,2.427693,0.278342,-0.172543,0.278342,-0.172543
29,4.268942,5.755726,1.334907,-0.365424,-3.868707,1.824314,-3.868707,1.824314
30,0.917097,4.606680,-0.648752,0.512356,14.659096,15.723259,14.659096,15.723259
31,8.745976,14.777248,0.494376,-1.024362,0.422102,1.211228,0.422102,1.211228
32,2.431899,19.106470,-0.405155,0.887110,1.434497,-1.435448,1.434497,-1.435448
33,4.398408,17.422168,0.495637,1.051316,-3.316438,2.703042,-3.316438,2.703042
34,12.099200,19.740558,1.400575,0.459951,-1.764484,0.362558,-1.764484,0.362558
35,18.484274,10.558493,-0.864019,1.186571,-0.338756,0.654233,-0.338756,0.654233
