i,x,y,vx,vy,ax,ay,fx,fy
0,16.639491,5.554769,0.443331,-0.369704,-0.991203,-0.170535,-0.991203,-0.170535
1,5.869181,0.378127,-0.668634,0.977957,-0.277191,0.355246,-0.277191,0.355246
2,12.430666,18.391958,-0.284823,0.681045,0.113319,-2.437338,0.113319,-2.437338
3,6.646253,3.508952,-1.676868,-0.947085,-11.797150,0.773140,-11.797150,0.773140
4,1.761811,15.691631,0.285385,-1.315136,-0.362381,-3.319189,-0.362381,-3.319189
5,10.514130,5.091792,-1.206675,-0.875220,4.362687,-0.524039,4.362687,-0.524039
6,14.091841,1.106960,-2.061760,-1.281213,-0.285474,-0.327553,-0.285474,-0.327553
7,18.223354,18.358553,1.134989,-1.049341,-3.415442,-1.372327,-3.415442,-1.372327
8,4.773895,1.753216,0.330376,0.081210,0.253391,-0.345677,0.253391,-0.345677
9,12.829716,2.695686,-0.899399,-0.465517,-2.323835,-1.489985,-2.323835,-1.489985
10,11.602800,3.232091,0.392435,0.761834,1.890207,-0.418373,1.890207,-0.418373
11,7.679392,3.551223,-0.462663,-0.194542,-6.455235,2.652938,-6.455235,2.652938
12,5.502030,11.868344,-0.935756,-0.788406,0.859800,1.832723,0.859800,1.832723
13,4.027404,18.997196,0.574947,-0.903982,-1.801958,-1.146599,-1.801958,-1.146599
14,13.628583,17.492198,-1.946875,-1.722809,-1.461341,0.653874,-1.461341,0.653874
15,8.514190,17.628124,1.662553,-0.220830,-0.763457,1.204583,-0.763457,1.204583
16,19.950531,0.744686,0.887834,-0.845815,-0.851191,0.239759,-0.851191,0.239759
17,17.159525,9.184757,0.059551,-0.004371,-2.753111,-0.044541,-2.753111,-0.044541
18,15.131476,19.892354,-1.220472,-0.154700,-2.048713,2.171586,-2.048713,2.171586
19,6.546258,7.650519,0.061642,0.393822,-0.854353,0.775203,-0.854353,0.775203
20,3.563905,4.701100,-0.920559,-1.610412,2.277607,0.191150,2.277607,0.191150
21,16.972869,17.694716,0.927859,-0.983004,1.965534,-0.874230,1.965534,-0.874230
22,4.817812,9.496703,1.289118,0.711586,-4.715240,5.597422,-4.715240,5.597422
23,2.676095,0.753664,-0.054968,1.028242,0.707701,-1.545227,0.707701,-1.545227
