i,x,y,vx,vy,ax,ay,fx,fy
0,16.611354,7.456586,1.718843,-0.598555,-1.818832,2.403916,-1.818832,2.403916
1,5.542101,1.144528,2.373928,0.668961,-0.281997,0.613062,-0.281997,0.613062
2,12.408773,18.343029,1.146554,-0.317893,-0.654544,3.313734,-0.654544,3.313734
3,5.711254,3.088869,-0.606730,0.427968,-5.641045,1.657242,-5.641045,1.657242
4,1.392803,14.740820,-0.663028,-0.500976,0.062931,-1.073187,0.062931,-1.073187
5,9.650817,3.771040,-0.205394,-0.328276,-2.022098,-0.633203,-2.022098,-0.633203
6,11.450484,19.311548,-0.204641,0.446146,2.692393,-0.950397,2.692393,-0.950397
7,19.977391,16.689726,0.526718,-0.846872,11.753630,22.690283,11.753630,22.690283
8,4.251184,19.440219,1.569591,-1.044118,17.364419,18.022689,17.364419,18.022689
9,12.734374,2.991339,-1.041727,-0.209011,-6.239514,7.696543,-6.239514,7.696543
10,11.624128,2.971276,-0.342511,-0.875919,-0.660304,-0.098106,-0.660304,-0.098106
11,6.192666,4.595142,-1.009022,-0.820783,1.251423,-0.589080,1.251423,-0.589080
12,4.286801,13.626832,1.127663,1.791681,0.331225,7.656745,0.331225,7.656745
13,3.518020,18.761752,-1.084113,-1.166319,-17.399224,-17.204452,-17.399224,-17.204452
14,13.593803,15.603490,1.669491,-1.729015,0.617197,0.677169,0.617197,0.677169
15,8.615887,17.550461,-0.353199,0.075923,2.126733,0.590774,2.126733,0.590774
16,1.804791,0.807375,-0.619735,2.196674,-10.969741,-0.471715,-10.969741,-0.471715
17,0.492304,7.941449,0.308302,-1.000636,-1.387942,-1.729545,-1.387942,-1.729545
18,12.787319,19.542043,-1.932880,-0.620542,-2.693460,-2.541254,-2.693460,-2.541254
19,6.168937,8.256944,-0.732212,0.350714,3.497627,-31.881528,3.497627,-31.881528
20,4.882998,2.082565,2.118177,-1.569612,0.969526,2.424371,0.969526,2.424371
21,18.739538,16.987366,0.848153,0.457639,3.510523,0.396812,3.510523,0.396812
22,5.157365,11.307711,0.217753,0.094719,0.811505,1.419763,0.811505,1.419763
23,4.003150,0.747048,-1.575685,-1.994563,-0.461879,-1.488333,-0.461879,-1.488333
24,6.026975,7.183928,-1.943346,-0.252362,-2.335992,-1.735077,-2.335992,-1.735077
25,6.444810,16.923019,-1.223290,-0.558714,5.294585,-5.769840,5.294585,-5.769840
26,3.013411,14.180123,-0.853609,1.295125,1.209444,0.127848,1.209444,0.127848
27,17.016547,8.719786,-1.157746,1.657075,-2.833234,-1.080703,-2.833234,-1.080703
28,16.798998,18.610812,-0.425994,0.151532,-0.308257,-1.057648,-0.308257,-1.057648
29,4.435241,3.292800,-1.025436,-0.417289,3.880705,-0.410550,3.880705,-0.410550
30,2.251615,5.240403,-1.013027,1.238043,0.959139,0.816323,0.959139,0.816323
31,11.823618,10.757184,0.264420,-0.853859,1.369899,0.731361,1.369899,0.731361
32,5.701433,17.686980,-0.333970,1.489841,-6.088424,4.343423,-6.088424,4.343423
33,11.969829,13.625398,-1.211331,1.450260,-1.946602,0.605226,-1.946602,0.605226
34,8.879691,18.813182,-0.619642,-0.570157,0.649477,-2.828026,0.649477,-2.828026
35,14.296513,11.933567,-0.177448,-0.498453,-9.511742,-9.714765,-9.511742,-9.714765
36,14.881588,15.276162,1.750733,-0.849660,-2.718817,-0.614104,-2.718817,-0.614104
37,12.803375,12.918164,-1.455375,1.383278,2.235602,-1.550719,2.235602,-1.550719
38,19.597141,6.981198,-0.088409,-0.696704,1.621824,1.503409,1.621824,1.503409
39,17.925999,4.640597,0.554511,0.221419,-1.808170,-1.528573,-1.808170,-1.528573
40,18.129260,16.091734,1.517663,-0.885841,7.013776,-9.607710,7.013776,-9.607710
41,0.304232,15.023411,0.260553,-1.210911,-3.109651,0.314328,-3.109651,0.314328
42,15.854995,9.288810,-0.328108,2.053530,1.572166,-1.136695,1.572166,-1.136695
43,10.993394,11.480203,-0.363549,-1.175417,0.669917,2.253735,0.669917,2.253735
44,3.311626,4.573894,-0.760930,0.425859,-2.152032,0.017492,-2.152032,0.017492
45,2.335240,19.597432,0.839224,-0.204571,1.554851,3.120768,1.554851,3.120768
46,6.763565,2.756153,0.437176,-0.029299,1.174062,-0.257419,1.174062,-0.257419
47,13.105385,4.433980,-0.631758,1.019739,-0.322849,-1.290650,-0.322849,-1.290650
48,13.571480,7.153559,0.205179,0.789543,0.661092,-0.281036,0.661092,-0.281036
49,6.650384,15.384288,-0.140455,1.152818,1.138373,1.528988,1.138373,1.528988
50,19.673906,18.515732,-0.463063,-0.348726,-0.168800,-0.641362,-0.168800,-0.641362
51,6.802459,11.954892,-1.217458,0.645086,-0.440259,-0.107938,-0.440259,-0.107938
52,11.190556,8.258544,-0.803626,-1.667731,-0.955892,-1.051073,-0.955892,-1.051073
53,1.314867,11.733558,-0.217166,-0.891336,0.136335,0.066016,0.136335,0.066016
54,10.081116,8.467221,-0.695123,1.946051,0.537989,-0.952052,0.537989,-0.952052
55,7.624747,16.133629,0.603116,-0.117061,-2.792778,-0.136821,-2.792778,-0.136821
56,6.957559,0.680923,-1.360929,-1.601749,-1.206971,0.530431,-1.206971,0.530431
57,18.992668,14.783219,1.126161,0.348294,2.310112,2.599634,2.310112,2.599634
58,4.514068,15.245732,2.533669,0.272419,-0.104230,-0.993840,-0.104230,-0.993840
59,19.104017,1.111796,0.729455,0.056319,0.113120,0.691339,0.113120,0.691339
60,2.494565,3.333146,0.990945,-0.260068,0.899925,1.202257,0.899925,1.202257
61,15.036135,12.651260,1.579754,0.395422,8.893498,9.560105,8.893498,9.560105
62,2.524921,6.352431,1.170158,1.485901,-1.622977,-1.458078,-1.622977,-1.458078
63,9.498055,13.857463,0.673601,-0.938296,0.362929,0.248095,0.362929,0.248095
64,4.077162,12.586202,-0.154653,0.342764,-0.945810,-6.527130,-0.945810,-6.527130
65,6.048070,9.228842,0.098482,1.588672,-4.992721,34.332989,-4.992721,34.332989
66,2.484395,15.709787,0.114823,-0.573567,-0.723143,-1.646097,-0.723143,-1.646097
67,19.456209,2.696464,1.321994,0.150317,-0.195232,-0.671786,-0.195232,-0.671786
68,8.799253,6.269138,0.044112,-0.164125,0.320188,0.132305,0.320188,0.132305
69,8.945010,10.357804,0.356793,0.387853,0.093896,-0.041874,0.093896,-0.041874
70,3.570589,8.048293,-1.022066,-1.396233,1.220416,0.518607,1.220416,0.518607
71,4.407053,17.890574,1.565168,1.460691,0.405026,2.224427,0.405026,2.224427
72,17.376907,16.823232,0.885910,0.459119,-5.613268,7.311808,-5.613268,7.311808
73,14.638340,10.441617,0.961319,-2.575654,0.222966,0.683724,0.222966,0.683724
74,13.510633,2.294034,1.341471,-0.349143,7.076009,-6.409510,7.076009,-6.409510
75,14.138501,14.014312,1.118725,-0.701061,0.389397,0.650612,0.389397,0.650612
76,16.995489,11.432955,0.289447,1.043702,-0.131027,-0.034795,-0.131027,-0.034795
77,16.223315,17.625901,-0.978086,-0.035644,1.844744,-0.233412,1.844744,-0.233412
78,16.951995,3.838496,0.721158,-0.932403,1.841251,1.406794,1.841251,1.406794
79,10.474514,6.977373,-0.604592,0.930277,0.076441,1.960267,0.076441,1.960267
80,3.746343,9.662544,1.614281,-0.563703,-4.989878,-3.480472,-4.989878,-3.480472
81,5.902534,14.045611,-0.730404,-0.046869,-0.353545,0.860421,-0.353545,0.860421
82,0.714405,13.630755,-1.071320,-0.882998,0.768062,3.206844,0.768062,3.206844
83,10.218710,18.164436,-1.585826,-0.678179,-1.302058,0.087018,-1.302058,0.087018
84,5.148233,4.249805,-0.360235,-1.118570,-2.038268,-4.381461,-2.038268,-4.381461
85,2.799671,10.459587,2.160743,2.015552,2.543651,-1.366548,2.543651,-1.366548
86,2.831208,0.680435,0.385901,-0.476169,13.207717,-3.567475,13.207717,-3.567475
87,4.395047,10.509774,1.173050,1.304330,1.698657,3.334988,1.698657,3.334988
88,8.394868,3.412007,-0.967413,-0.779432,1.664168,0.465439,1.664168,0.465439
89,19.447668,15.848208,-1.558235,-0.251565,-16.309026,-23.322626,-16.309026,-23.322626
90,14.787571,5.952704,1.064060,-1.239216,-0.223205,0.774673,-0.223205,0.774673
91,10.903200,14.942435,1.073996,0.329997,0.026068,-0.570221,0.026068,-0.570221
92,12.789512,16.525446,-0.840741,1.146999,1.484810,-1.540723,1.484810,-1.540723
93,5.059823,7.946085,-0.479956,2.023449,2.279949,-0.365672,2.279949,-0.365672
94,1.401139,6.052899,-0.522423,1.996155,2.759328,-0.732421,2.759328,-0.732421
95,9.601505,16.660739,1.685522,0.965713,-1.389921,1.996506,-1.389921,1.996506
96,15.351575,7.601668,0.189481,0.023791,2.151603,-0.261975,2.151603,-0.261975
97,16.890659,1.672899,-0.172040,0.866903,0.089262,0.090957,0.089262,0.090957
98,11.127416,1.009429,0.278931,1.786770,0.228292,-0.351957,0.228292,-0.351957
99,11.987254,12.142040,-0.377196,-1.395206,-1.774492,-1.490623,-1.774492,-1.490623
