i,x,y,vx,vy,ax,ay,fx,fy
0,16.682850,5.511929,0.348899,-0.418828,-0.781274,-0.690783,-0.781274,-0.690783
1,5.793622,0.488302,-0.708833,1.030270,-0.475612,0.628982,-0.475612,0.628982
2,12.398870,18.449970,-0.297716,0.369380,-0.183449,-2.804802,-0.183449,-2.804802
3,6.434158,3.408007,-1.957413,-0.900853,1.482299,0.109169,1.482299,0.109169
4,1.790985,15.525927,0.250806,-1.697544,0.040381,-3.210162,0.040381,-3.210162
5,10.411012,4.992721,-0.491879,-0.938689,12.434282,-0.822597,12.434282,-0.822597
6,13.862220,0.964905,-2.123086,-1.290930,-0.805836,0.241602,-0.805836,0.241602
7,18.327996,18.234032,0.773329,-1.228465,-3.169511,-2.127855,-3.169511,-2.127855
8,4.812159,1.759686,0.369648,0.032258,0.486300,-0.572368,0.486300,-0.572368
9,12.717871,2.643660,-1.091515,-0.164551,0.075342,19.032661,0.075342,19.032661
10,11.657873,3.312808,0.611631,0.700605,2.026385,-0.681271,2.026385,-0.681271
11,7.566408,3.539555,-1.385918,-0.109302,-1.596052,-1.546654,-1.596052,-1.546654
12,5.402846,11.790970,-0.882612,-0.636507,0.098638,0.921480,0.098638,0.921480
13,4.072442,18.894852,0.215592,-0.930439,-3.426474,0.458616,-3.426474,0.458616
14,13.405075,17.306855,-2.123495,-1.645514,-1.824051,0.738639,-1.824051,0.738639
15,8.692076,17.610802,1.567292,-0.110910,-1.400565,0.249242,-1.400565,0.249242
16,0.043832,0.652795,0.814935,-0.827602,-0.505807,0.095124,-0.505807,0.095124
17,17.208508,9.174152,2.105956,-0.447924,47.362157,-11.135795,47.362157,-11.135795
18,15.001366,19.874899,-1.108520,-0.186174,1.132550,-0.266361,1.132550,-0.266361
19,6.548792,7.697713,-0.011783,0.461072,-0.639328,0.596167,-0.639328,0.596167
20,3.472687,4.525429,-0.771355,-1.581741,0.498001,0.299273,0.498001,0.299273
21,17.087006,17.588264,1.154985,-0.862552,2.399204,3.670381,2.399204,3.670381
22,4.871874,9.675480,-0.304027,2.486420,-5.881943,3.404903,-5.881943,3.404903
23,2.675011,0.854480,0.035290,0.792645,0.755523,-2.283934,0.755523,-2.283934
24,8.760718,6.081649,0.566487,2.192391,1.306833,-0.634869,1.306833,-0.634869
25,7.290813,17.742433,-0.246354,-0.259947,1.323489,0.916920,1.323489,0.916920
26,2.989577,13.357621,-0.017904,0.220196,-3.121504,1.200464,-3.121504,1.200464
27,17.815140,6.542593,-0.829142,0.141395,-0.533771,-0.636146,-0.533771,-0.636146
28,17.096010,18.708307,0.839517,-1.185377,18.576213,-8.475207,18.576213,-8.475207
29,5.056128,4.568334,1.547430,-0.833053,0.842902,-0.069277,0.842902,-0.069277
30,1.844589,4.414740,1.354042,0.210615,-2.658791,1.158111,-2.658791,1.158111
31,10.775651,11.702753,0.565906,-0.331833,1.185951,1.899113,1.185951,1.899113
32,6.166704,16.640756,0.710475,-0.427923,-56.706474,-0.902324,-56.706474,-0.902324
33,11.002746,13.851098,0.475826,1.072718,0.336925,-0.000337,0.336925,-0.000337
34,10.192021,19.571881,-0.423805,-1.095521,-0.402147,-1.092427,-0.402147,-1.092427
35,15.925602,12.364390,-1.807266,-0.592176,-2.754387,0.340256,-2.754387,0.340256
36,14.918633,14.616475,-0.126737,0.047639,0.364965,2.806742,0.364965,2.806742
37,14.644522,12.312503,-0.448006,1.359570,2.607526,2.295592,2.607526,2.295592
38,19.641012,6.757204,0.164203,0.859107,-0.176382,-0.201366,-0.176382,-0.201366
39,17.271830,3.282351,-0.989505,2.278686,11.477987,24.397828,11.477987,24.397828
40,18.289211,15.918076,-0.953467,-0.208632,-4.087892,-18.416591,-4.087892,-18.416591
41,18.773524,14.758174,0.275241,0.660942,-1.353578,1.821887,-1.353578,1.821887
42,15.743566,8.277379,-0.137479,1.496687,1.099820,2.065770,1.099820,2.065770
43,10.418365,12.890117,-0.166810,-0.881298,1.008386,-2.214012,1.008386,-2.214012
