i,x,y,vx,vy,ax,ay,fx,fy
0,16.455165,5.629168,-0.032263,0.780371,1.707367,-3.970159,1.707367,-3.970159
1,6.105040,0.030808,-0.621166,0.921654,-0.018317,-0.036035,-0.018317,-0.036035
2,12.751830,18.400958,-1.182699,-0.264422,-0.206251,-1.915467,-0.206251,-1.915467
3,6.671126,3.471421,-0.058929,2.082066,1.530613,-5.739875,1.530613,-5.739875
4,1.599070,16.089308,0.821505,-1.271307,-2.015954,-5.356290,-2.015954,-5.356290
5,10.976538,5.432174,-0.910652,-1.032679,3.792917,-0.960217,3.792917,-0.960217
6,14.883794,1.522998,-1.447404,-0.748197,-73.009602,-10.068005,-73.009602,-10.068005
7,17.804888,18.523312,1.111117,0.197790,-1.643116,-0.625536,-1.643116,-0.625536
8,4.660929,1.706956,0.293783,0.155547,0.020265,-0.115925,0.020265,-0.115925
9,13.039689,2.825092,-0.302397,-0.316441,-1.254609,-0.015323,-1.254609,-0.015323
10,11.566624,2.934337,-0.156287,0.826421,1.236444,-0.043286,1.236444,-0.043286
11,8.106943,3.663159,-1.214503,-0.171277,0.806550,-2.257778,0.806550,-2.257778
12,5.649159,11.854961,-0.136874,0.427721,1.344978,2.155877,1.344978,2.155877
13,4.142130,18.974502,-0.810308,0.575499,-1.552597,1.136496,-1.552597,1.136496
14,14.269156,18.165179,-1.619792,-1.918498,0.572799,0.769986,0.572799,0.769986
15,8.371153,17.626469,0.072606,0.024352,-2.586872,0.779870,-2.586872,0.779870
16,19.534690,1.083167,0.852913,-0.913217,16.673095,-1.817116,16.673095,-1.817116
17,17.043856,9.173152,0.417129,0.072444,-0.263197,-0.199839,-0.263197,-0.199839
18,15.191540,0.452566,0.017928,-1.954855,1.296065,0.731862,1.296065,0.731862
19,6.617187,7.445382,-1.225679,1.291241,-1.250902,0.197142,-1.250902,0.197142
20,3.495145,5.421936,0.920680,-2.145059,1.466977,-0.525720,1.466977,-0.525720
21,16.795716,18.041485,0.017479,-1.040812,0.326019,-0.310947,0.326019,-0.310947
22,4.506622,9.442979,0.533737,0.054086,2.719492,-27.864267,2.719492,-27.864267
23,2.484530,0.740500,0.876195,-0.601158,1.490431,-1.933223,1.490431,-1.933223
24,8.487249,6.029197,-0.647725,-0.395958,-0.022508,-0.612037,-0.022508,-0.612037
25,7.100376,18.208204,0.970225,-0.857217,1.922018,-2.411338,1.922018,-2.411338
26,2.736406,13.331537,1.014494,0.015474,-2.274618,-0.373225,-2.274618,-0.373225
27,18.213403,6.428484,-1.027250,0.305320,2.200465,-0.268798,2.200465,-0.268798
28,16.860148,19.292533,1.207558,-1.355019,0.611459,-3.852037,0.611459,-3.852037
29,4.807481,4.816467,-0.791760,-0.644370,0.068117,2.554204,0.068117,2.554204
30,1.072088,4.434597,0.774820,-0.270860,-2.893343,0.392149,-2.893343,0.392149
31,10.669476,11.733884,1.067912,0.412227,-1.375025,2.726571,-1.375025,2.726571
32,5.013616,16.825199,2.412332,-0.390749,-0.925635,0.092935,-0.925635,0.092935
33,11.068011,13.813414,1.457076,0.799157,-1.367172,-3.649436,-1.367172,-3.649436
34,10.342480,19.998470,-0.214681,-0.751548,-0.250071,-0.265409,-0.250071,-0.265409
35,16.269039,12.414718,1.546175,1.347708,-0.847302,0.545191,-0.847302,0.545191
36,15.002988,14.734308,-0.164328,0.151900,-0.039516,-2.353409,-0.039516,-2.353409
37,15.042972,11.851457,-0.920172,-0.829719,0.453175,17.323105,0.453175,17.323105
38,19.457766,6.363419,2.107080,-0.691223,-7.992112,5.792888,-7.992112,5.792888
39,17.872142,2.518016,-1.198690,1.730904,0.583410,-1.244292,0.583410,-1.244292
40,18.530825,15.575952,-0.288031,0.298988,-0.049463,-1.827347,-0.049463,-1.827347
41,18.635574,14.288484,0.243384,1.281291,-0.617122,1.904535,-0.617122,1.904535
42,15.831021,7.705018,-0.106816,1.200783,-0.248575,0.065145,-0.248575,0.065145
43,10.173618,12.824019,0.386458,-0.184000,3.926236,-1.045418,3.926236,-1.045418
44,5.379758,5.982305,-1.121880,-0.270721,-0.306066,-1.974308,-0.306066,-1.974308
45,3.466057,17.116345,-0.768690,2.324746,0.607994,-0.826732,0.607994,-0.826732
46,7.445660,1.817928,-0.756742,0.579301,2.092719,1.469263,2.092719,1.469263
47,13.804363,5.448606,1.354942,-1.038041,-0.265655,-0.257761,-0.265655,-0.257761
