i,x,y,vx,vy,ax,ay,fx,fy
0,16.906805,4.051921,1.428270,0.908056,-0.960564,-0.403097,-0.960564,-0.403097
1,3.587062,1.218728,1.366323,-0.681380,-12.583521,84.322691,-12.583521,84.322691
2,13.741365,18.102046,0.730667,0.116796,-0.036151,-0.039647,-0.036151,-0.039647
3,5.698883,19.944251,-0.368194,-0.942619,2.203581,-1.350652,2.203581,-1.350652
4,3.198823,17.713516,-0.877144,-0.944202,-0.394175,-0.168447,-0.394175,-0.168447
5,8.769508,6.887506,0.469037,-1.358227,-1.610195,-1.276758,-1.610195,-1.276758
6,10.598095,17.458549,1.799349,1.262123,-0.263678,-0.362819,-0.263678,-0.362819
7,18.060409,16.141540,0.759035,0.655964,1.369901,-1.269939,1.369901,-1.269939
8,3.854582,3.565987,0.566795,-1.343610,-0.395437,0.911348,-0.395437,0.911348
9,11.447350,3.070131,1.892280,0.686109,-0.606612,1.363944,-0.606612,1.363944
10,10.962989,19.980393,-0.355306,1.355713,0.437059,-0.136614,0.437059,-0.136614
11,11.849406,4.552002,1.342354,-0.009803,-3.024917,-0.125207,-3.024917,-0.125207
12,4.962806,10.832057,1.310063,0.615622,1.715308,-1.766597,1.715308,-1.766597
13,4.659951,19.566082,1.290568,0.829911,3.947896,-8.055666,3.947896,-8.055666
14,14.705595,6.000891,0.667673,-1.189687,-28.165799,2.115030,-28.165799,2.115030
15,8.546195,1.714672,-1.128381,-0.978562,-0.217547,-0.897585,-0.217547,-0.897585
16,2.397306,3.228451,-1.052212,-1.151970,1.023339,0.381962,1.023339,0.381962
17,18.135410,6.968621,0.268793,1.339944,-51.997791,-6.327944,-51.997791,-6.327944
18,14.430720,4.088415,-0.828094,0.191910,-0.180546,0.263517,-0.180546,0.263517
19,7.325458,10.562429,-0.634252,0.182668,-0.320439,0.456512,-0.320439,0.456512
20,0.281779,7.715071,-2.217830,-0.931705,-0.587806,-1.819381,-0.587806,-1.819381
21,18.044102,2.548215,-0.998118,-0.428586,1.150987,-0.751069,1.150987,-0.751069
22,7.236619,8.133948,1.489829,0.575968,0.156075,1.927508,0.156075,1.927508
23,0.605752,1.276216,0.827032,-1.802664,-0.842080,1.365014,-0.842080,1.365014
24,10.825044,8.934440,0.184216,-1.259763,2.403026,0.213039,2.403026,0.213039
25,4.965128,0.750312,-0.127981,-0.111903,15.437364,8.133155,15.437364,8.133155
26,1.169397,10.673194,0.313417,0.557968,0.193417,-0.264544,0.193417,-0.264544
27,17.199913,5.155244,-1.445749,-1.105902,-0.475590,-0.590261,-0.475590,-0.590261
28,0.355625,18.018848,-0.019654,2.430924,0.172874,-0.150768,0.172874,-0.150768
29,4.241530,5.763564,1.400256,-0.435478,-2.666311,5.228734,-2.666311,5.228734
30,0.933088,4.599627,-0.951380,0.194641,14.865726,15.386710,14.865726,15.386710
31,8.736175,14.797982,0.485393,-1.049516,0.477524,1.305300,0.477524,1.305300
32,2.440303,19.088434,-0.436794,0.917119,1.735934,-1.561134,1.735934,-1.561134
33,4.387840,17.401673,0.560209,0.999165,-3.131759,2.503134,-3.131759,2.503134
34,12.070881,19.731420,1.425590,0.455172,-0.617024,0.090371,-0.617024,0.090371
35,18.501472,10.534928,-0.854549,1.166676,-0.587476,1.288983,-0.587476,1.288983
36,13.712500,11.651129,1.107900,1.394347,0.300270,1.335887,0.300270,1.335887
37,13.485919,13.491251,1.026284,-0.146791,-0.505158,-1.722317,-0.505158,-1.722317
38,19.986575,2.551147,-0.021318,-0.166290,0.152621,0.871299,0.152621,0.871299
39,18.465401,1.240707,-0.278472,-0.579921,0.362538,0.027263,0.362538,0.027263
40,18.796105,15.041699,0.351882,-1.701973,-0.891625,2.025394,-0.891625,2.025394
41,18.575624,13.945046,-0.644885,1.323631,-0.212956,-0.181776,-0.212956,-0.181776
42,14.393200,7.416664,1.088182,0.709117,0.440246,-1.351619,0.440246,-1.351619
43,9.160104,16.206481,-0.966476,0.594805,0.831894,-2.261053,0.831894,-2.261053
44,5.212308,6.247226,0.309311,0.563603,2.462789,1.257228,2.462789,1.257228
45,3.824205,18.634307,1.055703,-1.908045,1.351159,1.493661,1.351159,1.493661
46,9.984402,3.541679,-0.899082,-1.137095,1.017129,-0.299816,1.017129,-0.299816
47,15.831232,3.202076,-0.759981,0.778825,0.999394,1.498622,0.999394,1.498622
48,15.697319,5.963679,0.386060,-1.091608,28.004888,-1.189951,28.004888,-1.189951
49,5.945812,15.207984,1.312046,-1.323609,-0.594712,-1.540012,-0.594712,-1.540012
50,18.630803,17.727269,-0.467004,-0.268119,0.039652,-0.404163,0.039652,-0.404163
51,7.756123,11.599738,1.346533,-0.125739,0.553989,0.012001,0.553989,0.012001
52,9.332628,12.075063,1.026717,-0.060382,-0.631679,-0.197503,-0.631679,-0.197503
53,19.761179,9.204981,0.734478,1.253690,0.128968,-0.562574,0.128968,-0.562574
54,14.900739,9.526851,-1.269988,0.057378,0.357618,-0.260858,0.357618,-0.260858
55,3.415987,6.921279,-0.739427,2.535265,0.587874,-1.576505,0.587874,-1.576505
56,7.432493,1.930821,1.693314,0.765251,0.560618,-0.149617,0.560618,-0.149617
57,14.345617,12.608165,1.420263,-0.074778,-2.360739,0.785368,-2.360739,0.785368
58,0.673478,15.512718,-0.260331,0.368220,0.271189,-2.200692,0.271189,-2.200692
59,18.866795,0.128938,-0.270377,1.474779,-0.550077,1.918178,-0.550077,1.918178
60,0.183658,3.927462,-0.298397,0.175327,-19.332224,-14.471558,-19.332224,-14.471558
61,18.049888,11.614659,-0.759247,-0.110719,0.672800,-1.606989,0.672800,-1.606989
62,19.085718,7.081368,-0.747969,0.748458,54.381988,6.445597,54.381988,6.445597
63,3.933783,8.933266,-1.193326,1.117526,-0.716726,0.754111,-0.716726,0.754111
64,5.859487,9.983914,-1.357104,0.049750,1.246311,0.963968,1.246311,0.963968
65,19.342430,5.015335,-0.694854,-0.401415,2.483551,-2.029803,2.483551,-2.029803
66,2.832524,9.961982,0.818016,1.086089,0.561307,-0.614968,0.561307,-0.614968
67,15.087716,0.835132,-0.948111,-0.085824,0.013817,0.034571,0.013817,0.034571
68,11.997672,12.331712,-0.154453,-1.955496,0.688546,1.592776,0.688546,1.592776
69,12.087956,9.116810,-0.741110,0.226783,-1.752481,-2.380687,-1.752481,-2.380687
70,4.030398,4.718617,-0.219236,-0.968460,-1.277986,-6.939750,-1.277986,-6.939750
71,2.872301,0.530852,0.174703,1.027455,-18.618259,-20.763815,-18.618259,-20.763815
72,16.616807,13.918759,-1.223992,0.991254,0.238475,0.012049,0.238475,0.012049
73,16.811437,9.460499,-0.339315,0.732068,-0.691915,-1.271967,-0.691915,-1.271967
74,9.011051,0.278337,0.034866,-0.385424,-0.196120,1.070675,-0.196120,1.070675
75,12.170062,13.752643,-0.539147,1.284914,-0.004596,-0.659157,-0.004596,-0.659157
76,12.929695,4.609263,-1.050197,1.055110,3.757347,1.866626,3.757347,1.866626
77,13.876879,15.892712,0.824128,-0.122117,-0.039446,0.017125,-0.039446,0.017125
78,18.975392,3.802329,-1.860669,0.932847,2.857839,1.302531,2.857839,1.302531
79,12.673805,5.765917,-0.594355,-0.006867,-0.084767,-2.908742,-0.084767,-2.908742
80,1.324635,6.841891,0.576851,0.341851,-4.199635,2.075806,-4.199635,2.075806
81,5.441513,13.906990,1.435918,1.096011,0.537117,1.538508,0.537117,1.538508
82,0.973835,14.254177,-0.062275,0.215234,-0.620964,2.216579,-0.620964,2.216579
83,7.150487,17.557563,1.401640,-1.620487,1.348998,-0.472196,1.348998,-0.472196
84,4.943436,2.344310,0.457529,0.746593,-0.751594,-0.600454,-0.751594,-0.600454
85,1.995891,5.982187,0.891668,0.349566,1.328251,-2.052288,1.328251,-2.052288
86,4.023794,0.389558,-0.387501,-0.374204,7.635142,-64.747078,7.635142,-64.747078
87,7.026459,9.496532,-1.739841,-0.748874,-1.451117,-1.864839,-1.451117,-1.864839
88,12.419999,7.835658,0.726901,-1.665270,-0.512938,1.994717,-0.512938,1.994717
89,16.721380,18.015300,-1.075909,-0.044517,0.265032,-0.080488,0.265032,-0.080488
90,16.218026,8.163281,-0.409445,-1.764607,0.316627,1.349694,0.316627,1.349694
91,3.406200,13.055233,0.600799,0.107872,0.076302,0.019245,0.076302,0.019245
92,11.063297,14.468172,1.518536,0.799440,2.225871,-4.370143,2.225871,-4.370143
93,7.831520,5.942217,1.047825,0.199695,1.387374,1.516316,1.387374,1.516316
94,0.227586,5.953856,0.694602,-1.487957,-0.042105,-0.779900,-0.042105,-0.779900
95,8.524258,17.107788,0.881389,-0.285404,-1.978315,1.485212,-1.978315,1.485212
96,8.617324,9.247178,-0.215251,-0.818746,-1.218341,0.065358,-1.218341,0.065358
