i,x,y,vx,vy,ax,ay,fx,fy
0,17.417571,3.540538,-0.252936,-1.524326,0.043149,21.036203,0.043149,21.036203
1,4.263047,2.073738,1.070231,-0.609634,-1.289890,-3.775051,-1.289890,-3.775051
2,14.118751,18.159586,0.730256,0.107027,0.086923,-0.011035,0.086923,-0.011035
3,6.389149,19.871857,1.149445,0.128446,-1.293463,0.318544,-1.293463,0.318544
4,2.844423,17.454050,-0.472034,-0.070327,0.514906,1.085051,0.514906,1.085051
5,9.345894,6.453856,1.401099,-0.534393,-1.111956,-0.495092,-1.111956,-0.495092
6,11.519204,18.099353,1.766044,1.236179,0.032473,0.088595,0.032473,0.088595
7,18.603985,16.431724,1.407491,-0.017130,3.321971,-10.773765,3.321971,-10.773765
8,4.034032,3.142710,-0.778574,0.881017,3.937539,-37.010400,3.937539,-37.010400
9,12.445361,3.595014,2.125106,0.952912,-0.300654,1.617844,-0.300654,1.617844
10,10.946734,0.628678,0.114611,1.169995,0.123404,-0.207226,0.123404,-0.207226
11,11.686346,4.467607,-0.374019,0.283558,1.727693,0.165680,1.727693,0.165680
12,5.606989,11.224294,1.279960,0.440061,0.623946,-2.621498,0.623946,-2.621498
13,4.775764,19.158001,-0.092243,-0.525329,2.736408,3.724030,2.736408,3.724030
14,14.528260,5.379330,-0.354518,-1.550253,-0.955590,-2.223592,-0.955590,-2.223592
15,8.601774,1.101699,-0.195346,-0.067966,0.822521,-1.737714,0.822521,-1.737714
16,1.910741,2.647668,-0.908709,-1.100392,-0.137039,0.125245,-0.137039,0.125245
17,17.328618,7.532458,-1.616714,0.999665,-1.315427,-0.793982,-1.315427,-0.793982
18,14.072365,4.198308,0.276235,-0.341759,1.048068,2.528902,1.048068,2.528902
19,6.966258,10.573392,-0.798466,-0.105854,-1.214527,-0.247944,-1.214527,-0.247944
20,0.672844,7.825393,1.939794,0.324769,1.037980,-1.122918,1.037980,-1.122918
21,17.502441,2.529955,-1.401389,0.836466,2.931938,-19.830100,2.931938,-19.830100
22,7.538583,8.374023,-0.952630,-0.217907,0.073104,1.340735,0.073104,1.340735
23,0.994840,0.387982,0.754763,-1.887917,0.032654,-2.846624,0.032654,-2.846624
24,10.924816,8.220711,0.087059,-1.403443,1.540536,1.723832,1.540536,1.723832
25,5.021039,0.554904,0.016426,-0.910206,0.090888,-1.571280,0.090888,-1.571280
26,1.342034,10.922227,0.311280,0.374721,-0.279137,-0.576095,-0.279137,-0.576095
27,17.310275,4.943540,1.835118,-1.364608,2.045231,-2.795487,2.045231,-2.795487
28,0.465496,19.258559,-0.122025,2.934969,-8.395259,9.966247,-8.395259,9.966247
29,4.725864,5.390187,0.952186,-0.828394,0.193448,0.110718,0.193448,0.110718
30,1.068183,4.374832,0.503866,-1.382735,-0.997176,0.182237,-0.997176,0.182237
31,9.040978,14.406480,0.734701,-0.369025,1.030756,2.374870,1.030756,2.374870
32,2.341941,19.524315,-0.277620,0.949749,-13.829368,-1.733443,-13.829368,-1.733443
33,4.973833,17.106610,1.311164,-1.099231,-0.224545,0.344584,-0.224545,0.344584
34,12.614497,0.014487,0.843864,0.593189,-0.282169,0.064420,-0.282169,0.064420
35,18.215789,10.768926,-0.640926,0.469050,-1.221136,1.516492,-1.221136,1.516492
36,14.064564,12.229261,0.842967,0.131388,2.737668,-27.419299,2.737668,-27.419299
37,14.031493,13.219017,0.616159,0.651880,-2.000773,29.280849,-2.000773,29.280849
38,19.946757,2.696672,-0.244774,0.811102,-0.803022,1.509825,-0.803022,1.509825
39,18.162929,1.433572,-0.095318,-0.341704,0.100859,0.602076,0.100859,0.602076
40,19.237350,15.331528,0.963803,1.204077,1.286935,2.278950,1.286935,2.278950
41,17.922179,13.666959,-1.325580,-0.737489,-0.137866,-0.182937,-0.137866,-0.182937
42,15.047735,7.730630,0.884386,0.803446,-8.575309,4.240553,-8.575309,4.240553
43,9.011948,15.883196,-0.072042,-0.854914,0.095724,-0.626460,0.095724,-0.626460
44,5.498650,6.582413,0.308729,0.336125,-0.822203,-1.284283,-0.822203,-1.284283
45,3.813453,18.672278,-0.248603,-0.310569,8.980783,-29.310700,8.980783,-29.310700
46,9.561150,2.936069,-0.814507,-1.189022,-0.215930,-0.161860,-0.215930,-0.161860
47,15.477112,3.731112,-0.739067,1.195704,-0.987117,0.780678,-0.987117,0.780678
48,15.586221,5.798569,-1.950985,0.462495,-0.364655,0.620814,-0.364655,0.620814
49,6.987839,15.134637,2.346266,0.486706,0.151066,0.231075,0.151066,0.231075
50,18.365145,17.451708,-0.620210,-0.377307,-2.045037,8.632028,-2.045037,8.632028
51,8.412436,11.380847,1.218370,-0.592680,0.515439,0.124801,0.515439,0.124801
52,9.765612,12.009400,0.606304,-0.216674,-1.027592,-0.490769,-1.027592,-0.490769
53,0.156101,9.833664,0.822179,1.240459,0.506191,0.410360,0.506191,0.410360
54,14.266080,9.527354,-1.188333,-0.053140,0.100577,-0.183541,0.100577,-0.183541
55,3.019422,8.194877,-0.772220,2.634028,0.294613,1.744943,0.294613,1.744943
56,7.607527,2.581685,0.173016,1.263114,-0.084063,0.015367,-0.084063,0.015367
57,15.120376,12.959153,1.544115,0.613365,-1.450812,-0.906768,-1.450812,-0.906768
58,0.497534,15.552294,-0.892533,0.725576,-2.648039,0.276845,-2.648039,0.276845
59,18.986619,0.368655,0.242133,0.452915,-0.780325,1.435357,-0.780325,1.435357
60,19.307135,3.667877,-2.012497,-0.821826,0.220906,0.638929,0.220906,0.638929
61,17.495510,11.900150,-0.990485,0.506703,1.103219,-1.411896,1.103219,-1.411896
62,18.246779,6.861930,-2.597081,-0.817869,-0.553791,0.190974,-0.553791,0.190974
63,3.324950,9.340120,-0.963285,-0.036041,-0.585147,0.120025,-0.585147,0.120025
64,5.369214,9.918008,-1.118050,0.422980,2.244439,0.864121,2.244439,0.864121
65,19.419900,4.820502,0.538597,-0.019388,-1.758291,-2.578447,-1.758291,-2.578447
66,3.226271,10.671993,0.473882,1.925696,0.016061,-2.033705,0.016061,-2.033705
67,14.593795,0.791950,-0.960725,-0.087287,-0.107053,-0.052526,-0.107053,-0.052526
68,11.965274,11.380862,-0.019217,-1.791623,0.021856,-0.006088,0.021856,-0.006088
69,11.746397,9.174523,-0.509499,0.065594,-1.501991,-1.764777,-1.501991,-1.764777
70,3.978063,4.115708,0.082670,-0.325171,-1.362710,38.992779,-1.362710,38.992779
71,2.718612,0.576042,-0.300808,-0.446842,1.040536,-1.672762,1.040536,-1.672762
72,15.997839,14.424884,-1.198422,0.914081,-0.258747,-0.486963,-0.258747,-0.486963
73,16.614345,9.789590,-0.357231,0.626302,0.201101,0.099531,0.201101,0.099531
74,9.116249,19.944733,0.698297,-1.695047,-0.784202,2.199723,-0.784202,2.199723
75,12.635865,13.862256,1.551236,-0.224015,0.745390,-0.275620,0.745390,-0.275620
76,13.414022,5.131575,0.350900,1.966473,-0.628531,0.220330,-0.628531,0.220330
77,14.301968,15.829875,0.817466,-0.124346,0.047563,-0.051810,0.047563,-0.051810
78,18.344101,4.274784,0.406091,1.419363,-0.858817,0.481724,-0.858817,0.481724
79,12.256678,5.840628,-0.604316,0.072517,2.181259,-0.087302,2.181259,-0.087302
80,1.458360,6.972148,0.174173,0.136715,0.160864,-0.014958,0.160864,-0.014958
81,5.829896,13.865412,0.437068,-0.669559,0.268443,0.318959,0.268443,0.318959
82,0.893001,14.512689,0.034787,-0.178171,-0.060253,-0.457426,-0.060253,-0.457426
83,7.725639,16.610898,0.793837,-1.966871,1.913159,-0.359818,1.913159,-0.359818
84,5.185465,2.660226,1.956729,0.533691,0.709160,3.243963,0.709160,3.243963
85,2.362501,6.238279,0.327345,0.843078,-1.318259,1.104901,-1.318259,1.104901
86,3.375329,19.557454,-1.456411,-0.550008,-1.149671,29.066857,-1.149671,29.066857
87,6.276055,9.148937,-0.670429,-0.802103,-0.181532,1.533918,-0.181532,1.533918
88,12.760359,7.017122,0.556399,-1.824551,-0.857252,-2.250562,-0.857252,-2.250562
89,16.184541,17.984508,-1.015261,-0.069013,-0.059084,-0.021881,-0.059084,-0.021881
90,15.981802,7.263359,0.152447,-2.054680,10.108263,-5.020891,10.108263,-5.020891
91,3.726270,13.111443,0.632172,0.104612,0.080979,-0.031917,0.080979,-0.031917
92,11.287019,15.074963,-0.264872,1.539977,-2.121186,0.374891,-2.121186,0.374891
93,8.026066,5.799311,0.065313,-0.539824,1.107546,0.585961,1.107546,0.585961
94,0.050912,5.751594,-1.154929,0.247184,0.324849,-0.302173,0.324849,-0.302173
95,8.855971,17.520155,1.055400,0.686348,-0.982384,-1.534637,-0.982384,-1.534637
96,8.813232,9.091749,1.621695,0.623661,-1.168745,-0.598125,-1.168745,-0.598125
97,1.272407,18.612149,-0.556262,1.595809,10.920454,-6.205061,10.920454,-6.205061
98,6.245530,3.598194,-0.076089,-1.035389,-0.952811,-1.341060,-0.952811,-1.341060
99,10.061727,15.398879,-1.877442,-0.260987,-0.140905,-1.036064,-0.140905,-1.036064
