i,x,y,vx,vy,ax,ay,fx,fy
0,18.691789,7.044068,1.485958,-0.501514,-0.205457,4.580780,-0.205457,4.580780
1,8.583610,1.114369,0.672534,-0.484625,-1.265269,-0.293047,-1.265269,-0.293047
2,13.609674,18.337797,1.108880,0.610597,-2.029031,1.563073,-2.029031,1.563073
3,5.701533,1.443856,0.852137,-1.568147,5.350872,-1.626292,5.350872,-1.626292
4,1.473712,13.340591,0.577993,-0.600220,-0.879657,0.854175,-0.879657,0.854175
5,8.428734,2.806509,1.753738,0.767400,-1.931977,-1.256279,-1.931977,-1.256279
6,8.938105,19.630616,0.496035,0.798200,-2.485517,0.328557,-2.485517,0.328557
7,0.627661,17.369620,-1.728673,-0.972333,4.852952,4.629306,4.852952,4.629306
8,7.032302,1.175679,1.043434,-1.362440,-5.455526,-17.099969,-5.455526,-17.099969
9,11.160602,3.011510,-1.346344,0.716456,0.325544,0.833950,0.325544,0.833950
10,11.730142,4.458543,0.391669,-0.209089,0.015532,1.538476,0.015532,1.538476
11,5.725178,4.007569,0.393077,0.097729,1.959516,-0.165153,1.959516,-0.165153
12,2.915178,15.301715,-3.115348,0.386312,-1.230401,1.550670,-1.230401,1.550670
13,2.561668,17.024126,0.001298,-0.419443,16.916401,13.080500,16.916401,13.080500
14,15.667380,14.047580,1.774134,-0.997875,1.234564,-1.110847,1.234564,-1.110847
15,8.297484,17.180664,-0.474250,1.368352,-0.813449,-0.876117,-0.813449,-0.876117
16,2.231373,2.338847,0.482842,0.617195,2.429753,3.257392,2.429753,3.257392
17,0.245824,6.677017,-0.029129,-1.038343,-1.690144,-2.343513,-1.690144,-2.343513
18,13.100881,19.645590,1.597832,1.367557,-0.573283,-3.100732,-0.573283,-3.100732
19,4.947994,6.791027,-1.534139,-0.644670,-2.581507,2.281256,-2.581507,2.281256
20,7.235391,2.169835,1.279163,1.525899,12.818944,16.107785,12.818944,16.107785
21,19.914236,16.567486,0.585038,0.813509,-2.864130,-4.599523,-2.864130,-4.599523
22,6.072852,13.459117,-1.693545,-0.040217,-4.441310,-1.002888,-4.441310,-1.002888
23,5.743625,18.797636,0.947699,-1.893991,-0.727562,-0.668541,-0.727562,-0.668541
24,4.456122,8.091961,-0.094976,1.310748,-0.400499,-0.520246,-0.400499,-0.520246
25,4.262162,16.591189,-1.240517,-0.606683,-0.368014,0.031596,-0.368014,0.031596
26,2.795023,13.434331,-0.114301,-0.809162,-1.234655,-0.327120,-1.234655,-0.327120
27,16.552627,8.872265,0.870692,0.002724,-1.483808,0.528590,-1.483808,0.528590
28,16.032353,18.325561,-0.382322,-0.225106,2.483456,2.054370,2.483456,2.054370
29,4.675863,1.798976,-0.625311,-0.274611,-2.563419,1.864902,-2.563419,1.864902
30,0.038626,5.373511,-1.603779,-0.043948,0.520292,2.611908,0.520292,2.611908
31,11.879368,9.777321,-0.144346,0.125440,-2.104310,-2.611702,-2.104310,-2.611702
32,5.741789,17.688796,-0.148416,1.124150,-0.182704,-0.980951,-0.182704,-0.980951
33,9.229866,13.885269,-1.993117,-0.482276,-4.563983,3.400247,-4.563983,3.400247
34,7.777886,19.280843,-2.028642,-0.308613,1.518400,1.016340,1.518400,1.016340
35,14.087105,11.051993,-1.238720,-1.279140,0.384998,0.513994,0.384998,0.513994
36,16.968155,15.161300,1.016961,1.460047,2.641430,-0.433818,2.641430,-0.433818
37,12.323947,13.537861,1.175771,0.397145,-0.070917,-0.042972,-0.070917,-0.042972
38,18.892439,5.992428,-1.895601,0.026469,3.815456,-5.542919,3.815456,-5.542919
39,18.416772,4.025973,1.470937,0.203217,-2.043979,-3.248667,-2.043979,-3.248667
40,17.048478,16.558318,-0.221547,0.259076,-0.026204,-1.737742,-0.026204,-1.737742
41,0.385487,13.868026,-0.016225,-0.567732,0.322110,-0.579028,0.322110,-0.579028
42,15.203731,12.195667,0.052340,1.099314,1.134462,0.509963,1.134462,0.509963
43,10.744786,9.612279,-0.885459,0.915426,-1.656836,29.894947,-1.656836,29.894947
44,1.278738,5.084400,-0.036716,-0.137836,-2.115141,0.258213,-2.115141,0.258213
45,1.874741,17.851065,0.996049,-0.685355,-4.711180,1.794718,-4.711180,1.794718
46,6.218136,2.439679,-1.410253,0.186913,-7.664673,1.647709,-7.664673,1.647709
47,11.900501,5.670180,-0.386016,1.729751,0.015571,-1.973068,0.015571,-1.973068
48,12.680695,6.490855,-1.570673,-1.745686,-0.400254,-0.424462,-0.400254,-0.424462
49,7.796371,16.150906,0.390649,-0.940368,1.612583,-0.619728,1.612583,-0.619728
50,19.944731,18.685965,-0.210040,1.598227,0.688473,-1.246544,0.688473,-1.246544
51,7.500339,13.206126,1.699433,-0.280810,0.460576,-1.378319,0.460576,-1.378319
52,10.860896,8.629977,-0.297295,-1.024618,2.489204,-27.790308,2.489204,-27.790308
53,1.018097,10.320972,-0.157664,-0.818174,0.018343,-0.015895,0.018343,-0.015895
54,9.774794,9.065120,0.406130,-1.022454,0.918171,-1.136151,0.918171,-1.136151
55,8.362598,15.121787,1.537848,-1.589476,-0.614826,0.584067,-0.614826,0.584067
56,6.191448,19.799739,-0.211670,0.988965,1.526512,2.554548,1.526512,2.554548
57,19.191997,14.681207,0.502988,-0.264172,21.524963,-17.890779,21.524963,-17.890779
58,6.900929,14.141280,0.738206,2.553603,2.048305,4.766185,2.048305,4.766185
59,19.472037,1.104941,-1.367942,-0.700810,0.130926,0.194648,0.130926,0.194648
60,3.039754,4.451400,-0.024271,0.445048,0.130003,-1.068655,0.130003,-1.068655
61,17.757684,14.171851,1.576930,2.257645,0.398080,3.966840,0.398080,3.966840
62,3.647154,7.073875,0.539207,0.304929,3.416929,1.472754,3.416929,1.472754
63,10.043746,13.186824,-0.913445,-0.354219,2.434561,-5.030965,2.434561,-5.030965
64,5.025234,14.123658,1.668190,-1.279828,2.414987,-1.146364,2.414987,-1.146364
65,8.420623,12.143728,2.941932,0.568152,-4.190738,2.127633,-4.190738,2.127633
66,1.922313,16.248791,0.258104,-0.979414,-13.226389,-17.059576,-13.226389,-17.059576
67,1.592575,3.338452,1.919881,1.447850,0.989234,-2.419855,0.989234,-2.419855
68,8.072537,4.678684,0.366398,-0.840937,-2.328537,-0.841514,-2.328537,-0.841514
69,9.490935,11.985309,0.130665,1.707252,4.205117,1.666784,4.205117,1.666784
70,3.868918,9.144641,0.094738,1.339875,2.016416,-2.899993,2.016416,-2.899993
71,3.721878,19.269629,-1.056511,2.274723,0.145788,-0.102002,0.145788,-0.102002
72,18.412933,15.297810,-0.532310,-1.644563,-23.060143,15.118503,-23.060143,15.118503
73,15.102540,8.755045,-0.764485,0.363097,1.542771,0.031452,1.542771,0.031452
74,15.095766,2.089327,0.868506,-0.050196,0.043494,0.036770,0.043494,0.036770
75,16.425906,12.821905,1.388743,-0.609506,-2.173825,0.621105,-2.173825,0.621105
76,18.854261,11.439448,1.896804,-0.828634,0.290258,0.311135,0.290258,0.311135
77,15.225158,17.603588,-0.642457,-0.067097,-2.725834,-2.094055,-2.725834,-2.094055
78,18.268132,2.777568,-0.018489,-0.446455,0.989958,1.922038,0.989958,1.922038
79,8.395931,7.970667,-0.915892,0.927513,0.365242,0.279749,0.365242,0.279749
