i,x,y,vx,vy,ax,ay,fx,fy
0,17.388607,3.719305,0.034437,0.484147,0.248674,-25.493023,0.248674,-25.493023
1,4.537980,1.952067,1.375004,-0.346881,1.331009,2.047795,1.331009,2.047795
2,14.291387,18.183699,0.786870,0.100798,0.523077,-0.063593,0.523077,-0.063593
3,6.625254,19.908094,0.925068,0.179765,-0.719632,0.141698,-0.719632,0.141698
4,2.753875,17.468397,-0.286234,0.209113,1.241414,1.436419,1.241414,1.436419
5,9.647097,6.322390,1.246647,-0.593951,-0.351362,-0.097603,-0.351362,-0.097603
6,11.926868,18.386750,1.781931,1.266669,0.112797,0.187627,0.112797,0.187627
7,18.900381,16.439539,0.392130,1.570511,-5.188669,10.033128,-5.188669,10.033128
8,3.917864,2.920525,-0.328535,-1.151440,1.477836,-0.196995,1.477836,-0.196995
9,12.921187,3.870591,2.092624,1.440018,1.149728,1.804575,1.149728,1.804575
10,10.975156,0.893004,0.128844,1.132037,0.021583,-0.116655,0.021583,-0.116655
11,11.662759,4.531602,0.174378,0.322451,2.222505,1.098778,2.222505,1.098778
12,5.924331,11.254067,1.403077,-0.113064,-4.253925,1.718429,-4.253925,1.718429
13,4.774677,19.109099,-0.132978,-0.006823,-2.054458,1.179889,-2.054458,1.179889
14,14.525044,5.052107,0.574775,-0.389553,2.123153,6.736545,2.123153,6.736545
15,8.574094,1.055047,-0.063169,-0.277642,0.393881,-0.235477,0.393881,-0.235477
16,1.696405,2.399476,-0.960683,-1.051585,-0.285893,0.276453,-0.285893,0.276453
17,16.929138,7.710581,-1.832724,0.435658,-0.766712,-3.622629,-0.766712,-3.622629
18,14.108881,4.092487,-0.376076,-1.596145,-4.980190,-8.204149,-4.980190,-8.204149
19,6.734922,10.551502,-1.170706,-0.122486,2.764795,-3.822725,2.764795,-3.822725
20,1.087562,7.954224,1.585394,0.986703,-0.222450,1.760544,-0.222450,1.760544
21,17.242515,2.214287,-0.913073,-1.810691,2.012702,-0.400775,2.012702,-0.400775
22,7.301822,8.353371,-1.168767,0.029086,-1.643410,1.053273,-1.643410,1.053273
23,1.339515,0.307589,-0.188114,2.572740,-5.800120,3.984319,-5.800120,3.984319
