particule,x,y,vx,vy
0,-320696356629227675582464000.00,-39211976265474959971713024.00,-1603481783146138377912320.00,-196059881327374794489856.00
1,4458195855300.92,-3958024866159.28,3184425610.93,-2827160618.69
2,-128393769077.36,244636304139.07,-106994807.56,203863586.78
3,33482344796325528.00,157778408195944192.00,25755649843327.34,121368006304572.44
4,24998.42,26579.86,27.21,28.55
5,206407985644054.31,-222808600205877.56,137605323762.70,-148539066803.92
6,17175356836229584261218304.00,12732507042759751107608576.00,42938392090573963001856.00,31831267606899380453376.00
7,-158.81,251.31,-0.13,0.21
8,-5795088.53,-703594.61,-4457.76,-541.23
9,-14918217.23,39380096.58,-12431.85,32816.75
10,-14882500047.00,-1740752328.61,-12402083.37,-1450626.94
11,-14404378228.98,-92356216120.99,-13094889.30,-83960196.47
12,7389992620857482240.00,7809781687997992960.00,6158327184047902.00,6508151406664995.00
13,9907747948118494685714972672.00,6330954629537249380710481920.00,33025826493728319455887360.00,21103182098457500512681984.00
14,-3.51,-0.28,1068202365959578969050185728.00,158206453808418012906127360.00
15,-1293.36,-610052.11,-0.92,-435.75
16,0.01,-0.00,-2785637.40,799574.38
17,-4706891181820843008.00,-5948331293104549888.00,-4278991983473494.00,-5407573902822319.00
18,0.03,-0.13,0.00,-0.00
19,117114548.77,40536451.58,78076.37,27024.30
20,-11637402160892588032.00,12201193099168176128.00,-10579456509902354.00,11091993726516522.00
21,4988293982.20,-1929076086.35,3325529.32,-1286050.72
22,371254915.51,-493023353.53,285580.70,-379248.73
23,-271.49,-22.15,-0.18,-0.01
24,-5006669723280327.00,19180493771076312.00,-5006669723280.33,19180493771076.32
25,0.43,0.69,0.00,0.00
26,-11271142.40,-15382030.48,-6630.08,-9048.25
27,66420982873534400885942124544.00,-81237341773762990368322748416.00,166052457183836018707529728.00,-203093354434407466300080128.00
28,133493508.06,249581078.10,111244.59,207984.23
29,1791.77,-34270.06,0.94,-18.04
30,-96001599.05,5694375.16,-80001.33,4745.31
31,-25115.28,54733.95,-25.12,54.73
32,-746810663391752.12,-1197951520438364.75,-622342219493.13,-998292933698.64
33,8.95,6.23,0.01,0.00
34,2403.51,-1877.71,2.00,-1.56
35,-109726117143800381440.00,112864355190686564352.00,-121917907937555984.00,125404839100762848.00
36,25462367080740484.00,-2655449379182545.50,19586436215954.21,-2042653368601.96
37,16275665.40,15851647.93,11625.48,11322.61
38,-16044071.85,-26362125.75,-11460.05,-18830.09
39,939930224.74,-430928338.43,626620.15,-287285.56
40,-14568915.77,-1153371.95,-7667.85,-607.04
41,-30068017.57,-10673670.06,-33408.91,-11859.63
42,-564120291.05,-282471293.27,-564120.28,-282471.28
43,-2968162050223.53,-3090859954595.16,-2530130925373334019304903833288704.00,-4057369198587868295360991620759552.00
44,-18852249221177.08,-4203176578157.86,-14501730170.14,-3233212752.43
45,-6903069608958.05,9979378250846.29,-9861528012.80,14256254644.07
46,429225685365976.62,1409984741348078.50,2146128426829.88,7049923706740.39
47,4.14,-7.95,0.00,-0.00
