particule,x,y,vx,vy
0,523644.11,-158396.88,327.28,-99.00
1,227041441837786621064249344.00,-285177974767458454626893824.00,567603604594466670772224.00,-712944936918646200991744.00
2,2334162833217320809589368919425024.00,13177209348182486793259205630361600.00,7780542777391070205969826840576.00,43924031160608289310864018767872.00
3,76767144593705226559553536.00,261979110971733183452676096.00,767671445937052249489408.00,2619791109717331791577088.00
4,-5875146513369690472972288.00,103928386758613282347548672.00,-9791910855616149585920.00,173213977931022143062016.00
5,124743776345440724847555510272.00,-28482632047393790588369240064.00,415812587818135714673983488.00,-94942106824645963130339328.00
6,-0.02,0.03,-0.02,0.09
7,-0.00,-0.00,14721580373.52,-1726583810.72
8,204197276330562355200.00,-35585951608375070720.00,26832190505602879563235328.00,-8126284657729119300091904.00
9,-336022026524320353485947964227584.00,-194080129377073896599047326662656.00,-840055066310800838678873636864.00,-485200323442684758386116919296.00
10,-4137010295685289642819584.00,6021499436078280290074624.00,-5910014708121843269632.00,8602142051540400078848.00
11,-0.00,0.01,80747.85,-253006.85
12,0.12,-0.19,0.00,-0.00
13,16241.35,-29606.71,10.83,-19.74
14,-0.03,-0.02,9.79,10.72
15,-195085883557000294474711040.00,799094342549798064062726144.00,-243857354446250388226048.00,998867928187247639134208.00
16,69421026.04,-245471881.51,69421.03,-245471.88
17,0.02,0.02,-627003765914768900096.00,-515473240607950372864.00
18,9407479096839557349376.00,-14310044245911337435136.00,11759348871049447424.00,-17887555307389175808.00
19,359456459877146558464.00,314229847278039531520.00,399396066530162880.00,349144274753377280.00
20,-1658711076442352323804528640.00,786147861091372916075921408.00,-16587110764423523667542016.00,7861478610913729246658560.00
21,13214102636977687736877056.00,7989881048276236534546432.00,22023504394962809651200.00,13316468413793726103552.00
22,6892013879329.53,-5469894153749.66,86455979960818868810164082312073969664.00,-49839875664200399420202014083599302656.00
23,-71084.84,9509.88,-910782601140199506205841817600.00,988031472926481605335195844608.00
24,-198101291421391872.00,318074402024109440.00,-283001844887702.62,454392002891585.00
25,-277682.55,139500.91,-231.40,116.25
26,-71832690886291783006839977803776.00,108734702993130242678901234991104.00,-239442302954305958837256978432.00,362449009977100800485421481984.00
27,-14605524.81,-44917598.86,-9737.02,-29945.07
28,-596528.76,-951702.22,-497.11,-793.09
29,8466645.45,-7464749.57,6512.80,-5742.12
30,5950788019664545168490496.00,13787758554140472097374208.00,7438485024580681334784.00,17234698192675588276224.00
31,43433302528440542429184.00,70584816256166200868864.00,108583256295404175360.00,176462040604365062144.00
32,421075023951297721139200.00,-884739737750309888327680.00,1403583413170992578560.00,-2949132459167699697664.00
33,426210620469085.38,673246399778807.75,608872314955.84,961780571112.58
34,13835377156789832253440.00,-21903562241510312247296.00,23058961927983054848.00,-36505937069183856640.00
35,-2060392514313.47,1422474173936.36,-3434677301.28,2371011986.71
36,1816064754423422714833272832.00,-439862029417971388132622336.00,3026774590705704045117440.00,-733103382363285621833728.00
37,-15140735521177253987584062322114560.00,-3652060388890254397987683676717056.00,-37851838802943137671119932227584.00,-9130150972225634463745335885824.00
38,-133864863648185434278490716241920.00,-627350711081001757200358379094016.00,-267729727296370864334856781824.00,-1254701422162003550429513777152.00
39,42210904331980701696.00,-33789967499550474240.00,140703014658328336.00,-112633225028129552.00
40,16078985216284227010560.00,335898335331189962833920.00,80398230695297204224.00,1679496185963715231744.00
41,-33060191943943459438592.00,-21542530768725480570880.00,-55100319906572443648.00,-35904217947875799040.00
42,52644112960725692598252994560.00,297559259448973891183562457088.00,175480376535752329276686336.00,991864198163246256299704320.00
43,-220866533162064352.00,1854357597881514240.00,-200787757420058.47,1685779634437740.25
44,-329835.22,-86420.30,-17522749497509800378114697592832.00,-2859342356125245223484021276672.00
45,7219060931222418432.00,4046911161455964160.00,-34995093419586575017750180193632256.00,21374996410464933532549579855101952.00
46,-74543753155308194627584.00,43449282404879697969152.00,-372718871142891192320.00,217245955030446669824.00
47,1529791486.30,-2451735197.04,2160568.29,-3522919.86
48,3294581561107678.00,-12526064815462702.00,5490969268512.80,-20876774692437.84
49,-211.68,469.90,-0.11,0.25
50,-5912825680187558778249530336811679744.00,-314404515899797416619343998399545344.00,-59128256801875590733974355161645056.00,-3144045158997974235368730260406272.00
51,-190897818819796648026638909440.00,377896245147327547896913461248.00,-954489094098983295108775936.00,1889481225736637750479683584.00
52,3244228.89,-1774215.58,1544.87,-844.86
53,-35267340.16,-28280101.85,-39185.98,-31422.48
54,576810289897.21,-115441040901.33,640900322.11,-128267823.22
55,-0.03,0.00,-0.26,0.05
56,-23604174086923006303535104.00,-20333570377355913083224064.00,-78680580289743357476864.00,-67778567924519712849920.00
57,-33266746576080101376.00,-39042105894046105600.00,-41583433220100120.00,-48802632367557632.00
58,-2361855.53,-39265414.32,-2624.28,-43628.24
59,-241961997341795090432.00,-165662312693855485952.00,-1209821607651130880.00,-828315916773031296.00
60,-90013766296132588142592.00,-6420652247187670429597696.00,-450068831480662982656.00,-32103261235938351644672.00
61,8022640255036855683943235584.00,-37512058315975572534167863296.00,40113201275184280481300480.00,-187560291579877850301333504.00
62,-0.06,0.06,-0.00,0.00
63,63622994493618480.00,-22556449108486520.00,127245988987236.97,-45112898216973.02
64,106127088.85,265401067.10,66329.43,165875.67
65,-5261622236922023781907965149184.00,6401990144507225594551961911296.00,-8769370394870040032337461248.00,10669983574178709148331409408.00
66,-0.00,-0.00,8454350791203.35,3415948688426.27
67,40344798714463797248.00,-1085786860879806208.00,36677089740421640.00,-987078964436187.50
68,-160359841.63,575961706.86,-160359.84,575961.71
69,661848452065566378870156367495168.00,-350147306443601768850602332258304.00,6618484520655663428413593485312.00,-3501473064436017733542019596288.00
70,-5142036797692321638568165376.00,-4918832207332745844537425920.00,-7345766853846174806310912.00,-7026903153332493020561408.00
71,-47582950.47,49026343.29,-52869.95,54473.72
72,-5414800370991902720.00,1422381342726878208.00,-6016444856657669.00,1580423714140975.75
73,-1064944892288174364033024.00,33082714750281085565796352.00,-1774908153813623898112.00,55137857917135137800192.00
74,94896457184.24,-36102812521.51,86269506.53,-32820738.66
75,61582634272042094482685952.00,-28083778721837468914548736.00,87975191817203002376192.00,-40119683888339241402368.00
76,-1968815440354183936.00,-554850441993810816.00,-1789832218503804.00,-504409492721646.31
77,200647453195836066294136832.00,514735363151534461514940416.00,668824843986120246034432.00,1715784543838447993880576.00
78,-101775703575380.64,38073727388636.52,-113084115083.76,42304141542.93
79,-822947383230347578686492194384654630912.00,-1911551580496301663851574730396704702464.00,-2057368458075868982133979107483975680.00,-4778878951240754348523596140777570304.00
80,-2000907119739461120.00,-91718226332272880.00,-5002233251280329.00,-229445015096616.09
81,955658809275859712.00,278789056114968480.00,796382341063216.38,232324213429140.41
82,-0.27,-0.17,-0.00,-0.00
83,310053586427908325376.00,633251192498785867530240.00,442933694897011904.00,904644560712551235584.00
84,24272968569327760354639347712.00,-62480333224097975406184890368.00,48545937138655525244764160.00,-124960666448195959333584896.00
85,245.71,410.26,0.16,0.27
86,19552754570916225024.00,6918204890018301952.00,24440943213645280.00,8647756112522879.00
87,40259367654606091568807936.00,-94394177953588941160448.00,134197892182020305453056.00,-314647259845296455680.00
88,-399960938100629305299311007891456.00,-522839000575327736314157852524544.00,-3999609381006293120547104489472.00,-5228390005753277858537537536000.00
89,50407655861379945937294589952.00,-55933742081351864075419648000.00,72010936944828483691872256.00,-79905345830502667873419264.00
90,2656926406652836462985216.00,3512362667766099094798336.00,4428210677754727759872.00,5853937779610165968896.00
91,-308575842526251.62,-80917049728197.94,-237366032712.50,-62243884406.31
92,999060.91,-2570673.21,999.06,-2570.67
93,0.27,-0.67,-1323426753340116360495104.00,2527114630712018732056576.00
94,-9304517082.18,-1111506096.45,-10338352.31,-1235006.77
95,-2369606.96,-4937254.43,-1822.77,-3797.89
96,-372656271741025517568.00,455165622592417366016.00,-998532918803695927296.00,1763631243276745965568.00
97,482063739345877.38,1078015374794330.62,370818261035.29,829242595995.64
98,-8.71,-66.06,-0.01,-0.04
99,4789429705565156755374080.00,114503888795010494925635584.00,5986787131956446363648.00,143129860993763147513856.00
