particule,x,y,vx,vy
0,-160348178314.61,-19605988132.74,-160348178.31,-19605988.13
1,-177565.33,145116.84,-131795609753169226801844525727744.00,105589090104054597343740644294656.00
2,54147823.57,-99348310.13,4636763949400552199890006664282112.00,-8358797317795001003964898400534528.00
3,5.41,25.49,0.00,0.01
4,-1174229635065105881536640581632.00,-8777122363245109613686769582080.00,-3914098783550353004426166272.00,-29257074544150366551768301568.00
5,0.03,-0.03,0.00,-0.00
6,5152607050.87,3819752112.83,4293839.21,3183126.76
7,1291169110136466176.00,286201310213920032.00,2582338220272932.50,572402620427840.12
8,-338243152402755165017732278355009797619712.00,70981732089175128955244685467243966889984.00,-1691215762013775752553112214897298505728.00,354908660445875665932425270592230391808.00
9,24074881685849678590493693170417664.00,-4037645849325910511273613981646848.00,120374408429248402319955690782720.00,-20188229246629552826584047550464.00
10,27213991715812397390166491136.00,-14115787790188898545926406144.00,272139917158123990394339328.00,-141157877901888982710484992.00
11,-82605482666939136.00,310050367238692416.00,-828345142355862320346443786851878178914304.00,2541792885888192067916317775603791548121088.00
12,1231.67,1301.63,0.62,0.65
13,3632840914310.12,2321350030830.32,3302582649.37,2110318209.85
14,85456189276766.34,12656516304673.44,106820236595.96,15820645380.84
15,7308485353221082004324352.00,181307044747545046864101376.00,24361617844070273515520.00,604356815825150115053568.00
16,-20886523212542024613888.00,5278249776940758073344.00,-29837890303631466496.00,7540356824201082880.00
17,-813.01,-1027.44,-0.43,-0.54
18,-66760010599871266271789056.00,638335122539617477701140480.00,-111266684333118776672256.00,1063891870899362427043840.00
19,-2244610659786500958322688.00,-525436166250815400443904.00,-11223053298932505378816.00,-2627180831254076981248.00
20,-2010.10,2107.48,-1.06,1.11
21,-4608563664527470683369607528448.00,1538249020613556809521893998592.00,-46085636645274710703977005056.00,15382490206135568183179870208.00
22,2601094931226038656312531103782571708776448.00,1238936403380753311859292355786952107098112.00,26010949312260385982840917622803713228800.00,12389364033807534182447644818743194812416.00
23,2182301670824127.00,-245977743835240.16,4364603411204.85,-491955492089.12
24,-0.90,3.45,-0.00,0.00
25,-124967192884765376512.00,-279599674239986728960.00,-208278654807942304.00,-465999457066644544.00
26,-331527913642914199888842550436429824.00,-386090425688865735273799770651492352.00,-1657639568214571149324008351072256.00,-1930452128444328664839783807188992.00
27,19926294862060.32,-24371202532128.90,16605245718.38,-20309335443.44
28,-39054961571999571968.00,-63570906978199666688.00,-346766944587895296.00,-555676560734116608.00
29,-138377442572388800.00,115733218715523024.00,-460417606128228.25,377948261564877.62
30,69059406801741948125184000.00,-154623714438561891614720000.00,345297034008709740625920.00,-773118572192809458073600.00
31,-23971386124894140819945860506845184.00,-44736757729022558865932951698276352.00,-79904620416313798169505245954048.00,-149122525763408539881364984430592.00
32,-0.12,-0.20,-0.00,-0.00
33,-647680712531183180727202086912.00,-2007100398313681180878956396544.00,-1295361425062366390041706496.00,-4014200796627362484903215104.00
34,-10851998574808807616919269015552.00,8267408244977826782395978743808.00,-27129996437022020273751195648.00,20668520612444567483755528192.00
35,-20726.04,21318.82,-12.19,12.54
36,4.11,-0.43,0.00,-0.00
37,-14966083721165310941331966497128448.00,-28771038180856534377240146151997440.00,-74830418605826557228675623813120.00,-143855190904282675489080432656384.00
38,-227361393491057683036516068098048.00,308633287280461877598544208068608.00,-1136806967455288403923581272064.00,1543166436402309433028717314048.00
39,-13709554719641029012203896364184109056.00,-9354346508664598038456246656277938176.00,-137095547196410287170559911848312832.00,-93543465086645973743734600027340800.00
40,16569004416748469831122556120228429824.00,23828868718090512015673741510958907392.00,82845022083742352476026713868861440.00,119144343590452568194936099986997248.00
