particule,x,y,vx,vy
0,-52541393542064.58,-152764255879005.34,-65676741927.58,-190955319848.76
1,-2397471110315653632.00,18896366323862204416.00,-3424958729022362.50,26994809034088864.00
2,-87471809676944800219136.00,545989271910796031426560.00,-109339762096181002240.00,682486589888494960640.00
3,-273006251623962443776.00,-180768912180422208.00,-390008931358613824.00,-258241289639281.72
4,-5676919559315142802831048704.00,-9443912603583713757435527168.00,-8109885084735917682327552.00,-13491303719405305011896320.00
5,98626744076344320.00,63422140969044512.00,164377906793907.22,105703568281740.84
6,-0.00,0.00,-0.00,0.00
7,483951261890158165753856.00,-588112150271253968584704.00,806585436483596845056.00,-980186917118756782080.00
8,3351173272978853986304.00,1049945032656660987904.00,3723525858865393152.00,1166605591840734464.00
9,-387963498134589256237056.00,-486426027943251035553792.00,-484954372668236693504.00,-608032534929063936000.00
10,285541775252324574298112.00,117203912559678436933632.00,407916821789035003904.00,167434160799540609024.00
11,9524214517248932899192832.00,27694500186593177257377792.00,15873690862081556873216.00,46157500310988628426752.00
12,-26615722974344552382464.00,14992458438780989210624.00,-33269653717930692608.00,18740573048476237824.00
13,-2040.02,478.09,-1.46,0.34
14,-100738989239.85,-623202430595.59,-111932210.27,-692447145.11
15,22543583910731382784.00,33538637665811570688.00,28179479888414468.00,41923297082264568.00
16,-86309686101645.86,59000216338356.08,-123299551573.78,84286023340.51
17,2245504621704779646631936.00,-1769395274405777716019200.00,2806880777130974117888.00,-2211744093007222145024.00
18,-30242666926815804.00,848939432430189184.00,-43203809895451.15,1212770617757413.25
19,-80268665158517744.00,-7633027295501267.00,-80268665158517.77,-7633027295501.27
20,-152787179918285881737216.00,-5441442036253988977901568.00,-305574359836571795456.00,-10882884072507978022912.00
21,-85152706432877664.00,186953782926506816.00,-170305412865755.31,373907565853013.62
22,5297441591423708168192.00,-6294350840345290342400.00,5886046212693007360.00,-6993723155939211264.00
23,600229762175020032.00,-64625509663008608.00,666921957972244.50,-71806121847787.36
24,135539869653366630644711424.00,-370654203658340596522680320.00,193628385219095165927424.00,-529506005226200892440576.00
25,-22934521791.15,-25522303143.16,-28667528.16,-31902724.72
26,-22802550396911.66,-9439297167009.11,-28503187996.14,-11799121458.76
27,11683879392.68,15857022007.44,12982080.47,17618918.10
28,-648400241042679356456960.00,498415178801225807167488.00,-720444712269643644928.00,553794643112473133056.00
29,532846578.84,55765913.53,532846.58,55765.91
30,-164737432158559516229632.00,693209732928239751397376.00,-205921790198199386112.00,866512166160299720704.00
