//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
6,4.49,3.81,52614630.26,70741983663.11,-222200491.46,107963631.79
7,12.24,-12.86,4051329937848164.00,-1432773771063918.00,-17946650.20,-2522708.96
8,-17.92,8.60,-2675433413663.87,954428389388.34,-15697.34,9648.26
9,-10.12,-16.42,-31559731258795.35,-6156339392188.82,-380652.18,347505.57
10,-8.02,8.73,-136079954697.96,43538528554.43,5453455.30,6978442.94
11,-3.45,12.25,-2402695760083.98,568969391451.61,-105982.71,-319522.53
12,-5.69,-18.83,-1339956175925338.00,-684072334540060.75,-559859.23,-319301.26
13,13.23,2.04,29508289.25,26653390.23,-36.61,508493.27
14,-7.09,-0.21,-27931895368438.19,-76178602127035.81,57818.49,-18629.19
15,3.68,-16.52,2069369973.60,-510165035.02,198807972.21,-136389789.04
16,-1.38,16.06,-19733270882.19,9481727845.28,4106448392.28,84616275.23
17,7.59,-15.57,954741998225784.25,-769723551270057.38,-3059667136735.80,-1892529031326.33
18,10.20,10.14,748002447.93,409068304.39,-12522.39,-638.96
19,15.40,-12.60,21029166.05,-56351148565.92,-67184.06,-18145.62
20,-2.24,-1.45,-3921522448.13,-2969616769.28,-73833892.40,-30110522.56
21,16.00,-8.00,17180346106877941760.00,-18879183511552294912.00,1078181572.60,-251502621.86
22,10.85,-2.95,9886251567875.58,-49184042464.93,-307307.17,138888.01
23,0.20,8.05,43752803.37,243312436.70,-2291788973.64,-792783338.96
24,-11.50,-18.03,-21061744792.83,-70882325500.11,-5750551170.01,345611162786.13
25,18.92,17.88,14880534305.92,20656287978.24,-950628.51,35034.19
26,4.44,-2.50,28886831394632752.00,-339267128883092800.00,-13574346.57,-19606244.89
27,15.35,-2.90,1350294677736.02,811060333156.38,263083318248473.56,164993067807602.47
28,4.00,4.00,1715614301859338518528.00,588534119306800201728.00,146592675.43,-6853252.61
29,-15.84,-6.46,-222987957592777.34,-24327537390953.80,445366225059.59,-12616323462377.23
30,2.19,1.48,167651695941.70,6812910626.89,70491026.58,-95626669.52
31,18.94,-5.20,16833247143644.30,-10305640913442.80,1101127229314277.00,68305879480225.80
32,10.39,-6.45,294992435431033.56,-461040587072825.38,2361239.67,-10178685.62
33,12.55,-18.95,328787777363.61,-1901231087074.55,-13740871.88,10469921.01
34,0.71,14.34,2687423168.63,1256536170.54,-1270523.82,1400142.67
35,-8.94,12.11,-6064860500367833.00,2781975196778917.00,-4453339.37,-860486.09
36,-2.90,-10.29,-1042151170.58,-6350902886.55,2465637912.15,-13558602636.93
37,-8.39,17.00,-915455588464215.50,1061165799198108.88,-8726.36,3811.36
38,16.00,-8.00,1406642894070854912.00,-3747074293257083551744.00,-7903455526.97,-117144901791.07
39,3.09,-10.77,-3744489601.65,5350341494.23,-777800067039.08,1085849116427.52
40,-12.45,6.04,-558393538417.09,2391001864.69,122874779830.97,91480174372.14
41,-13.73,13.71,-1073760973560.56,665492652705.79,680591481.58,502798879.87
42,-3.26,-9.69,-68210363698936.66,32354779418090.77,-13638717879173630.00,6471501671633415.00
43,15.60,-2.13,1390280808393985.25,-300881036099753.31,-267161396269553.78,239621674765499.72
44,7.64,7.47,5750633993009.93,836923840350.45,-126.62,-119.00
45,-12.00,-11.50,-481598791039332288.00,-246295888348280736.00,-118838587561903.95,163135692156400.72
46,11.59,-12.48,6366794861966.16,-11556010586930.43,-9163168.87,-2864947.37
47,18.92,15.81,1592537495283830.25,318358585801023.88,36091848.56,-41436548.09
48,1.04,-1.09,3074432980090.36,-7488744027571.11,614882281372186.12,-1497737499172442.25
49,-13.62,-15.77,418482077487.48,-1108818258934.91,172022191251505.09,-28371958083473.84
50,14.08,-11.07,33706838066421.65,-40285904482727.93,51495563500.48,-41661687658.72
51,1.55,-8.28,2483539253.66,-4273383258.95,-10122346.02,-4341837.07
52,15.62,-11.25,15611465880.99,-7945962366.73,3942823.85,1098523.06
53,-0.33,12.25,-601377744.01,33462664904.63,-9921701.12,31548062.07
54,-17.58,-3.56,-1427886154529.10,-224100965959.80,1255115.22,2784018.25
55,5.50,-1.57,1504659329352.02,-16910519327365.45,-846942350647.50,-946271654833.08
56,19.23,7.08,181690387576618.81,40935052027742.20,16574756058.81,-3634439476.32
57,-8.28,-5.59,-4518740793022325.00,-1038249215412134.50,909964359751185.50,204515846887761.28
58,8.00,-12.00,26601985556235993088.00,-32497575276630265856.00,-151449006.24,-26654330.14
59,-11.27,-15.00,-8011185769.10,-5858019595.95,-9659944.49,-1979398.80
60,-13.30,-16.29,-24751575181.19,-21293257559.37,293288000.61,-2748128647.94
61,4.75,-18.50,35957298134717652.00,-32358584702072064.00,5979471.93,981577.97
62,-16.93,15.35,-42557581522.72,35665289083.61,1520555274146.26,1773762187921.23
63,-7.80,8.35,-1613212396309926.25,2402704927559870.00,26712871472099.30,-37405402994591.51
64,16.00,-16.00,537988403912414330880.00,-1809814978049966342144.00,12390545618800.58,-7276505716751.97
65,-6.55,-4.67,-9183281094.77,-5583916798.46,-1802885919012.66,-1068194290994.03
66,7.96,-14.23,6103125897946.30,-14292595000458.94,4800686.24,-13741991.34
67,12.75,-1.23,1540725103554.07,-681255402348.79,1960637.71,3450181.56
68,13.32,-9.77,3661596110323514.00,-455214229602746.12,-1728975919.33,-794118343.49
69,-12.36,15.71,-415139171551.57,577198614586.55,5439845619.45,6474014061.99
70,-2.00,12.00,-435940019094182144.00,2407430600185303552.00,476861243.78,-489160.11
71,-14.38,-13.12,-244915470.97,-4068274414.52,101726017.82,48084045.97
72,-6.42,3.03,-7172457134221.75,-17469200636155.18,-1433949323451861.75,-3495686339101708.00
73,15.36,19.56,195963934269.89,42908347067.37,81852755051.72,-88301827157.78
74,-4.53,15.50,-116674942.86,3282253327.51,-139800978.73,-231203120.52
75,10.40,-5.73,1195960449879.22,-68624712240.79,-42426.49,72411.76
76,-1.81,-18.46,-441537695062459.25,-44145908367986.07,-131930.15,-3446.12
77,-8.68,-5.48,-24716869353541.62,-17114722814779.54,-35557427.69,-131960.40
78,-14.19,-19.03,-30581095812.08,-22391532047.61,-149650848.01,395130486.41
79,-4.32,-18.93,-7471166977.78,-2969941666.96,189276.21,561191.49
80,3.59,-3.98,3451336487117941.00,-8469587571831316.00,17189990157.28,1754564845.56
81,-3.70,-14.25,-12891615633503.69,-2763280737948.27,3879392.96,-56113014.13
82,-13.32,-3.44,-54665336184.78,-9449654403.39,11076455.37,17474343.37
83,-8.00,12.00,-4092444624016380416.00,3431957857397868032.00,330085521366.62,147642030456.15
84,-0.38,-14.06,-2029763396158817.50,-153268833754121.53,23812963988119.81,17241304372595.98
85,4.00,0.00,6576945593242675216121856.00,64331491818931296416038912.00,-57231059.14,11097035.76
86,-14.17,-10.31,-18458045124.94,-1306049588.48,95993.60,-26855.05
87,-16.00,7.00,-936543421436910848.00,596078278362971008.00,-20235947601.53,-19077198975.68
88,-10.58,-7.78,-209934762724.20,-669538602461.60,55323730.48,-6332516.82
89,-15.94,-16.43,-3426615989543.50,-149268742140.54,96665679.57,-93623480.50
90,3.54,-10.43,279563773554620.38,-204934391535801.53,65058321380465.38,-50027419815638.77
91,-12.43,11.80,-9147202.09,43439685.22,-77817142.39,-66966858.47
92,7.29,18.65,184111976557034.16,85296436458902.91,28446365886.31,5467244505.87
93,-0.00,-12.00,-1122273213280919808.00,-2369753872438667264.00,-7789779.67,-25877389.03
94,17.30,-14.09,2890189373.10,-39386305863.22,7906078.22,-562682623.38
95,6.57,1.59,5375096240330.03,539541681813.50,-30909.30,62300.96
96,7.77,3.73,834648395879018.62,3818980844946296.00,26404.41,-226821.56
97,9.42,-1.16,3910581881573.84,-8407019469069.97,6077762078.46,4735728228.79
98,-18.65,1.38,-3046760103770335.00,3530402272671490.00,-11044544.54,-17866203.57
99,-12.41,14.00,-24556951559.02,124524074045.62,49908560950.06,209371259088.58
###### Tour 20 ######
0,-16.00,4.00,-177342925296761143296.00,35128022051672547328.00,-56333.81,905.55
1,0.25,5.25,129899141005483936.00,139880668028424752.00,748425489604.45,-272404968371.47
2,17.02,-8.00,10717568397061510.00,-87757232861725808.00,705548886.25,-2261112644.89
3,-18.00,-17.25,-61768275419196624.00,-16116652748731314.00,1264266.31,4919617.96
4,4.00,-16.00,18214357787760324608.00,-7466041608684164096.00,906311.07,477630115.72
5,-15.63,2.14,-634362248707771.12,149357867626011.12,1887370607.39,-295905810.20
6,-0.62,7.19,-65741728993.24,53200935693.92,2219192310.43,-1686334473.39
7,4.18,-15.20,3592412220906966.50,-1076694150875129.50,130750790.94,49851949.27
8,-0.11,12.98,-2674596733274.13,954582346866.61,188282940874.47,86213613523.92
9,-10.28,0.83,-1681741159704640.00,11992157907297.62,-18201864.74,-29847686.63
10,-14.16,-14.83,-3448547447.34,-122102573680.79,30237710533.42,50109210976.82
11,-5.46,11.64,-2121307221618.83,1014166195493.56,105206.79,-12207554.54
12,-0.52,-1.71,-1381736073950716.75,-666596530879977.25,699718585.74,48534554.65
13,-6.82,6.48,-2416703108.17,3343558398.62,-23470225520.33,-24133775175.35
14,-13.45,-4.14,-28004864886676.05,-76179193972838.53,-13524253.92,7799356.30
15,1.98,1.06,5735752271910.81,2714546331336.88,572670.38,-21904.59
16,-9.90,4.58,-7001268725037304.00,772396655760033.50,225108913.13,61779578.88
17,2.67,-16.15,954537158423692.38,-769786700482164.50,16510308.64,4945047.68
18,-7.91,6.79,-29135724390568.13,101661796912132.53,-1540530445734.11,-797720102171.42
19,-17.29,17.17,-3337084453369.18,5265406659517.63,-28130735274367.62,44898083417761.97
20,-15.27,-7.95,-72641079648.96,-793545038.95,-994774534.02,-1194812699.08
21,16.00,-16.00,17180343325468823552.00,-18879194576388108288.00,389905508.17,-559286.60
22,17.79,13.57,2132189535614932.75,699562406952327.00,2165479785370.88,-633655654052.02
23,-9.18,-15.46,-4958595288740541.00,-1243434776172472.00,-9081.69,-4169.61
24,2.85,-12.55,3251944838731738.50,-1557620125535145.75,12231639180.34,10691771821.39
25,5.77,-13.88,247933501339859.53,1161215957243709.25,46134589910243344.00,241929026016359104.00
26,17.69,-9.50,28918058523886840.00,-339250125660299008.00,71606974.22,-190948741.61
27,17.48,15.37,-3423615872066441.00,-4691057168253994.00,-685225878507182336.00,-938543809175908992.00
28,8.00,4.00,1715614291395028189184.00,588534115768180801536.00,15976935.10,-9344521.59
29,-2.20,6.10,-370146114430812.75,125044365870989.84,9013247.20,-10271670.72
30,4.46,7.69,167952230895.33,6829499371.12,11366955.82,-1189702.33
31,-7.39,15.80,-77940396281546.50,100080853841855.66,-77477392105.69,-10768621022.23
32,-15.67,2.73,-13523288292206008.00,12157369091742676.00,44659051.51,24512552.29
33,14.25,-0.77,337838065179.26,-1876881072867.02,670425.68,939310.22
34,12.93,1.15,-87952918199002.62,-115002067910982.66,-17775645630966626.00,-23037000333468756.00
35,-17.22,13.83,-10657776415718516.00,10106202055894516.00,226471158166.56,-331805701073.29
36,4.86,-1.12,82929037748.70,-396733237990.29,-15871729.78,22184759.11
37,10.62,5.00,86645537763449648.00,243024786500602624.00,-1578459.65,-14738669.47
38,14.00,-4.00,1406642893804547328.00,-3747074293265397186560.00,1812660.80,2253117.23
39,0.87,8.28,-19996798801064816.00,-7632122202310313.00,-4027828992217672704.00,-1527516560032339968.00
40,1.28,-11.59,11829864594094844.00,-26336312234328584.00,106078935538.52,-205251213998.06
41,-9.53,3.14,-635990501074.13,495564052301.91,625168.18,-1337901.12
42,-15.29,12.49,-136329437588127.12,64747376368839.12,-10180331.03,9100187.93
43,1.00,6.00,572333303769653504.00,190714758433523424.00,53807.12,-46588.25
44,19.01,0.14,5750811471243.52,838504979295.37,-20563777.87,52043512.78
45,-13.00,-5.00,-481608239126926976.00,-246295112337242112.00,-1770886584373616.75,23493800.17
46,-2.36,14.75,-348985700878465.31,373048549659843.56,3864556058273.02,-3060294839377.75
47,6.29,6.24,1592505447960943.75,318361944659596.38,303820496380.01,-452872140805.45
48,0.00,-4.00,611393572068697178112.00,-626079617112911249408.00,-3141081591.22,-14998121610.18
49,1.28,-1.11,1257731743527.61,-1224732598693.48,-355731.00,648610.50
50,19.76,-0.69,25798076636746.68,-38332775797225.24,266011.04,49554.54
51,7.84,-1.72,9143682510.86,-4959430125.54,77891613809.91,66832480633.67
52,-9.22,-7.17,-118299090109.48,-828942002385.63,-2184290.11,852860402.92
53,17.73,-12.02,134229448007814.67,-161045036575290.62,8025476347.16,1474886688.72
54,-6.34,12.28,-7044137531762.85,5165525260233.78,-10366.30,-26720.53
55,0.87,5.84,6750447999127953.00,9863224412481454.00,29462672.35,-1879047.34
56,16.38,-16.44,91799775745546064.00,-31599605732617488.00,29446158782.32,-30493159475.20
57,-14.39,-12.96,-5112556692324632.00,-2516498465614669.50,138025513645.32,176382995432.95
58,16.00,-8.00,26601951076851458048.00,-32497549875357757440.00,1998059.16,-3430574.60
59,-6.89,-2.77,-4343647376.34,-5566547489.46,15430186.88,5801528.71
60,-0.80,16.65,-17057660217.87,7234601224.24,-1343729.62,1619093.65
61,14.19,-9.62,35947835259912400.00,-32367684995127028.00,29962458999.06,25809422824.56
62,17.22,10.47,-454954854173226.75,6423702594960317.00,-229052220207489728.00,1177761755853454080.00
63,4.00,8.00,11427303362590251008.00,13336028748935104512.00,-63759328559.15,-22531915481.89
64,16.00,-16.00,537949090686712283136.00,-1809824611857045389312.00,404586916112.68,-471538307782.04
65,4.00,-12.00,16500783539565264896.00,-20863864027560243200.00,389953762.17,-622079.81
66,-11.55,19.43,-277503342760589.88,12445245420274.32,-2357929893500796.00,694814200467503.88
67,12.62,-4.70,1540716111379.08,-681369001052.95,-3007954585.78,-21963581816.75
68,12.59,-6.87,3661666802476767.50,-457107945783342.69,-375306035.60,1537595094.47
69,-1.45,-12.63,-7455648186947681.00,-6510731306762719.00,-1059916822.34,-1580273369.23
70,-11.00,16.00,-435939970468956608.00,2407430589536170496.00,64293267.76,68434142.72
71,15.34,-17.55,40091710.77,-4319907818.26,61372552.96,-14407247.23
72,-0.84,-9.91,-6891308825431746.00,-8418459884379741.00,134375.62,-356353.87
73,12.83,19.89,107345017922.44,19096295442.46,201869009.84,98280758.04
74,3.06,19.38,4045922354349.04,3805702815666.88,281.66,-524.49
75,8.78,8.30,797013125830.82,354884565209.24,197631124.33,-75589012.12
76,-16.86,-18.64,-441468598108764.44,-44212228966210.03,-128033708.37,387677507.13
77,19.36,16.44,11266228208239750.00,1179798010034823.50,-1527695.95,1457740.06
78,14.17,-13.47,19819504765652.68,-6913390793351.37,823993018011656.50,-218937194251745.09
79,-8.69,-4.28,-522877513245.19,-43656945091.16,-3015189105554.44,997845544205.29
80,4.13,-11.38,3451369293233192.50,-8469556155479111.00,2587577575082.22,2644407112681.06
81,-10.14,-13.96,-8560418558712.29,-16417616366565.09,-24447887925.25,18396179421.70
82,17.01,-11.50,5788972702773037.00,-247628397078774112.00,-3591.42,-4292.03
83,-8.00,4.00,-4082477756726453248.00,3448842384819253248.00,28615554976.06,3653999865.29
84,9.98,7.19,5364580385600558.00,6311341119971303.00,226611417.76,-80679145.56
85,4.00,4.00,6576945505788613411995648.00,64331491576935367032438784.00,1363785293.36,6096635885.76
86,-2.50,6.08,-54914569344088.10,42542209377368.53,-1515669550.08,-195525581.45
87,-0.00,16.00,-936543388677287296.00,596078345289758464.00,847619.52,-962102877.99
88,10.07,-9.12,309969586563227.06,-179247232091032.88,474633451.62,59636085.42
89,19.62,-4.77,3503700931152050.50,-9433503970771600.00,7274754.52,-16521684.95
90,1.36,-8.08,249153932446075.97,-211104913870230.84,249641.76,296340.87
91,-8.24,-5.58,-1428241836003.96,-1703711194157.87,-385364372612.36,3433850814580.27
92,16.00,0.00,368756722196373267546112.00,38688949648916704395264.00,30700701219.82,32444268334.31
93,-0.00,-12.00,-1122226316828151424.00,-2369807560099261440.00,-151236236532.69,-18658206077.00
94,-8.55,-9.19,-18297989113692.04,-6786883753448.73,-190500.18,-13078159.77
95,18.91,10.81,26527445008479220.00,35434032579895976.00,3118502154.54,15005043929.95
96,-4.00,4.00,-770107934316041469952.00,1342757577936564125696.00,18291023616.62,-23488684776.31
97,12.57,-15.93,3908170779567.89,-8424366491313.50,-30700808121.07,-32444333922.16
98,-11.49,9.06,-3044991358882329.00,3528658273436721.00,-112104.76,25373.93
99,-3.00,6.50,-143005288299876928.00,93591276533664096.00,-216181.73,250714.91
###### Tour 30 ######
0,-16.00,8.00,-177343664924662235136.00,35128046709857562624.00,-1596099658176.35,830178970242.36
1,-19.25,-0.00,-166029090213289344.00,-2227550324589228544.00,-18593658.81,-5682438.41
2,16.95,-9.00,12809564391166844.00,-86972865801908160.00,-13140597849617.42,-157686879607111.69
3,-18.12,-18.44,-61768551551142600.00,-16116637622941092.00,-920376.24,-1114625.46
4,4.00,-8.00,18214358254007937024.00,-7466041256945643520.00,5399198.49,6614490.93
5,-6.61,2.70,-2084954550706722.00,166856481958794.50,-58071355.16,28971868.75
6,1.90,19.83,125436031417.56,68381738593.60,5210356651.11,-7865544596.12
7,7.16,-9.37,3592459906154776.50,-1076706315431153.75,2766550889.32,-214475980.73
8,-5.52,7.88,-13829243370533890.00,2813895165620243.00,83184938.25,100663758.59
9,-1.00,6.05,-1680834244854939.25,18571889276996.89,1978.21,-26926.91
10,-19.44,-15.74,-139603761149.86,-198388123670.84,874024419.33,-2269431579.35
11,-0.36,4.32,-1041636121209.37,1708414448524.40,12522878965.11,2295910510.60
12,-5.71,-8.59,-1382033517164444.75,-668425968235941.75,-839800756.88,-752763983.52
13,-0.22,-8.43,-354162655876.64,-782641654697.52,-99873118118.33,24175837276.51
14,-15.91,-2.66,-26407658094362.30,-75167641068723.98,-2468732717913.93,-1287431545335.40
15,-9.91,-1.25,-683529950333125.75,-811266866553947.62,-22483404.62,8586433.66
16,16.00,8.00,8058213431193885858477375488.00,25974047176298749523446988800.00,-2110929.61,-183079.55
17,17.09,-0.19,954941000436250.62,-769497252581341.38,10417411.04,74755084.78
18,-1.73,14.60,-29610384202008.50,101976548301681.89,192740495.03,32881887.64
19,-11.69,7.70,-3344578900252.83,5990604959864.00,404457978.79,-132895953.30
20,8.00,4.00,22219363276410606227292160.00,58065353978400431346286592.00,-210856.55,-427278.70
