//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
160,-1618.00,-67.00,-10.00,0.00,1466.00,258.00,9.00,2.00,-277.30,1078.40,-2.00,7.00,-1614.00,1611.00,-10.00,10.00,1036.85,-73.93,7.00,0.00,857.00,-190.00,5.00,-1.00,211.73,-621.59,1.12,-3.88,1672.00,104.00,10.00,1.00,-1513.00,1673.00,-9.00,10.00,222.01,-844.01,1.00,-5.00
170,-1718.00,-67.00,-10.00,0.00,1556.00,278.00,9.00,2.00,-297.32,1148.43,-2.00,7.00,-1714.00,1711.00,-10.00,10.00,1106.84,-73.93,7.00,0.00,907.00,-200.00,5.00,-1.00,222.92,-660.35,1.12,-3.88,1772.00,114.00,10.00,1.00,-1603.00,1773.00,-9.00,10.00,232.01,-894.02,1.00,-5.00
180,-1818.00,-67.00,-10.00,0.00,1646.00,297.99,9.00,2.00,-317.34,1218.45,-2.00,7.00,-1814.00,1811.00,-10.00,10.00,1176.83,-73.92,7.00,0.00,957.00,-210.00,5.00,-1.00,234.11,-699.12,1.12,-3.88,1872.00,124.00,10.00,1.00,-1693.00,1873.00,-9.00,10.00,242.01,-944.02,1.00,-5.00
190,-1918.00,-67.00,-10.00,0.00,1736.00,317.99,9.00,2.00,-337.35,1288.48,-2.00,7.00,-1914.00,1911.00,-10.00,10.00,1246.82,-73.92,7.00,0.00,1007.00,-220.00,5.00,-1.00,245.29,-737.88,1.12,-3.88,1972.00,134.00,10.00,1.00,-1783.00,1973.00,-9.00,10.00,252.01,-994.02,1.00,-5.00
200,-2018.00,-67.00,-10.00,0.00,1826.00,337.99,9.00,2.00,-357.37,1358.50,-2.00,7.00,-2014.00,2011.00,-10.00,10.00,1316.81,-73.91,7.00,0.00,1057.00,-230.00,5.00,-1.00,256.48,-776.65,1.12,-3.88,2072.00,144.00,10.00,1.00,-1873.00,2073.00,-9.00,10.00,262.01,-1044.02,1.00,-5.00
210,-2118.00,-67.00,-10.00,0.00,1916.00,357.99,9.00,2.00,-377.39,1428.53,-2.00,7.00,-2114.00,2111.00,-10.00,10.00,1386.79,-73.91,7.00,0.00,1107.00,-240.00,5.00,-1.00,267.67,-815.41,1.12,-3.88,2172.00,154.00,10.00,1.00,-1963.00,2173.00,-9.00,10.00,272.01,-1094.02,1.00,-5.00
220,-2218.00,-67.00,-10.00,0.00,2006.00,377.99,9.00,2.00,-397.41,1498.56,-2.00,7.00,-2214.00,2211.00,-10.00,10.00,1456.78,-73.90,7.00,0.00,1157.00,-250.00,5.00,-1.00,278.85,-854.18,1.12,-3.88,2272.00,164.00,10.00,1.00,-2053.00,2273.00,-9.00,10.00,282.01,-1144.02,1.00,-5.00
230,-2318.00,-67.00,-10.00,0.00,2096.01,397.99,9.00,2.00,-417.43,1568.58,-2.00,7.00,-2314.00,2311.00,-10.00,10.00,1526.77,-73.90,7.00,0.00,1207.00,-260.00,5.00,-1.00,290.04,-892.94,1.12,-3.88,2372.00,174.00,10.00,1.00,-2143.00,2373.00,-9.00,10.00,292.01,-1194.02,1.00,-5.00
240,-2418.00,-67.00,-10.00,0.00,2186.01,417.99,9.00,2.00,-437.45,1638.61,-2.00,7.00,-2414.00,2411.00,-10.00,10.00,1596.76,-73.89,7.00,0.00,1257.00,-270.00,5.00,-1.00,301.23,-931.71,1.12,-3.88,2472.00,184.00,10.00,1.00,-2233.00,2473.00,-9.00,10.00,302.01,-1244.02,1.00,-5.00
250,-2518.00,-67.00,-10.00,0.00,2276.01,437.99,9.00,2.00,-457.47,1708.63,-2.00,7.00,-2514.00,2511.00,-10.00,10.00,1666.75,-73.89,7.00,0.00,1307.00,-280.00,5.00,-1.00,312.41,-970.47,1.12,-3.88,2572.00,194.00,10.00,1.00,-2323.00,2573.00,-9.00,10.00,312.01,-1294.02,1.00,-5.00
260,-2618.00,-67.00,-10.00,0.00,2366.01,457.99,9.00,2.00,-477.49,1778.66,-2.00,7.00,-2614.00,2611.00,-10.00,10.00,1736.74,-73.88,7.00,0.00,1357.00,-290.00,5.00,-1.00,323.60,-1009.24,1.12,-3.88,2672.00,204.00,10.00,1.00,-2413.00,2673.00,-9.00,10.00,322.01,-1344.02,1.00,-5.00
270,-2718.00,-67.00,-10.00,0.00,2456.01,477.99,9.00,2.00,-497.51,1848.68,-2.00,7.00,-2714.00,2711.00,-10.00,10.00,1806.73,-73.88,7.00,0.00,1407.00,-300.00,5.00,-1.00,334.79,-1048.00,1.12,-3.88,2772.00,214.00,10.00,1.00,-2503.00,2773.00,-9.00,10.00,332.01,-1394.02,1.00,-5.00
280,-2818.00,-67.00,-10.00,0.00,2546.01,497.99,9.00,2.00,-517.53,1918.71,-2.00,7.00,-2814.00,2811.00,-10.00,10.00,1876.72,-73.87,7.00,0.00,1457.00,-310.00,5.00,-1.00,345.97,-1086.77,1.12,-3.88,2872.00,224.00,10.00,1.00,-2593.00,2873.00,-9.00,10.00,342.02,-1444.03,1.00,-5.00
290,-2918.00,-67.00,-10.00,0.00,2636.01,517.99,9.00,2.00,-537.55,1988.74,-2.00,7.00,-2914.00,2911.00,-10.00,10.00,1946.71,-73.87,7.00,0.00,1507.00,-320.00,5.00,-1.00,357.16,-1125.53,1.12,-3.88,2972.00,234.00,10.00,1.00,-2683.00,2973.00,-9.00,10.00,352.02,-1494.03,1.00,-5.00
