i,x,y,vx,vy,ax,ay,fx,fy
0,16.610972,5.576859,0.510001,-0.370783,-1.244625,0.221606,-1.244625,0.221606
1,5.908842,0.320035,-0.654086,0.959346,-0.210956,0.270036,-0.210956,0.270036
2,12.448651,18.348198,-0.334884,0.734297,2.092483,1.787489,2.092483,1.787489
3,6.713767,3.567630,-0.429911,-1.020186,-23.664027,1.781582,-23.664027,1.781582
4,1.744074,15.764829,0.305326,-1.130021,-0.314299,-2.822868,-0.314299,-2.822868
5,10.596730,5.142800,-1.584501,-0.815839,7.682806,-1.346379,7.682806,-1.346379
6,14.215198,1.183160,-2.053155,-1.257318,0.001913,-0.471793,0.001913,-0.471793
7,18.149281,18.419002,1.327190,-0.963097,-2.730134,-1.626670,-2.730134,-1.626670
8,4.754480,1.747765,0.317570,0.099732,0.177702,-0.275828,0.177702,-0.275828
9,12.879654,2.721258,-0.768444,-0.393269,-2.024492,-0.902606,-2.024492,-0.902606
10,11.582560,3.185704,0.283977,0.783126,1.724240,-0.297389,1.724240,-0.297389
11,7.714327,3.566827,-0.967218,-0.305415,16.431958,0.850308,16.431958,0.850308
12,5.559592,11.918688,-0.972925,-0.873229,-0.187983,0.115966,-0.187983,0.115966
13,3.992484,19.047671,0.523028,-0.735554,4.445137,-5.229496,4.445137,-5.229496
14,13.742821,17.596696,-1.862028,-1.759522,-1.367488,0.564923,-1.367488,0.564923
15,8.414899,17.643084,1.578767,-0.261416,6.064573,-0.446796,6.064573,-0.446796
16,19.895572,0.795918,0.947211,-0.862925,-1.143623,0.332727,-1.143623,0.332727
17,17.151286,9.184862,0.205036,0.002399,-1.890638,-0.180757,-1.890638,-0.180757
18,15.191052,19.916269,-0.574605,-0.879159,-18.131556,22.512044,-18.131556,22.512044
19,6.540767,7.628504,0.126488,0.335786,-1.331979,1.172426,-1.331979,1.172426
20,3.623629,4.797986,-1.070293,-1.617985,2.153273,0.100468,2.153273,0.100468
21,16.920818,17.751802,0.805112,-0.918063,2.156994,-1.061651,2.156994,-1.061651
22,4.738524,9.458508,1.278462,0.607727,2.787390,0.714828,2.787390,0.714828
23,2.680175,0.690431,-0.067088,1.047991,-0.653194,1.504213,-0.653194,1.504213
24,8.472264,5.910170,2.731609,0.080830,4.561185,-0.543940,4.561185,-0.543940
25,7.367313,17.848083,-0.559264,-1.027262,-5.055524,2.476521,-5.055524,2.476521
26,2.954115,13.335005,0.404604,0.060843,-2.039476,0.669043,-2.039476,0.669043
27,17.950462,6.510845,-0.777073,0.223951,-0.035372,-0.351521,-0.035372,-0.351521
28,17.080112,18.870382,-0.056592,-1.006358,-0.802663,1.383067,-0.802663,1.383067
29,4.792015,4.679758,1.653521,-0.509498,-1.264182,0.671014,-1.264182,0.671014
30,1.569361,4.394858,1.920221,0.028882,-3.958857,1.011536,-3.958857,1.011536
31,10.701254,11.785777,0.273218,-0.616544,2.648320,0.300077,2.648320,0.300077
32,5.756252,16.705783,2.494661,-0.382612,1.756950,0.055446,1.756950,0.055446
33,11.012979,13.796692,-0.649720,-0.464086,1.477085,0.421965,1.477085,0.421965
34,10.257666,19.743253,-0.345651,-0.926960,-0.498814,-0.868233,-0.498814,-0.868233
35,16.201607,12.468709,-1.497177,-0.640832,-0.719388,0.559266,-0.719388,0.559266
36,14.947625,14.668773,-0.196710,-0.522295,-0.026399,-0.499009,-0.026399,-0.499009
37,14.752302,12.109395,-0.786146,1.075170,1.475827,0.822596,1.475827,0.822596
38,19.610623,6.606640,0.191491,0.925608,-0.106982,-0.682340,-0.106982,-0.682340
39,17.501435,3.019275,-1.296032,1.515007,-1.578613,-1.076733,-1.578613,-1.076733
40,18.414043,15.718334,-0.643113,1.461382,-1.463202,5.221401,-1.463202,5.221401
41,18.711342,14.670972,0.410540,0.458754,0.582095,-2.699771,0.582095,-2.699771
42,15.778284,8.049754,-0.236978,1.202933,-0.003409,1.439278,-0.003409,1.439278
43,10.377521,12.878677,0.678468,1.027338,0.518945,-1.310879,0.518945,-1.310879
44,4.999930,5.793008,-1.342029,-0.951728,-0.198521,-0.930933,-0.198521,-0.930933
45,3.227781,17.828305,-0.806457,2.357888,-0.180926,1.052324,-0.180926,1.052324
46,7.288630,2.046354,-0.356911,0.893646,0.438636,1.519678,0.438636,1.519678
47,14.172342,5.176855,1.119070,-0.787581,0.037514,0.238062,0.037514,0.238062
48,12.789801,6.518182,-0.874610,0.642027,-0.278089,-0.294211,-0.278089,-0.294211
49,7.288686,13.263163,-0.629420,1.134657,-2.486455,-0.150872,-2.486455,-0.150872
50,0.219872,18.339583,0.134459,0.841361,0.038805,-0.158645,0.038805,-0.158645
51,9.101434,11.061778,-1.158452,0.091152,0.401240,0.140580,0.401240,0.140580
52,11.720297,10.883065,0.114355,-1.957145,-1.227392,2.772974,-1.227392,2.772974
53,1.540530,13.142164,0.344369,0.773777,1.677266,1.399514,1.677266,1.399514
54,11.075759,7.244843,-1.765756,-0.617408,-1.744388,-0.460492,-1.744388,-0.460492
55,5.922946,14.163633,1.195992,1.965293,1.283415,-2.212227,1.283415,-2.212227
56,8.757370,3.387802,-1.555432,0.204440,6.684452,-2.035990,6.684452,-2.035990
57,17.432126,13.358946,1.327387,1.284235,-0.686293,-0.354169,-0.686293,-0.354169
58,2.100430,14.615268,-0.217898,-1.632706,-2.383706,1.183581,-2.383706,1.183581
59,18.464711,1.215464,-0.120963,-0.054224,0.468931,-0.583300,0.468931,-0.583300
60,0.476981,3.131540,1.336929,0.584623,0.020078,2.825149,0.020078,2.825149
61,14.836802,13.543221,-0.338463,0.372986,0.324897,-1.313951,0.324897,-1.313951
62,0.654381,5.380650,2.117189,-0.111250,2.801409,4.431062,2.801409,4.431062
63,7.273914,15.282198,0.899107,1.087446,-0.292566,0.809761,-0.292566,0.809761
64,3.985085,11.140152,-1.169565,2.087084,0.107934,-0.776026,0.107934,-0.776026
65,5.546399,8.555441,-0.795082,2.140542,-0.865371,0.500512,-0.865371,0.500512
66,3.474763,15.640798,-0.363931,0.385399,-0.909430,-0.193766,-0.909430,-0.193766
67,16.451702,2.134569,2.139411,1.556729,1.458128,1.056350,1.458128,1.056350
68,9.730832,7.145520,-0.974010,-1.359766,1.642976,-0.608568,1.642976,-0.608568
69,8.179767,9.219143,0.305408,0.926974,0.010420,0.047086,0.010420,0.047086
70,3.927559,8.738003,0.621357,0.776048,-1.255219,-0.272623,-1.255219,-0.272623
71,1.781090,17.305486,0.931834,0.317904,0.729433,-0.548000,0.729433,-0.548000
