i,x,y,vx,vy,ax,ay,fx,fy
0,16.470213,3.947188,0.659535,-0.344411,-1.056954,-1.872923,-1.056954,-1.872923
1,3.045876,2.120748,1.137496,-2.151580,0.712851,0.877855,0.712851,0.877855
2,13.437196,18.050657,0.760580,0.130507,-0.144172,0.006063,-0.144172,0.006063
3,5.854911,0.097988,0.003037,-0.347891,-2.392262,1.114858,-2.392262,1.114858
4,3.581010,18.242946,-0.691294,-1.597291,-2.382377,-9.147635,-2.382377,-9.147635
5,8.491944,7.385098,0.813981,-1.146369,-0.486966,-0.077271,-0.486966,-0.077271
6,9.816728,16.882457,1.627794,0.594200,10.339409,29.240497,10.339409,29.240497
7,17.597209,16.007122,1.446062,-0.021102,2.061046,-0.611885,2.061046,-0.611885
8,3.738107,3.688068,-0.786836,1.485719,-1.881446,0.498306,-1.881446,0.498306
9,10.622464,2.853010,1.902078,0.692582,-0.376638,2.102187,-0.376638,2.102187
10,10.552281,19.527074,1.188417,1.039815,0.980713,0.075580,0.980713,0.075580
11,11.388501,4.524881,1.060960,0.180890,6.920017,3.404609,6.920017,3.404609
12,4.518169,10.497996,0.995671,0.905492,0.038887,-0.231311,0.038887,-0.231311
13,4.724672,19.168706,-0.380125,0.488548,-1.202095,1.175591,-1.202095,1.175591
14,14.196602,6.132740,0.985297,0.883340,-1.565302,0.880605,-1.565302,0.880605
15,8.919094,2.041654,-0.846530,-0.602407,0.199450,-0.939259,0.199450,-0.939259
16,2.501556,3.620228,1.970024,-0.370007,1.752231,0.231518,1.752231,0.231518
17,17.646989,6.491538,1.089820,-1.182295,-0.343753,2.002828,-0.343753,2.002828
18,14.736557,4.025343,-0.638752,0.124045,-0.576523,0.169506,-0.576523,0.169506
19,7.565088,10.586235,-0.402215,0.266870,0.801529,-1.079846,0.801529,-1.079846
20,1.127573,7.968559,-1.849764,-0.429112,-0.745347,-0.961702,-0.745347,-0.961702
21,18.552635,2.596413,-0.686923,1.243152,-6.914978,-6.895974,-6.914978,-6.895974
22,6.659570,8.010686,1.298554,0.106269,0.526689,0.586525,0.526689,0.586525
23,0.316834,1.849855,0.390368,-0.485459,0.143053,-2.727933,0.143053,-2.727933
24,10.937732,9.441472,-0.748291,-1.200560,2.500943,-0.066875,2.500943,-0.066875
25,5.109654,1.036841,-0.631938,0.705382,3.796773,-10.117585,3.796773,-10.117585
26,1.060979,10.420940,0.208290,0.678978,0.303709,-0.360135,0.303709,-0.360135
27,17.752214,5.400807,-1.252804,1.810972,0.182713,-2.142032,0.182713,-2.142032
28,0.342373,17.017746,0.118624,2.448687,-0.372241,-0.209048,-0.372241,-0.209048
29,4.157345,5.816757,0.644840,-0.589364,1.306756,2.121214,1.306756,2.121214
30,1.423261,4.729088,-0.862226,-0.033969,-3.152205,-10.174738,-3.152205,-10.174738
31,8.606908,15.362335,0.378084,-1.446708,-6.402336,-4.048906,-6.402336,-4.048906
32,2.371256,18.496082,0.735064,1.893563,4.507933,0.136906,4.507933,0.136906
33,4.091103,17.056514,0.852560,0.680643,-2.295971,2.461599,-2.295971,2.461599
34,12.028751,19.440342,-0.048837,0.775662,-1.122636,-0.065763,-1.122636,-0.065763
35,18.802059,10.186306,-0.627320,0.590191,-0.639501,1.112716,-0.639501,1.112716
36,13.316104,11.267334,0.858779,0.456062,0.300467,2.165837,0.300467,2.165837
37,13.329157,13.550159,0.193953,-0.945752,-1.843085,-1.474847,-1.843085,-1.474847
38,0.024377,2.893842,-1.410033,-0.666943,-3.119878,2.661369,-3.119878,2.661369
39,18.608806,1.540145,-0.436758,-0.910761,1.047303,-6.730669,1.047303,-6.730669
40,18.821307,15.526898,-0.433957,-0.773061,-1.720315,0.720413,-1.720315,0.720413
41,18.829801,13.507343,-0.551632,0.965477,-0.516731,0.076040,-0.516731,0.076040
42,13.873133,7.459397,1.535594,-1.186096,0.152862,-1.799425,0.152862,-1.799425
43,9.474231,15.958280,-0.445569,1.369595,-4.382984,-24.782367,-4.382984,-24.782367
44,5.350336,6.113124,-1.594176,-0.091473,-2.350958,-1.054215,-2.350958,-1.054215
45,3.601232,19.299786,-1.211987,1.120496,0.603728,-0.800028,0.603728,-0.800028
46,10.461153,4.022281,-1.213278,-1.496898,-6.301941,-5.519515,-6.301941,-5.519515
47,16.006579,2.730486,0.025847,1.623936,0.539857,2.120673,0.539857,2.120673
48,15.831522,6.397194,-0.178737,-1.057018,-0.265895,-0.053469,-0.265895,-0.053469
49,5.386676,15.699213,1.395250,-1.171950,-0.205430,0.156593,-0.205430,0.156593
50,18.834577,17.817972,-0.511361,-0.195385,-0.198031,0.008547,-0.198031,0.008547
51,7.283951,11.848543,0.959418,-0.671767,1.236094,-2.349567,1.236094,-2.349567
52,8.857415,12.082196,1.312415,0.032768,-0.924237,-0.302774,-0.924237,-0.302774
53,19.486925,8.644122,0.604067,1.506929,0.201286,-1.717846,0.201286,-1.717846
54,15.499114,9.449731,-1.620854,0.227065,-5.870684,9.650248,-5.870684,9.650248
55,2.992082,6.773281,1.825803,-0.565790,0.300385,-0.959800,0.300385,-0.959800
56,6.840419,1.603180,1.392661,0.836328,-0.476866,-0.391671,-0.476866,-0.391671
57,13.686365,12.396903,1.284945,1.921053,-1.822804,0.258814,-1.822804,0.258814
58,0.778219,15.300409,-0.065800,-0.261686,-0.883707,3.527232,-0.883707,3.527232
59,18.943763,19.647217,-0.150978,1.059549,-0.074841,-0.098210,-0.074841,-0.098210
60,0.661813,3.804285,-1.738174,0.007829,0.863317,2.897790,0.863317,2.897790
61,18.424169,11.496130,-1.039022,0.651508,0.508879,-1.689053,0.508879,-1.689053
62,19.503709,7.310548,-0.221836,-1.838338,1.569514,1.011837,1.569514,1.011837
63,4.391876,8.510179,-1.081841,0.986068,-0.055112,0.120475,-0.055112,0.120475
64,6.608851,9.996615,-2.470462,-0.044087,0.608038,-0.269652,0.608038,-0.269652
