i,x,y,vx,vy,ax,ay,fx,fy
0,19.960130,6.985163,1.178983,-0.074506,-0.086031,0.083352,-0.086031,0.083352
1,8.562166,1.340295,0.705929,1.208537,2.274713,3.192187,2.274713,3.192187
2,13.980874,18.988016,-0.052271,0.146190,-0.048032,1.334559,-0.048032,1.334559
3,6.732546,1.460057,0.874133,0.253525,-13.560734,6.853574,-13.560734,6.853574
4,1.884792,12.733065,0.086805,-2.113080,-0.938830,2.805132,-0.938830,2.805132
5,9.192100,3.335164,-0.595722,0.503388,4.419365,5.265335,4.419365,5.265335
6,9.173111,19.720013,-0.046167,-0.188558,-1.160844,0.015859,-1.160844,0.015859
7,0.656468,18.267733,-0.890153,1.295469,-0.109511,-2.826690,-0.109511,-2.826690
8,7.578334,0.881673,-0.599708,0.445176,8.202136,-10.535883,8.202136,-10.535883
9,10.551731,4.147323,2.026865,0.717421,10.914568,-12.889108,10.914568,-12.889108
10,11.640474,4.783542,-0.836693,0.551725,-2.547977,-1.034750,-2.547977,-1.034750
11,4.452057,3.302194,-1.554884,-0.172205,26.675711,5.177840,26.675711,5.177840
12,1.558985,13.972014,-1.669894,-0.517803,6.567589,-10.991926,6.567589,-10.991926
13,2.470241,16.502105,-0.340729,-0.966618,1.426806,-1.731166,1.426806,-1.731166
14,17.019280,13.299727,1.622113,-0.815632,-6.444733,-3.066529,-6.444733,-3.066529
15,8.148792,17.877466,-0.057731,0.742355,0.324434,0.011260,0.324434,0.011260
16,2.470529,2.393149,0.405163,-0.319886,-8.212710,28.823873,-8.212710,28.823873
17,19.982700,5.513363,-1.420822,-0.685734,5.390145,0.840938,5.390145,0.840938
18,14.221300,0.343744,1.473315,1.131662,9.358032,1.065882,9.358032,1.065882
19,4.451680,5.968709,1.257611,0.441387,25.482812,21.451344,25.482812,21.451344
20,8.401917,2.620544,0.604775,-1.816449,-4.142842,-6.154750,-4.142842,-6.154750
21,0.211063,15.840973,1.489822,-0.210481,0.780042,-0.206178,0.780042,-0.206178
