i,x,y,vx,vy,ax,ay,fx,fy
0,16.939747,3.974489,-0.926758,0.702300,0.099224,1.881481,0.099224,1.881481
1,4.858738,0.484300,0.827973,-0.857255,-1.153277,10.260526,-1.153277,10.260526
2,14.000903,18.365792,-0.247776,-0.558498,0.257434,0.432428,0.257434,0.432428
3,7.351780,0.185017,-0.684080,0.182543,2.189042,-0.228928,2.189042,-0.228928
4,2.043697,17.035623,-0.637354,-1.144663,3.955700,6.207801,3.955700,6.207801
5,11.142847,5.680548,0.558272,-0.998069,-13.440584,-5.973990,-13.440584,-5.973990
6,14.005327,0.009150,1.570878,2.344190,1.252849,1.605997,1.252849,1.605997
7,19.091825,17.751742,-0.692394,0.942410,-2.081421,-1.021434,-2.081421,-1.021434
8,4.135019,1.350367,0.671112,-2.110133,0.035040,-1.997792,0.035040,-1.997792
9,12.249297,4.294691,-1.828069,0.179622,20.778832,6.707854,20.778832,6.707854
10,11.112655,2.106776,0.149368,1.092126,0.096465,0.145770,0.096465,0.145770
11,11.283378,4.016295,-1.459080,-0.562130,-20.981175,-5.569834,-20.981175,-5.569834
12,6.006700,11.842399,-0.294840,0.004646,-5.819027,-16.855739,-5.819027,-16.855739
13,4.746091,18.681322,-0.163079,0.110474,-0.965523,3.050577,-0.965523,3.050577
14,14.068342,3.573371,0.677285,-2.631386,1.914845,-0.965238,1.914845,-0.965238
15,8.610150,0.076154,1.318264,-1.346528,-1.359261,-0.439674,-1.359261,-0.439674
16,0.375118,1.597941,-1.839925,-1.084116,-0.251552,2.072994,-0.251552,2.072994
17,15.366357,7.713239,-0.618223,1.024497,46.987570,18.463290,46.987570,18.463290
18,15.109633,2.702416,1.051099,-0.434336,-1.130981,1.807399,-1.130981,1.807399
19,6.356632,9.395123,0.506027,-1.305670,-2.605940,-0.271017,-2.605940,-0.271017
20,0.837213,7.774307,-0.404748,-0.782379,1.212644,-1.168833,1.212644,-1.168833
21,15.695789,0.430615,-1.961748,-1.351694,-2.263327,1.126062,-2.263327,1.126062
22,6.077068,8.229495,-1.311403,-0.579366,0.098427,2.134139,0.098427,2.134139
23,1.487377,0.916682,0.873155,-0.034262,-3.410115,0.243318,-3.410115,0.243318
24,11.060822,7.659506,-1.870905,-1.918620,2.811723,2.476896,2.811723,2.476896
25,5.464536,19.633437,0.636137,-0.146366,3.479169,-9.227806,3.479169,-9.227806
26,1.593666,12.049448,-1.023383,1.089592,-1.288055,-1.795014,-1.288055,-1.795014
27,17.555943,5.276439,-1.705128,-0.070593,-8.448846,-1.056943,-8.448846,-1.056943
28,18.405809,0.579786,-1.049633,1.095064,19.883778,-33.225234,19.883778,-33.225234
29,5.751711,4.735689,-0.426873,0.813314,1.346357,-1.006307,1.346357,-1.006307
30,0.539925,3.142732,-1.251329,-0.979086,-0.766346,-0.750837,-0.766346,-0.750837
31,9.794469,13.064015,0.466078,-1.148938,-1.379749,-0.315165,-1.379749,-0.315165
32,3.316849,18.963760,1.812085,0.635476,-0.102490,-0.169966,-0.102490,-0.169966
33,6.743236,15.782285,1.423361,-0.900217,0.019419,0.040805,0.019419,0.040805
34,12.187986,0.414396,-1.022787,0.318610,0.219868,0.074158,0.219868,0.074158
35,17.516512,11.120290,0.039016,0.388847,-1.850368,0.270646,-1.850368,0.270646
36,15.310264,12.694093,-0.360985,1.304954,1.541902,0.908557,1.541902,0.908557
37,14.349861,13.532367,-0.545564,-0.487142,-0.299624,-1.989639,-0.299624,-1.989639
38,19.512459,4.535491,1.282706,1.823655,-3.919037,0.512684,-3.919037,0.512684
39,17.964970,1.446917,-0.384132,-0.227209,-15.020573,36.905895,-15.020573,36.905895
40,19.220615,15.031733,-0.501363,-0.118987,0.386345,-0.048357,0.386345,-0.048357
41,17.866476,13.580872,2.508923,0.499247,-1.615402,-0.192076,-1.615402,-0.192076
42,14.995524,8.881969,-0.270540,0.172665,0.477276,-2.928234,0.477276,-2.928234
43,9.587499,14.753129,0.914145,-0.985163,-6.542828,0.578887,-6.542828,0.578887
44,5.624426,6.452294,-0.342171,-0.424533,-2.174552,-0.613566,-2.174552,-0.613566
45,3.229588,17.772348,-1.039287,-0.468828,-1.085200,1.726555,-1.085200,1.726555
46,8.195396,2.071552,-1.009330,0.228001,-0.023055,0.080223,-0.023055,0.080223
47,15.630341,4.079037,0.332393,-0.528312,1.212676,-1.346151,1.212676,-1.346151
48,14.460153,7.398794,-0.499359,1.370293,-47.796031,-16.133336,-47.796031,-16.133336
49,8.504854,13.008687,1.132249,-1.968961,2.309882,0.193942,2.309882,0.193942
50,17.942230,17.195630,0.614427,-0.068214,1.924212,0.994184,1.924212,0.994184
51,10.036715,10.160778,1.392664,-1.050093,2.715690,-1.900520,2.715690,-1.900520
52,10.551273,11.821866,0.468809,-0.123081,-0.854244,0.684808,-0.854244,0.684808
53,0.776377,11.123084,0.741583,1.155487,1.622327,1.785256,1.622327,1.785256
54,12.454411,9.431743,-1.754351,0.051096,1.226998,5.692726,1.226998,5.692726
55,3.222803,10.267493,1.170199,2.290320,1.246838,1.904503,1.246838,1.904503
56,9.136746,3.655455,1.572221,0.388282,-0.347295,0.310627,-0.347295,0.310627
57,16.486537,13.370007,0.900483,-0.238656,-0.311349,-1.713766,-0.311349,-1.713766
58,1.582154,16.076560,1.100505,0.720017,-3.267069,-6.292001,-3.267069,-6.292001
59,19.141819,1.595039,0.376850,-0.432471,-0.057147,-2.955650,-0.057147,-2.955650
60,18.731159,2.640310,0.593172,1.196518,-0.546350,-0.769170,-0.546350,-0.769170
61,16.187584,11.870372,-0.149392,1.099801,-0.741541,-0.189988,-0.741541,-0.189988
62,17.439884,6.515034,1.561257,0.422928,-0.744168,-3.425609,-0.744168,-3.425609
63,3.691789,11.482387,1.399286,0.142527,-1.014776,-0.037622,-1.014776,-0.037622
64,5.595215,10.348269,-0.425520,0.874570,0.176481,-2.466484,0.176481,-2.466484
65,1.996600,5.244939,2.036225,1.810223,-0.087852,1.046911,-0.087852,1.046911
66,3.520073,12.659756,-0.395532,1.400597,0.514090,-2.000650,0.514090,-2.000650
67,14.592900,1.135413,0.840339,0.247919,0.925144,-2.631614,0.925144,-2.631614
68,11.857558,8.554794,0.685727,-0.816266,-6.823391,-6.683315,-6.823391,-6.683315
69,10.418600,8.815388,-2.034370,1.738854,3.651995,1.234567,3.651995,1.234567
70,4.432183,6.220562,0.928330,1.754465,1.882751,0.662165,1.882751,0.662165
71,2.131158,19.315280,-0.325339,-1.486576,2.469168,-0.380870,2.469168,-0.380870
72,15.623106,15.638460,0.294620,1.643967,-0.839418,2.278570,-0.839418,2.278570
73,16.063917,10.589311,-1.115124,-1.427258,1.004153,2.559900,1.004153,2.559900
74,9.805309,19.223323,0.336752,0.481300,-1.100540,0.502025,-1.100540,0.502025
75,13.084068,13.277307,-1.311157,-0.668727,2.277387,0.433106,2.277387,0.433106
76,13.120438,6.397539,0.520066,-0.413258,1.907662,3.040392,1.907662,3.040392
77,15.078466,16.827391,0.733738,1.073678,-8.066343,-7.740948,-8.066343,-7.740948
78,18.320393,4.270453,-1.076349,-0.638390,-0.990436,-0.032629,-0.990436,-0.032629
79,12.094897,6.056666,0.896578,1.404719,10.664684,6.180675,10.664684,6.180675
80,1.839295,6.780564,0.117642,-0.021889,1.221001,0.854748,1.221001,0.854748
81,6.330153,12.807445,0.207027,-0.716923,4.314799,16.715034,4.314799,16.715034
82,0.928398,15.126900,0.446675,0.274046,0.274579,1.131647,0.274579,1.131647
83,7.253325,18.029587,-0.637441,1.672888,0.011564,0.114192,0.011564,0.114192
84,6.196815,2.728405,0.683649,0.220101,0.664689,1.372524,0.664689,1.372524
85,3.052409,7.163106,0.487841,0.640342,-1.816687,-1.092009,-1.816687,-1.092009
86,3.929823,19.958544,-0.997236,-0.747003,-4.154185,-3.738896,-4.154185,-3.738896
87,4.691227,9.378277,-1.101077,0.990506,1.868039,1.618110,1.868039,1.618110
88,12.192971,7.236923,-0.839043,0.281629,-1.109935,-1.060869,-1.109935,-1.060869
89,15.940085,17.409260,0.367049,-0.871580,8.852481,5.646981,8.852481,5.646981
90,16.099639,5.998295,-0.106716,-0.011295,1.825526,0.248355,1.825526,0.248355
91,5.067678,13.550706,1.872730,0.899474,0.895429,-1.082724,0.895429,-1.082724
92,11.201127,17.105869,1.850834,0.590122,-0.547410,0.070559,-0.547410,0.070559
93,8.415318,5.142411,0.369995,-0.677519,0.204675,-0.643219,0.204675,-0.643219
94,18.604031,5.333245,0.208844,-1.284208,10.046477,0.835485,10.046477,0.835485
95,9.514072,17.344687,-1.409984,-0.108213,0.500028,0.168569,0.500028,0.168569
96,11.286108,9.745684,2.598068,-0.563495,-0.547357,-3.623553,-0.547357,-3.623553
97,0.158909,0.526996,-1.352669,1.279379,-0.081740,-0.767921,-0.081740,-0.767921
98,6.677190,3.781996,0.993569,-0.705682,-1.909402,0.176499,-1.909402,0.176499
99,10.629489,14.561573,0.285265,-0.844048,6.277643,-1.650863,6.277643,-1.650863
