i,x,y,vx,vy,ax,ay,fx,fy
0,18.361173,7.146123,1.242821,-0.263657,0.777855,-0.674853,0.777855,-0.674853
1,8.382173,1.240618,1.022224,-0.648442,-1.632690,1.489983,-1.632690,1.489983
2,13.482627,18.234050,-0.203472,0.230926,-2.004129,1.778902,-2.004129,1.778902
3,5.763484,1.601552,-0.307774,0.103488,-6.132806,4.773205,-6.132806,4.773205
4,1.319450,13.491350,0.596867,-0.532363,1.084131,-1.795423,1.084131,-1.795423
5,8.241743,2.751167,-1.504054,-1.082523,-2.267764,-1.730670,-2.267764,-1.730670
6,9.156149,19.548985,-1.994027,0.000766,-2.376341,-0.319134,-2.376341,-0.319134
7,0.820925,17.497204,0.798739,0.340754,2.955976,-2.863881,2.955976,-2.863881
8,6.587256,0.931559,1.947110,1.431755,6.118101,-1.408028,6.118101,-1.408028
9,11.490423,2.862209,-1.392410,0.523877,0.069826,0.986817,0.069826,0.986817
10,11.592737,4.368839,0.855995,1.301648,0.221570,-0.442213,0.221570,-0.442213
11,5.678774,3.971109,0.068194,0.269582,0.734026,-1.615270,0.734026,-1.615270
12,3.653306,15.224407,-3.145774,0.364716,1.734896,-1.536966,1.734896,-1.536966
13,2.694140,17.282278,-0.328257,-1.170551,-2.782833,0.131741,-2.782833,0.131741
14,15.280056,14.260988,1.442003,-0.790524,1.509091,-0.848315,1.509091,-0.848315
15,8.352451,17.063635,-0.211535,-0.277840,-0.022264,-0.940966,-0.022264,-0.940966
16,2.179642,2.283096,0.268197,0.002761,-2.959321,0.516601,-2.959321,0.516601
17,0.206985,6.852254,0.340921,-0.382112,-0.793680,-2.794612,-0.793680,-2.794612
18,12.710780,19.215788,1.556331,2.120745,2.345369,1.014522,2.345369,1.014522
19,5.249835,7.012450,-1.072036,-1.100645,0.477139,-0.465888,0.477139,-0.465888
20,7.239044,2.102910,1.846340,1.570323,-0.051527,-1.068820,-0.051527,-1.068820
21,19.775459,16.538509,0.553715,-0.522101,0.877875,-0.470436,0.877875,-0.470436
22,5.995999,13.102306,0.655203,1.778207,2.414267,1.093743,2.414267,1.093743
23,5.366923,18.970974,1.788124,-0.266518,0.175162,0.100148,0.175162,0.100148
24,4.391383,7.700210,0.386078,1.584312,7.891853,12.121799,7.891853,12.121799
25,4.558437,16.740200,-1.280671,-0.658566,0.998491,0.642453,0.998491,0.642453
26,2.791631,13.623712,0.117855,-0.785375,-0.641007,0.070163,-0.641007,0.070163
27,16.299168,8.926236,0.589331,-0.536221,23.707161,6.159255,23.707161,6.159255
