i,x,y,vx,vy,ax,ay,fx,fy
0,16.483461,5.146004,-0.363707,0.552787,1.756893,1.644990,1.756893,1.644990
1,6.554158,19.453011,-0.513131,-0.322442,2.734622,-2.202091,2.734622,-2.202091
2,13.621952,18.377310,-1.353102,0.096602,0.502364,0.055684,0.502364,0.055684
3,6.637178,1.994913,0.373423,2.203049,2.491237,0.370425,2.491237,0.370425
4,1.657238,16.769539,-0.731051,-0.489746,1.835372,-0.708118,1.835372,-0.708118
5,11.581103,6.047107,1.264427,0.574540,0.332180,0.619760,0.332180,0.619760
6,13.293448,2.005737,1.731143,0.752196,-1.457322,-1.014841,-1.457322,-1.014841
7,17.841538,18.984078,-0.951073,0.963649,-6.133219,-26.316281,-6.133219,-26.316281
8,4.451964,1.573270,0.295545,0.221241,0.022300,-0.109464,0.022300,-0.109464
9,12.911177,3.035377,1.239004,-1.607043,2.346779,3.895255,2.346779,3.895255
10,12.045933,2.388622,-1.287685,0.719687,-0.843222,-2.879153,-0.843222,-2.879153
11,9.333044,4.185115,-1.998182,-0.391817,0.101493,-2.272149,0.101493,-2.272149
12,5.686249,11.586919,0.039578,0.312588,0.277690,0.843829,0.277690,0.843829
13,4.315806,18.853457,0.100970,0.088567,3.512480,-4.881554,3.512480,-4.881554
14,14.757843,19.499422,-0.454896,-1.487572,0.698497,-1.365912,0.698497,-1.365912
15,8.546717,18.384988,0.164532,-1.714105,-2.194795,-0.058745,-2.194795,-0.058745
16,19.436842,1.575148,-0.870101,0.462656,-1.508055,2.444530,-1.508055,2.444530
17,16.638112,9.038853,0.894482,0.400645,-1.765670,-0.908198,-1.765670,-0.908198
18,15.574795,1.711539,-0.882666,-1.725890,1.370486,-0.927770,1.370486,-0.927770
19,7.001672,7.696719,1.408849,0.207198,1.552099,0.769245,1.552099,0.769245
20,2.639502,6.496426,2.740803,0.515586,0.547272,2.963913,0.547272,2.963913
21,15.982524,18.620265,3.145999,-1.722093,-0.450272,-0.674971,-0.450272,-0.674971
22,4.537980,8.200528,0.450008,0.645570,8.941269,7.989962,8.941269,7.989962
23,2.096181,0.897315,0.377012,-0.051679,0.182526,-0.141734,0.182526,-0.141734
24,9.193930,6.253573,-1.598734,-0.318095,2.179951,0.252485,2.179951,0.252485
25,6.826548,18.311876,0.429226,-0.157556,-22.383819,37.538609,-22.383819,37.538609
26,2.333938,13.569050,1.197542,0.104283,-31.822963,-21.506931,-31.822963,-21.506931
27,17.391112,6.008446,-0.494732,1.318284,-3.849041,-1.155088,-3.849041,-1.155088
28,16.676020,19.708225,-0.983432,-0.296209,2.258870,-0.220840,2.258870,-0.220840
29,5.211626,5.104896,-0.194789,0.271046,0.922509,1.049735,0.922509,1.049735
30,0.387077,3.908152,1.335946,1.317014,-2.625676,-0.326188,-2.625676,-0.326188
31,10.814975,11.994391,0.381819,-0.433940,1.198121,0.742689,1.198121,0.742689
32,4.283963,17.421506,0.687872,-1.083510,-0.660458,1.051893,-0.660458,1.051893
33,9.379344,14.444563,2.444816,-0.784763,0.319182,-1.054952,0.319182,-1.054952
34,10.571706,0.512688,-0.706413,-0.646768,1.980342,-0.878854,1.980342,-0.878854
35,16.708493,12.035124,-1.084807,0.115616,0.505021,1.609860,0.505021,1.609860
36,15.112956,14.369073,-0.176701,0.622229,0.537630,-2.374304,0.537630,-2.374304
37,14.187041,12.291128,1.401030,-0.741574,0.883897,0.727297,0.883897,0.727297
38,19.846221,6.585318,-0.970637,0.416693,-0.804043,-2.238625,-0.804043,-2.238625
39,18.516841,2.402351,1.512721,-0.661874,-7.843114,-10.559112,-7.843114,-10.559112
40,18.683511,15.146686,0.131088,-0.255746,0.801765,-1.608046,0.801765,-1.608046
41,19.198624,14.094705,-1.787361,0.687420,-0.890397,1.533359,-0.890397,1.533359
42,15.508678,8.268784,0.889736,-1.056790,-0.403521,-0.304901,-0.403521,-0.304901
43,10.199818,13.191972,-0.309809,-0.959070,0.992318,-1.003351,0.992318,-1.003351
44,5.794649,6.446520,0.024345,-1.535093,1.137442,-1.875545,1.137442,-1.875545
45,3.016779,16.466493,0.047151,-1.407738,-2.741404,-0.797286,-2.741404,-0.797286
46,7.932232,1.680293,-0.183819,-0.491699,-2.058144,2.053651,-2.058144,2.053651
47,14.260467,4.780865,-1.328177,1.040150,-0.477082,0.265340,-0.477082,0.265340
