i,x,y,vx,vy,ax,ay,fx,fy
0,17.363898,7.296619,1.158631,-0.171291,-0.425041,0.190500,-0.425041,0.190500
1,6.931340,1.644011,2.161451,1.669794,-0.507021,2.114203,-0.507021,2.114203
2,12.964141,18.122273,0.817181,-0.533166,0.952864,5.562312,0.952864,5.562312
3,5.546448,2.968848,-0.189075,-0.587305,-5.100327,-28.735514,-5.100327,-28.735514
4,1.506401,14.255163,0.821159,-1.064862,-1.311709,0.750802,-1.311709,0.750802
5,9.308375,3.507391,-0.964568,-0.620599,-1.093709,-0.485624,-1.093709,-0.485624
6,10.726455,19.465996,-1.790413,0.185851,0.548044,-0.222537,0.548044,-0.222537
7,0.418395,16.897566,0.855997,0.851218,-1.194242,-0.863020,-1.194242,-0.863020
8,5.320249,19.754661,2.467903,1.263546,-4.332625,-0.141100,-4.332625,-0.141100
9,12.451952,2.900060,-0.723554,-0.315201,-1.334352,-0.133925,-1.334352,-0.133925
10,11.296410,2.964626,-0.049789,1.958960,1.315747,-1.341462,1.315747,-1.341462
11,5.743382,3.940687,-0.795337,-0.891131,5.094411,26.573076,5.094411,26.573076
12,4.524633,14.818606,-0.302378,2.500929,2.096212,-0.497577,2.096212,-0.497577
13,2.980077,18.163594,-0.527616,-1.253605,2.004924,-3.608749,2.004924,-3.608749
14,14.460847,14.684114,0.449202,-0.561930,2.956449,-1.286937,2.956449,-1.286937
15,8.425340,17.147411,-0.991134,-1.751267,0.831189,0.067244,0.831189,0.067244
16,1.610981,1.813954,0.067712,1.406410,0.744259,-1.676201,0.744259,-1.676201
17,0.498672,7.349371,-0.385218,0.124489,2.388798,-0.610687,2.388798,-0.610687
18,12.350849,19.210870,-0.223970,-0.685438,0.490980,-2.143481,0.490980,-2.143481
19,5.808045,8.123447,-0.527583,-0.817774,19.443689,-13.588936,19.443689,-13.588936
20,5.815756,1.823417,1.936017,-0.573207,1.134309,3.239468,1.134309,3.239468
21,19.298495,16.805017,0.816166,-0.790575,-1.608190,0.142813,-1.608190,0.142813
22,5.326755,11.565900,-0.939922,-0.235974,8.768462,21.626222,8.768462,21.626222
23,3.874202,19.528566,1.782550,-1.354097,1.856992,-1.157557,1.856992,-1.157557
24,4.847342,7.353847,-1.992498,1.210397,0.989366,4.081966,0.989366,4.081966
25,5.686531,16.794891,-1.683568,0.457865,1.701378,-0.738598,1.701378,-0.738598
26,2.683599,14.318056,-0.625808,-0.875628,-1.914626,0.721396,-1.914626,0.721396
27,16.600807,9.161560,-0.115418,0.023984,-0.601474,0.259667,-0.601474,0.259667
28,16.523205,18.546993,-0.294883,0.055843,0.352172,0.210571,0.352172,0.210571
29,4.086223,2.863464,0.416334,-1.085154,12.623396,-3.942211,12.623396,-3.942211
30,1.766277,5.941730,-2.122228,-0.780776,1.967610,0.123355,1.967610,0.123355
31,11.942881,10.362075,-0.048144,-1.134737,-2.136617,2.705350,-2.136617,2.705350
32,6.009874,18.278534,0.759673,0.872005,-1.103758,1.673172,-1.103758,1.673172
33,11.221846,14.121968,-2.014761,0.825757,0.762346,-0.355479,0.762346,-0.355479
34,8.467094,18.811282,-1.339046,0.910083,1.300564,-1.891568,1.300564,-1.891568
35,14.233218,11.670430,0.017063,-0.367999,0.262709,0.121003,0.262709,0.121003
36,15.689461,14.651581,1.866321,-1.610664,-3.708577,-2.401601,-3.708577,-2.401601
37,12.118375,13.339822,-0.404829,-0.237258,-1.699397,1.079785,-1.699397,1.079785
38,19.622990,6.652268,-0.718736,-1.195737,0.009275,-0.119660,0.009275,-0.119660
39,18.007091,4.516731,-0.103423,-0.550058,1.165375,2.641450,1.165375,2.641450
40,17.723278,15.933929,-1.117563,0.137432,1.214600,2.363547,1.214600,2.363547
41,0.326074,14.650777,-0.152109,0.674559,-0.708937,0.483733,-0.708937,0.483733
42,15.946003,10.640861,0.063065,2.941493,0.247572,-0.378058,0.247572,-0.378058
43,10.848386,10.828173,-0.063043,-1.362158,3.066935,0.093254,3.066935,0.093254
44,2.655302,4.762064,-1.392615,0.235408,-0.099027,-0.023869,-0.099027,-0.023869
45,2.802313,19.224141,-1.438107,-1.098076,-1.281811,4.737125,-1.281811,4.737125
46,6.769773,2.792477,-0.461010,-0.112152,-2.356326,-1.422875,-2.356326,-1.422875
47,12.737249,4.889784,-0.682143,0.725175,-0.026989,-0.202454,-0.026989,-0.202454
