i,x,y,vx,vy,ax,ay,fx,fy
0,17.491192,3.566963,-0.452622,0.321121,-12.899643,9.427619,-12.899643,9.427619
1,4.703162,1.640742,-0.094722,-1.123430,1.630172,0.442335,1.630172,0.442335
2,14.588947,18.223337,-0.666831,0.534429,-25.299182,7.557506,-25.299182,7.557506
3,6.926258,19.979719,0.783702,0.218104,-0.114271,0.129322,-0.114271,0.129322
4,2.744462,17.649805,-0.030229,0.722993,-5.527920,-0.555092,-5.527920,-0.555092
5,10.086677,6.107712,1.227864,-0.587480,0.192049,0.097885,0.192049,0.097885
6,12.580157,18.862023,1.864068,1.405966,0.426970,0.866033,0.426970,0.866033
7,19.105664,16.934979,0.674118,1.115083,-1.999634,0.258432,-1.999634,0.258432
8,3.923198,2.439243,0.301784,-1.504667,0.167736,0.292448,0.167736,0.292448
9,13.058086,4.486613,-1.113544,-0.182860,-14.848844,-36.276544,-14.848844,-36.276544
10,11.020866,1.295858,0.120091,1.111877,-0.050821,-0.025448,-0.050821,-0.025448
11,11.785848,4.496119,0.389962,-1.133547,3.159129,2.233015,3.159129,2.233015
12,6.032603,11.510925,0.105959,0.600840,-0.157159,-1.419933,-0.157159,-1.419933
13,4.493432,18.877737,-1.292404,-1.114301,5.270953,0.061684,5.270953,0.061684
14,14.705947,5.212102,1.887488,0.207749,-0.184556,2.084147,-0.184556,2.084147
15,8.577585,0.976554,0.100802,-0.022149,0.647968,2.055982,0.647968,2.055982
16,1.329222,2.050959,-1.102736,0.712548,-2.768061,53.678481,-2.768061,53.678481
17,16.389065,7.569797,0.150495,-1.477670,-8.818579,11.706624,-8.818579,11.706624
18,14.326271,3.447017,0.775278,-1.644965,1.360904,2.406249,1.360904,2.406249
19,6.598005,10.083067,-0.553774,-1.565639,-2.454797,-1.139930,-2.454797,-1.139930
20,1.417794,8.099133,-1.020446,-0.989954,2.115106,0.781989,2.115106,0.781989
21,17.010660,1.542360,-1.081588,-1.716734,-17.120871,3.553724,-17.120871,3.553724
22,6.821734,8.403178,-0.699572,-0.172998,7.066056,-3.550951,7.066056,-3.550951
23,1.377023,1.095385,0.487887,0.323246,4.291640,-54.226318,4.291640,-54.226318
24,11.145245,7.685569,0.552747,-0.385592,0.417855,1.983136,0.417855,1.983136
25,5.064887,19.993927,0.086114,-0.491808,-2.636151,-2.046201,-2.636151,-2.046201
26,1.644741,11.149624,1.606135,0.975782,-0.903568,-1.499018,-0.903568,-1.499018
27,17.410780,5.099590,0.166154,0.868545,1.378627,-1.258080,1.378627,-1.258080
28,19.628991,19.952941,-0.448262,-0.088785,-3.355088,2.444877,-3.355088,2.444877
29,5.328967,4.924899,1.076087,-0.605057,-1.983569,0.461176,-1.983569,0.461176
30,1.194103,3.510054,-0.260285,-1.553367,-2.223098,0.034212,-2.223098,0.034212
31,9.161917,14.119696,-0.104189,-1.418424,6.025274,-11.642565,6.025274,-11.642565
32,2.420100,18.981936,0.587677,-1.423725,2.313929,-0.184907,2.313929,-0.184907
33,5.729333,16.490816,1.282962,-1.016527,0.153129,0.057919,0.153129,0.057919
34,13.075297,0.346292,-1.058811,-0.261744,-16.609559,-7.542799,-16.609559,-7.542799
35,17.645948,11.223281,-0.784748,0.210581,2.108410,-4.712469,2.108410,-4.712469
36,14.761452,12.182903,1.406938,0.476136,0.803739,1.718691,0.803739,1.718691
37,14.753836,13.930365,0.513891,0.901679,-32.226220,-35.635533,-32.226220,-35.635533
38,19.734807,3.357632,-0.526005,1.477053,-0.238408,1.107495,-0.238408,1.107495
39,18.007974,1.350248,-1.085604,0.594450,13.423920,-1.084107,13.423920,-1.084107
40,19.409408,15.237581,0.406708,-0.570145,2.128459,0.229456,2.128459,0.229456
41,17.082187,13.100085,-1.571580,-0.278359,-0.584872,33.764689,-0.584872,33.764689
42,15.448037,8.196506,-1.100285,1.522943,0.340254,-0.481394,0.340254,-0.481394
43,9.040110,15.149945,1.314984,-0.178895,3.885288,15.024925,3.885288,15.024925
44,5.606816,6.627672,0.128172,-0.092895,-0.068804,-0.392941,-0.068804,-0.392941
45,3.703534,18.112202,-0.152695,-0.294701,3.321478,3.112018,3.321478,3.112018
46,8.988992,2.171507,-1.226908,-1.538018,-1.347620,-1.649860,-1.347620,-1.649860
47,15.288252,4.235044,0.775895,0.150387,-2.165896,-0.298736,-2.165896,-0.298736
48,14.683000,6.370507,-1.464538,1.356783,-3.662483,-0.371714,-3.662483,-0.371714
49,8.170899,14.542547,0.977287,-2.656933,-8.884521,-2.065799,-8.884521,-2.065799
50,17.958034,17.349944,-0.719928,-0.148499,2.194596,-0.808133,2.194596,-0.808133
51,9.226290,11.035996,0.682123,-1.351121,-0.294823,-1.083360,-0.294823,-1.083360
52,10.000524,11.833735,1.104297,0.373023,0.481716,0.463750,0.481716,0.463750
53,0.578137,10.534429,-0.216171,0.541242,2.132650,1.143057,2.132650,1.143057
54,13.574135,9.475686,-1.193075,-0.095058,-0.298192,0.072821,-0.298192,0.072821
55,2.449523,8.809468,1.175461,1.925565,-1.957107,-1.267888,-1.957107,-1.267888
56,7.877987,3.279493,1.939082,0.709995,-1.741732,-0.128630,-1.741732,-0.128630
57,15.619859,13.357300,1.504826,0.109172,9.280241,-6.371353,9.280241,-6.371353
58,0.904123,15.810496,1.107991,0.353266,-0.101590,4.267645,-0.101590,4.267645
59,18.986537,0.909891,0.503038,1.128668,4.886519,-2.840915,4.886519,-2.840915
60,18.396739,3.095173,-0.150092,-1.178005,15.825354,-6.111336,15.825354,-6.111336
61,17.062815,12.118613,-1.088029,0.156151,-3.826872,-29.358717,-3.826872,-29.358717
62,16.969164,6.724090,-0.400924,0.370945,7.239432,-13.042774,7.239432,-13.042774
63,3.103408,10.608361,-0.552996,2.034120,-5.516904,-11.826380,-5.516904,-11.826380
64,5.112069,10.215257,0.158586,0.521643,1.986546,-0.262506,1.986546,-0.262506
65,0.430612,4.649165,2.248613,-0.345377,-0.358064,-2.013492,-0.358064,-2.013492
66,3.481885,11.567785,0.634065,1.924836,4.746317,12.226772,4.746317,12.226772
67,14.014731,0.733046,0.780586,0.611327,16.251364,6.647170,16.251364,6.647170
68,11.942584,10.277124,-0.091280,-2.070634,-0.335087,-1.256103,-0.335087,-1.256103
69,11.278073,8.947884,-0.960363,-0.769837,-0.299248,-1.054534,-0.299248,-1.054534
70,4.035857,5.052834,0.122278,1.546809,2.185714,-0.070184,2.185714,-0.070184
71,2.403447,0.435417,-1.034598,-0.686530,-1.333985,-0.521923,-1.333985,-0.521923
72,15.189844,14.790373,-0.552661,-0.372880,27.804977,22.795089,27.804977,22.795089
73,16.455480,10.192265,-0.143198,0.789909,0.638824,0.658278,0.638824,0.658278
74,9.459815,19.084893,0.519933,-1.616070,-0.144392,-2.252077,-0.144392,-2.252077
