i,x,y,vx,vy,ax,ay,fx,fy
0,16.299787,7.705764,0.090660,-0.818341,1.349446,-28.245749,1.349446,-28.245749
1,5.269145,1.013634,-1.231017,0.411857,-3.819248,0.050259,-3.819248,0.050259
2,12.157932,18.434915,-0.082163,0.698830,3.731499,-4.852505,3.731499,-4.852505
3,5.656995,3.027578,-0.440169,0.581255,8.886574,-4.703103,8.886574,-4.703103
4,1.530546,14.876905,-0.722592,-0.890025,10.020339,9.304800,10.020339,9.304800
5,9.680904,3.849815,-0.796172,-0.441584,12.645604,2.744331,12.645604,2.744331
6,11.474304,19.244653,1.034976,-0.906408,-6.174362,5.475557,-6.174362,5.475557
7,19.891808,17.177577,0.670882,-1.773080,-3.014570,-0.460311,-3.014570,-0.460311
8,4.175506,0.185159,0.245437,-3.148838,-0.546927,-1.345828,-0.546927,-1.345828
9,12.750357,3.321305,0.555746,0.150356,-6.203468,-20.565950,-6.203468,-20.565950
10,11.690777,3.204934,0.093984,-0.834266,-5.296549,-0.520488,-5.296549,-0.520488
11,6.426542,4.779819,-0.582010,-0.541104,-2.386439,-0.901221,-2.386439,-0.901221
12,4.136811,13.449732,-1.146230,1.206724,3.076498,-3.161423,3.076498,-3.161423
13,3.461127,18.664118,0.291713,0.592246,-0.097058,-0.444209,-0.097058,-0.444209
14,13.442703,15.592205,2.455488,0.459349,-4.748556,0.410912,-4.748556,0.410912
15,8.774612,17.536531,-0.720713,-0.030099,0.129750,1.933330,0.129750,1.933330
16,1.564926,0.443060,1.557495,0.190197,2.499036,-1.677361,2.499036,-1.677361
17,0.357372,8.147005,0.672905,-0.537047,-0.517892,-0.745992,-0.517892,-0.745992
18,13.233326,19.642405,-1.450345,-0.216396,-0.913018,-0.582640,-0.913018,-0.582640
19,6.405152,8.152654,-0.627084,-0.077580,-2.619591,-0.949773,-2.619591,-0.949773
20,4.373231,2.401826,1.693377,-0.531765,1.487531,-0.165392,1.487531,-0.165392
21,18.665446,16.918369,-0.089970,0.376234,1.521219,-3.052199,1.521219,-3.052199
22,5.043363,11.262543,0.740976,0.248892,-2.952788,-0.120344,-2.952788,-0.120344
23,3.976877,1.252210,2.547831,-2.038241,9.851282,9.245159,9.851282,9.245159
24,6.440390,6.796746,-1.203810,1.943692,-2.041005,2.839217,-2.041005,2.839217
25,6.873398,16.984483,-0.749618,-1.216600,-7.436729,9.467849,-7.436729,9.467849
26,3.153578,13.900710,1.075110,0.135781,-2.652163,3.026786,-2.652163,3.026786
27,17.216449,8.237494,-0.479949,1.729648,3.424451,4.030240,3.424451,4.030240
28,16.940604,18.598943,-0.755905,-0.304177,3.075057,4.546988,3.075057,4.546988
29,4.741946,3.525779,-0.024596,-1.627277,-13.746182,-2.917347,-13.746182,-2.917347
30,2.509241,4.883429,-0.431718,1.145662,-7.567706,3.659905,-7.567706,3.659905
31,11.811295,10.996910,-0.066833,-1.035899,-0.177768,2.841243,-0.177768,2.841243
32,5.643100,17.379907,0.221856,1.149797,1.626692,-0.706249,1.626692,-0.706249
33,12.314296,13.332885,-1.857697,-0.520576,3.929413,4.024089,3.929413,4.024089
34,9.064667,18.877592,-0.735298,0.056523,0.281412,-2.018723,0.281412,-2.018723
35,13.937233,11.953786,1.170980,-1.098870,93.597996,-84.787976,93.597996,-84.787976
36,14.507235,15.436834,-1.137988,0.120626,3.203948,-2.204746,3.203948,-2.204746
37,13.274738,12.571312,-0.389572,0.023802,-95.406681,87.287158,-95.406681,87.287158
38,19.677856,7.229055,-0.483233,-1.132841,0.565169,0.725615,0.565169,0.725615
39,17.745720,4.552481,0.312410,0.165772,7.358293,3.304243,7.358293,3.304243
40,17.910040,15.992326,0.590004,0.564243,1.924860,1.993559,1.924860,1.993559
41,0.473632,15.103722,-1.202360,0.379578,-4.611706,-0.086068,-4.611706,-0.086068
42,16.005598,8.657084,-0.682308,2.457190,-6.743806,22.535246,-6.743806,22.535246
43,11.081930,11.875347,0.216127,-1.294921,-19.093637,-10.378232,-19.093637,-10.378232
44,3.479427,4.442014,-0.898632,0.742295,5.436371,-3.280544,5.436371,-3.280544
45,2.320590,19.485224,-0.909991,1.403718,0.830181,2.160901,0.830181,2.160901
46,6.783798,2.722379,-0.176762,0.175008,-1.603229,0.107752,-1.603229,0.107752
47,13.291321,4.164150,-1.532882,-0.451782,12.377481,19.383128,12.377481,19.383128
48,13.558039,6.916614,-0.138838,0.978050,-1.861839,1.599458,-1.861839,1.599458
49,6.718063,15.108082,-0.311499,0.950489,0.417308,0.653601,0.417308,0.653601
50,19.795827,18.581543,-0.449515,-0.089358,0.026265,-1.751159,0.026265,-1.751159
51,7.120073,11.778128,-1.150560,0.661856,-0.097221,-0.049327,-0.097221,-0.049327
52,11.379308,8.679712,-0.475851,-1.421491,-1.715601,-1.302298,-1.715601,-1.302298
53,1.377405,11.977069,-0.242693,-0.914755,0.066329,0.111141,0.066329,0.111141
54,10.299230,7.898007,-1.079539,2.259945,1.920502,0.052945,1.920502,0.052945
55,7.415430,16.096716,0.180971,1.366301,4.702955,-10.629052,4.702955,-10.629052
56,7.303133,1.126526,-1.231732,-1.705192,-0.365900,0.579122,-0.365900,0.579122
57,18.769632,14.801819,0.603762,-0.495636,0.929679,3.254805,0.929679,3.254805
58,3.809591,15.133652,2.751003,0.594248,-1.609858,-1.536654,-1.609858,-1.536654
59,18.909753,1.125072,0.715627,-0.172013,-0.026003,1.086561,-0.026003,1.086561
60,2.258026,3.449996,0.757839,-0.639490,0.982090,1.970923,0.982090,1.970923
61,14.897844,12.871066,0.532902,-0.920370,-2.529320,-1.343014,-2.529320,-1.343014
62,2.411639,6.047949,-0.135738,0.961015,-1.629122,-3.142354,-1.629122,-3.142354
63,9.335499,14.124241,0.494875,-1.059566,1.187141,0.740333,1.187141,0.740333
64,4.087251,12.147710,-0.123094,1.890594,1.646330,0.480337,1.646330,0.480337
65,5.931030,9.271474,0.459881,-0.188643,0.564266,-2.188365,0.564266,-2.188365
66,2.422665,15.805707,0.344868,-0.109754,-0.790093,-2.282531,-0.790093,-2.282531
67,19.092010,2.628362,1.376356,0.370721,-0.207052,-1.050205,-0.207052,-1.050205
68,8.798375,6.317712,-0.034926,-0.194324,0.263863,0.101878,0.263863,0.101878
69,8.850498,10.252570,0.348339,0.388590,-0.019644,0.029624,-0.019644,0.029624
70,3.879509,8.458034,-1.172079,-1.708439,-0.688172,1.978951,-0.688172,1.978951
71,3.985070,17.570806,1.600226,0.917046,-0.450792,1.977579,-0.450792,1.977579
72,17.058303,16.814666,-0.186139,1.400638,3.377696,-2.498648,3.377696,-2.498648
73,14.464837,10.951490,-0.267918,0.264805,-0.299736,0.806794,-0.299736,0.806794
74,13.419444,2.111214,0.243282,0.723320,-1.013890,1.730280,-1.013890,1.730280
75,13.848612,14.233600,1.033964,-1.000139,0.223932,2.034843,0.223932,2.034843
76,16.913213,11.149978,0.317698,1.051758,-0.082026,-0.023509,-0.082026,-0.023509
77,16.392653,17.686248,0.835059,-1.253814,-4.028592,-3.559113,-4.028592,-3.559113
78,16.789220,4.115137,0.952650,-0.853425,-7.315623,-3.375008,-7.315623,-3.375008
79,10.623770,6.796968,-0.462276,0.387236,-0.512585,1.174434,-0.512585,1.174434
80,3.229805,9.583135,1.149764,0.853783,3.456896,-0.670239,3.456896,-0.670239
81,6.111036,14.106724,-0.877844,-0.460953,0.783775,1.506040,0.783775,1.506040
82,1.020241,13.966471,-0.948630,-1.263874,-5.663202,-6.411975,-5.663202,-6.411975
83,10.637688,18.375103,-1.675075,-0.968840,1.907527,1.856879,1.907527,1.856879
84,5.258556,4.446352,-0.745700,-0.705661,5.756444,5.686245,5.756444,5.686245
85,2.174766,9.942083,2.958642,1.596940,-0.332576,0.212234,-0.332576,0.212234
86,3.073300,0.720672,-1.075802,0.217217,-6.951428,-6.863415,-6.951428,-6.863415
87,4.252992,10.370295,0.349919,0.253563,-0.436911,0.256395,-0.436911,0.256395
88,8.673728,3.628469,-0.332402,-0.643211,-12.697051,-2.786720,-12.697051,-2.786720
89,19.387256,15.840564,1.148510,-0.464926,-1.247410,0.206692,-1.247410,0.206692
90,14.478611,6.335562,1.228896,-1.647876,3.003444,-0.147661,3.003444,-0.147661
91,10.601203,14.835859,1.214786,0.464922,-1.176587,-0.661689,-1.176587,-0.661689
92,12.596020,16.698537,1.424583,-1.462158,0.965908,-1.018495,0.965908,-1.018495
93,5.304176,7.408834,-1.373489,1.921349,3.460384,0.507002,3.460384,0.507002
94,1.395570,5.397636,0.305795,2.786681,4.146183,0.125873,4.146183,0.125873
95,9.095888,16.466091,2.001086,0.577531,-0.392581,-0.414765,-0.392581,-0.414765
96,15.171259,7.600829,1.708435,-0.037500,0.806624,0.217559,0.806624,0.217559
97,16.941491,1.440655,-0.210238,0.857279,0.218536,0.002939,0.218536,0.002939
98,11.062684,0.500987,0.181569,2.049190,0.718778,-2.187869,0.718778,-2.187869
99,11.981145,12.321970,-0.150053,0.994782,20.148944,2.728702,20.148944,2.728702
