i,x,y,vx,vy,ax,ay,fx,fy
0,16.642995,4.641776,-0.122316,0.863475,0.439805,3.198411,0.439805,3.198411
1,5.994784,0.006497,1.232130,-0.854551,-3.766549,-6.554820,-3.766549,-6.554820
2,13.859125,18.101518,2.061450,1.194590,0.503423,-1.585435,0.503423,-1.585435
3,6.711329,0.789519,-0.426028,2.162998,4.627756,4.603380,4.627756,4.603380
4,1.767691,17.135282,0.283979,-0.133507,3.029412,-12.556989,3.029412,-12.556989
5,11.317032,5.770426,0.118059,0.180793,-2.670354,2.119614,-2.670354,2.119614
6,13.336217,1.306367,-0.637207,1.400879,1.200656,-0.402177,1.200656,-0.402177
7,18.363787,18.596144,-0.954345,0.336713,-0.586673,-1.374630,-0.586673,-1.374630
8,4.289662,1.423822,0.286155,0.334067,0.023104,-0.338960,0.023104,-0.338960
9,12.318572,3.780085,1.213447,-0.953396,-0.665599,-0.694167,-0.665599,-0.694167
10,11.654516,2.409700,1.064041,-0.496484,0.386742,0.576123,0.386742,0.576123
11,10.363307,4.075580,-1.511351,0.674044,-1.500368,-1.103957,-1.500368,-1.103957
12,5.736970,11.590817,0.387955,0.450097,-0.627188,0.908661,-0.627188,0.908661
13,4.574785,18.895034,-0.554392,-0.549909,2.564435,-4.167022,2.564435,-4.167022
14,14.693985,0.843125,0.416150,-2.910791,-0.045339,0.432187,-0.045339,0.432187
15,8.712069,19.089383,-0.487973,-0.928269,-1.794905,-0.177190,-1.794905,-0.177190
16,19.734576,1.430048,-0.292662,0.315867,0.175032,-1.102109,0.175032,-1.102109
17,16.077691,8.833421,0.881035,-0.030820,-3.552298,1.550935,-3.552298,1.550935
18,16.283645,2.464777,-1.570473,-0.995566,1.972669,-1.257793,1.972669,-1.257793
19,6.453018,7.985139,0.599069,-1.542697,-2.492369,-0.839344,-2.492369,-0.839344
20,1.213807,6.579820,2.270088,-0.668142,8.970663,4.576297,8.970663,4.576297
21,15.019746,19.123524,-0.384902,-1.356538,-0.766706,-0.666649,-0.766706,-0.666649
22,5.148764,8.212694,-0.996270,0.367869,0.323205,-1.444887,0.323205,-1.444887
23,1.904144,0.910868,0.324155,-0.005572,0.004092,-0.036959,0.004092,-0.036959
24,9.980682,6.340062,-1.509492,-0.112595,3.130021,0.764072,3.130021,0.764072
25,6.216916,18.551428,1.492385,-0.377458,1.382591,2.564288,1.382591,2.564288
