//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,-1.00,-1.00,0.00,-1.00,0.00,0.00
1,4.00,1.00,-1.00,-1.00,0.00,0.00
2,-9.00,-3.00,1.00,-1.00,0.00,0.00
3,6.00,-6.00,0.00,-1.00,0.00,0.00
4,7.00,-9.00,0.00,-1.00,0.00,0.00
5,-7.00,8.00,1.00,-1.00,0.00,0.00
6,-6.00,-6.00,1.00,-1.00,0.00,0.00
7,3.00,7.00,0.00,-1.00,0.00,0.00
8,-9.00,7.00,-1.00,-1.00,0.00,0.00
9,-6.00,6.00,-1.00,1.00,0.00,0.00
10,2.00,-6.00,1.00,-1.00,0.00,0.00
11,8.00,1.00,-1.00,-1.00,0.00,0.00
12,-1.00,8.00,0.00,-1.00,0.00,0.00
13,7.00,7.00,0.00,0.00,0.00,0.00
14,-9.00,3.00,-1.00,1.00,0.00,0.00
15,-8.00,-9.00,-1.00,-1.00,0.00,0.00
16,0.00,2.00,-1.00,-1.00,0.00,0.00
17,-10.00,-2.00,-1.00,1.00,0.00,0.00
18,-5.00,-2.00,1.00,1.00,0.00,0.00
19,9.00,-4.00,-1.00,1.00,0.00,0.00
20,6.00,-4.00,1.00,0.00,0.00,0.00
21,-7.00,-4.00,-1.00,-1.00,0.00,0.00
22,1.00,-5.00,1.00,0.00,0.00,0.00
23,9.00,-9.00,1.00,1.00,0.00,0.00
24,4.00,9.00,-1.00,1.00,0.00,0.00
25,9.00,-6.00,-1.00,-1.00,0.00,0.00
26,0.00,6.00,0.00,1.00,0.00,0.00
27,-8.00,-10.00,-1.00,0.00,0.00,0.00
28,8.00,-8.00,1.00,-1.00,0.00,0.00
29,9.00,-8.00,0.00,-1.00,0.00,0.00
30,-7.00,-1.00,-1.00,1.00,0.00,0.00
31,2.00,5.00,1.00,1.00,0.00,0.00
32,9.00,6.00,1.00,-1.00,0.00,0.00
33,2.00,6.00,1.00,1.00,0.00,0.00
34,-2.00,6.00,0.00,1.00,0.00,0.00
35,0.00,-8.00,1.00,1.00,0.00,0.00
36,6.00,-1.00,-1.00,1.00,0.00,0.00
37,8.00,2.00,1.00,-1.00,0.00,0.00
38,-10.00,-5.00,0.00,-1.00,0.00,0.00
39,-10.00,5.00,-1.00,-1.00,0.00,0.00
40,1.00,3.00,-1.00,1.00,0.00,0.00
41,-8.00,-4.00,0.00,0.00,0.00,0.00
42,-8.00,-1.00,-1.00,1.00,0.00,0.00
43,1.00,0.00,1.00,0.00,0.00,0.00
44,9.00,3.00,0.00,0.00,0.00,0.00
45,7.00,-3.00,0.00,1.00,0.00,0.00
46,-6.00,-2.00,-1.00,-1.00,0.00,0.00
47,5.00,-10.00,0.00,1.00,0.00,0.00
48,4.00,3.00,0.00,-1.00,0.00,0.00
49,9.00,-2.00,0.00,-1.00,0.00,0.00
50,7.00,2.00,-1.00,1.00,0.00,0.00
51,6.00,7.00,1.00,-1.00,0.00,0.00
52,7.00,-5.00,1.00,1.00,0.00,0.00
53,-5.00,-7.00,-1.00,0.00,0.00,0.00
54,-7.00,0.00,-1.00,-1.00,0.00,0.00
55,-4.00,-10.00,0.00,0.00,0.00,0.00
56,2.00,8.00,0.00,1.00,0.00,0.00
57,-9.00,-4.00,-1.00,-1.00,0.00,0.00
58,5.00,2.00,0.00,-1.00,0.00,0.00
59,7.00,1.00,0.00,0.00,0.00,0.00
60,-4.00,-2.00,-1.00,0.00,0.00,0.00
61,0.00,0.00,1.00,1.00,0.00,0.00
62,-2.00,3.00,-1.00,-1.00,0.00,0.00
63,3.00,-9.00,0.00,1.00,0.00,0.00
64,-4.00,2.00,1.00,1.00,0.00,0.00
65,-6.00,7.00,-1.00,1.00,0.00,0.00
66,-10.00,-6.00,0.00,0.00,0.00,0.00
67,-6.00,-3.00,-1.00,0.00,0.00,0.00
68,8.00,-6.00,1.00,1.00,0.00,0.00
69,7.00,-10.00,-1.00,1.00,0.00,0.00
70,-9.00,8.00,1.00,-1.00,0.00,0.00
71,9.00,9.00,1.00,1.00,0.00,0.00
72,1.00,-4.00,1.00,-1.00,0.00,0.00
73,-8.00,4.00,0.00,-1.00,0.00,0.00
74,3.00,-7.00,0.00,0.00,0.00,0.00
75,-2.00,-9.00,1.00,1.00,0.00,0.00
76,4.00,-3.00,1.00,1.00,0.00,0.00
77,-8.00,6.00,-1.00,-1.00,0.00,0.00
78,1.00,8.00,1.00,-1.00,0.00,0.00
79,1.00,-8.00,-1.00,1.00,0.00,0.00
80,6.00,1.00,0.00,0.00,0.00,0.00
81,0.00,-10.00,0.00,-1.00,0.00,0.00
82,-6.00,-1.00,-1.00,1.00,0.00,0.00
83,-4.00,-8.00,0.00,0.00,0.00,0.00
84,-2.00,7.00,0.00,0.00,0.00,0.00
85,5.00,5.00,0.00,0.00,0.00,0.00
86,-1.00,5.00,0.00,1.00,0.00,0.00
87,9.00,-5.00,-1.00,0.00,0.00,0.00
88,7.00,6.00,0.00,1.00,0.00,0.00
89,8.00,0.00,1.00,0.00,0.00,0.00
90,3.00,-5.00,-1.00,1.00,0.00,0.00
91,-10.00,4.00,1.00,1.00,0.00,0.00
92,-8.00,8.00,0.00,-1.00,0.00,0.00
93,5.00,7.00,1.00,0.00,0.00,0.00
94,-5.00,6.00,1.00,-1.00,0.00,0.00
95,-4.00,8.00,0.00,-1.00,0.00,0.00
96,4.00,-2.00,1.00,-1.00,0.00,0.00
97,8.00,-3.00,0.00,1.00,0.00,0.00
98,0.00,3.00,0.00,1.00,0.00,0.00
99,-7.00,-7.00,-1.00,1.00,0.00,0.00
###### Tour 10 ######
0,4.01,-0.19,778714497470.22,-900040982680.53,150658640629206.72,-170952875588123.19
1,16.58,-19.80,4601211915645.90,-6933623968889.18,-4814071.08,-3747709.51
2,8.31,-9.00,117886764908.97,-58911443376.36,311517163.15,541989223.03
3,17.13,-12.77,14932029194869.97,-83565883840308.83,82546.03,-208031.90
4,-9.99,5.49,-83476890002.74,64914408596.33,15462493657.66,-34249760943.36
5,-12.33,-16.72,-123264587062.13,-235734968759.16,-5080683.09,-5095458.26
6,-16.71,15.80,52876395780.83,-29953588354.86,24081101448231.47,-20504584363860.88
7,-3.65,-14.17,-228557912503.42,-709477314240.34,20184.11,13555.97
8,4.44,-1.08,3281590414545942.50,-1137233290717806.50,606554492330.31,-914102926421.54
9,9.73,12.66,9095071507812982.00,19807055452956304.00,-1910515783.72,18797963034.20
10,-19.09,-10.99,-8699673496613128.00,-1293260911315288.25,-1679863878.89,7616253000.36
11,15.93,-12.09,729027206746606.75,-8714493120823159.00,8083758.93,14980111.61
12,9.27,-18.66,4658775962661396.00,-4014470825240759.50,-2007579.95,-3251168.39
13,-6.84,-14.36,-1184611574704235.50,-1665319518961717.50,-1435178972935.63,3117525254432.35
14,-0.67,16.79,-580844020505231.00,700820337868691.12,26097687326.96,-5559142243.38
15,3.38,-8.19,43282693978456544.00,-16896110644710676.00,1806015929595.07,-1392550573517.63
16,0.30,7.95,-35997291554.30,-71553236835.29,-7224805452086.16,-14363486022930.45
17,-3.37,7.30,-432859770626157.00,1133157396014605.25,-4991162836521977.00,-88187360475685248.00
18,-0.00,16.00,-80763439604494680064.00,180816508538541047808.00,26093282423.83,59715872120.55
19,-11.69,4.43,-526055122.97,325435182.37,-1222.47,1875.74
20,3.36,18.17,1450259766216.49,987234148704.10,274406468164266.53,115330118427834.50
21,12.29,-0.62,3238126759811917.00,-1252818510274771.00,-350928977.34,-92359930.26
22,10.44,-0.50,46424635814628776.00,-63722676496925616.00,-61665422.65,-4569306.47
