//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
63,-1.00,-1.00,1.00,0.00,25.07,1.19
64,-10.00,7.00,1.00,1.00,-22.88,-25.14
65,2.00,5.00,1.00,1.00,0.09,2.46
66,-2.00,-10.00,0.00,1.00,1.06,-1.18
67,6.00,6.00,0.00,-1.00,-0.01,-0.16
68,-1.00,7.00,0.00,1.00,-0.08,-24.03
69,5.00,4.00,0.00,-1.00,24.08,-0.04
70,-2.00,-3.00,1.00,1.00,-0.22,23.93
71,-6.00,-9.00,-1.00,1.00,24.06,-0.13
72,-7.00,5.00,0.00,-1.00,-1.17,-1.19
73,-7.00,-6.00,-1.00,1.00,-25.13,0.98
74,-9.00,-7.00,0.00,-1.00,-1.13,-1.19
75,-1.00,-10.00,0.00,1.00,-25.06,-1.15
76,9.00,-4.00,-1.00,-1.00,1.08,-1.01
77,-5.00,-7.00,-1.00,-1.00,-24.09,0.22
78,-6.00,3.00,1.00,0.00,22.86,-22.73
79,6.00,1.00,-1.00,1.00,-0.11,-0.12
80,9.00,-8.00,1.00,0.00,1.02,-1.27
81,-4.00,1.00,0.00,0.00,1.43,22.75
82,-4.00,4.00,1.00,1.00,1.09,1.43
83,4.00,-1.00,0.00,-1.00,1.13,1.20
84,-3.00,5.00,0.00,1.00,-0.06,2.22
85,8.00,4.00,1.00,0.00,1.24,1.31
86,-5.00,6.00,-1.00,-1.00,-22.90,-1.14
87,8.00,6.00,-1.00,0.00,-1.17,-1.12
88,-7.00,-8.00,1.00,1.00,-2.25,-0.22
89,3.00,-7.00,0.00,-1.00,1.12,-1.27
90,5.00,6.00,0.00,0.00,23.92,-0.01
91,-5.00,4.00,0.00,0.00,25.15,-22.87
92,-2.00,0.00,-1.00,-1.00,-1.12,1.29
93,2.00,-1.00,-1.00,0.00,-1.10,-22.69
94,1.00,6.00,0.00,-1.00,-0.88,1.11
