//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
6,6.00,3.00,-188.91,-24180.18,-3758295.30,-483603601.14
7,9.00,7.00,-3.64,-0.35,-92896.42,-6950.93
8,-3.00,8.00,-183.64,-24178.47,-3672725.80,-483569324.60
9,1.00,-6.00,-23984.15,1.47,-479703026.90,29327.02
10,0.00,-1.00,188.05,-23801.85,3741042.90,-476037089.06
11,-8.00,9.00,-23985.27,-373.67,-479685336.00,-7493443.09
12,6.00,1.00,-374.09,3.24,-7481742.03,84765.29
13,7.00,9.00,-3.29,-2.20,-85837.51,-23976.75
14,2.00,-0.00,-47975.29,-4.98,-959525849.90,-79641.57
15,-3.00,5.00,373.26,-370.26,7465279.59,-7425115.24
16,-5.00,-2.00,-23988.07,23988.68,-479741476.26,479753675.55
17,-5.00,-6.00,5.32,24363.07,86403.99,487241365.86
18,-5.00,-9.00,183.77,24178.07,3695458.36,483581482.64
19,-9.00,-2.00,24361.11,1.82,487242139.93,56429.10
20,-10.00,-8.00,24176.65,24181.13,483512971.75,483642630.10
21,-9.00,4.00,-24169.74,-24177.21,-483414895.41,-483524140.64
22,-5.00,9.00,-371.36,-24362.67,-7407287.22,-487253402.89
23,4.00,-1.00,370.76,1.44,7435243.59,28880.01
24,-1.00,7.00,184.31,23800.94,3666271.53,476018825.70
25,4.00,2.00,-373.39,-372.56,-7447836.01,-7471137.11
26,-10.00,2.00,1.22,23989.79,24303.96,479815712.73
27,4.00,-7.00,-560.25,185.50,-11204975.50,3729908.24
28,7.00,-5.00,-24178.44,186.04,-483568877.87,3740837.48
29,-6.00,-8.00,-23798.54,-184.75,-475950831.96,-3695037.73
30,1.00,4.00,-24175.75,-191.03,-483494927.81,-3820532.95
31,1.00,0.00,23801.96,-187.34,476019111.04,-3746716.91
32,5.00,7.00,-24363.37,-23989.89,-487247402.14,-479777897.60
33,-1.00,-10.00,0.99,-0.97,-181.18,643.25
34,2.00,8.00,-745.87,-23991.04,-14917459.30,-479840843.80
35,3.00,-6.00,182.31,23803.97,3666298.76,476099464.77
36,-9.00,-7.00,-559.46,24174.06,-11169188.34,483501103.13
37,-4.00,-10.00,0.28,375.25,5539.11,7505046.00
38,5.00,1.00,23802.22,-23801.22,476024448.54,-476024311.28
39,3.00,-4.00,-23989.18,-23615.30,-479783628.84,-472305967.42
40,-7.00,3.00,376.95,-375.10,7539035.84,-7522091.21
41,-5.00,2.00,377.05,2.97,7520942.75,39455.83
42,1.00,-3.00,23987.73,-23983.60,479754515.10,-479692077.48
43,-7.00,5.00,188.91,-23804.97,3758259.53,-476099418.02
44,7.00,-8.00,-24173.76,24176.67,-483495224.03,483553319.05
45,3.00,-5.00,0.67,374.40,-6516.62,7488091.64
46,5.00,-2.00,-24361.93,372.76,-487218651.52,7475220.09
47,-7.00,8.00,24174.06,186.15,483501147.83,3722915.57
48,-3.00,7.00,-24167.53,-192.14,-483370680.09,-3842782.07
49,9.00,-6.00,-23992.62,-23988.12,-479852311.79,-479742384.29
50,4.00,6.00,-186.05,23801.40,-3741061.19,476007944.45
51,-3.00,0.00,24174.01,-183.49,483500146.73,-3689823.84
52,-5.00,4.00,182.94,-24179.80,3678851.66,-483575960.41
53,-8.00,-10.00,373.80,374.16,7475959.60,7483104.97
54,0.00,-4.00,23991.41,377.67,479828190.01,7533381.63
55,-7.00,1.00,-183.02,-185.76,-3660478.14,-3695109.87
56,7.00,-6.00,-188.35,24173.77,-3746964.61,483495388.32
57,-9.00,9.00,24361.38,-24366.21,487247562.96,-487304143.82
