//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,5.00,9.00,-1.00,-1.00,0.00,0.00
1,-5.00,3.00,0.00,0.00,0.00,0.00
2,1.00,1.00,-1.00,1.00,0.00,0.00
3,8.00,1.00,-1.00,-1.00,0.00,0.00
4,1.00,-3.00,-1.00,1.00,0.00,0.00
5,2.00,1.00,0.00,0.00,0.00,0.00
6,0.00,5.00,0.00,-1.00,0.00,0.00
7,-1.00,1.00,-1.00,0.00,0.00,0.00
8,-6.00,-7.00,0.00,0.00,0.00,0.00
9,4.00,-6.00,0.00,-1.00,0.00,0.00
10,-3.00,0.00,-1.00,-1.00,0.00,0.00
11,7.00,-2.00,-1.00,0.00,0.00,0.00
12,9.00,2.00,0.00,0.00,0.00,0.00
13,-10.00,2.00,0.00,-1.00,0.00,0.00
14,-6.00,-9.00,1.00,1.00,0.00,0.00
15,2.00,8.00,-1.00,-1.00,0.00,0.00
16,-9.00,1.00,1.00,0.00,0.00,0.00
17,-2.00,0.00,0.00,1.00,0.00,0.00
18,-10.00,-10.00,-1.00,0.00,0.00,0.00
19,-2.00,6.00,-1.00,1.00,0.00,0.00
20,-10.00,-1.00,-1.00,0.00,0.00,0.00
21,4.00,6.00,-1.00,1.00,0.00,0.00
22,7.00,-10.00,1.00,-1.00,0.00,0.00
23,8.00,-2.00,0.00,-1.00,0.00,0.00
24,1.00,6.00,0.00,1.00,0.00,0.00
25,8.00,-9.00,1.00,0.00,0.00,0.00
26,-9.00,-9.00,1.00,-1.00,0.00,0.00
27,-1.00,-2.00,1.00,1.00,0.00,0.00
28,0.00,-8.00,1.00,-1.00,0.00,0.00
29,0.00,6.00,1.00,0.00,0.00,0.00
30,-2.00,9.00,1.00,0.00,0.00,0.00
31,9.00,-9.00,0.00,0.00,0.00,0.00
32,-1.00,9.00,0.00,-1.00,0.00,0.00
33,-10.00,7.00,1.00,1.00,0.00,0.00
34,8.00,5.00,-1.00,0.00,0.00,0.00
35,6.00,4.00,-1.00,-1.00,0.00,0.00
36,-2.00,-8.00,-1.00,0.00,0.00,0.00
37,0.00,-6.00,1.00,1.00,0.00,0.00
38,-7.00,7.00,-1.00,0.00,0.00,0.00
39,0.00,-5.00,-1.00,1.00,0.00,0.00
40,-6.00,4.00,0.00,1.00,0.00,0.00
41,-7.00,-1.00,1.00,0.00,0.00,0.00
42,7.00,-7.00,1.00,-1.00,0.00,0.00
43,5.00,-9.00,0.00,0.00,0.00,0.00
44,-5.00,-8.00,-1.00,0.00,0.00,0.00
45,-10.00,-9.00,-1.00,1.00,0.00,0.00
46,8.00,8.00,1.00,-1.00,0.00,0.00
47,-5.00,-5.00,1.00,-1.00,0.00,0.00
48,4.00,-9.00,-1.00,-1.00,0.00,0.00
49,-3.00,5.00,0.00,1.00,0.00,0.00
50,6.00,8.00,-1.00,-1.00,0.00,0.00
51,-10.00,-5.00,1.00,-1.00,0.00,0.00
52,8.00,-3.00,0.00,1.00,0.00,0.00
53,-2.00,-5.00,-1.00,0.00,0.00,0.00
54,2.00,2.00,-1.00,-1.00,0.00,0.00
55,-2.00,2.00,1.00,-1.00,0.00,0.00
56,-8.00,-7.00,0.00,1.00,0.00,0.00
57,-9.00,-7.00,1.00,-1.00,0.00,0.00
58,1.00,4.00,1.00,-1.00,0.00,0.00
59,-3.00,-6.00,0.00,1.00,0.00,0.00
60,2.00,9.00,1.00,-1.00,0.00,0.00
61,-5.00,8.00,1.00,-1.00,0.00,0.00
62,0.00,-1.00,-1.00,1.00,0.00,0.00
63,3.00,-7.00,-1.00,1.00,0.00,0.00
64,8.00,7.00,0.00,1.00,0.00,0.00
65,-10.00,0.00,-1.00,1.00,0.00,0.00
66,7.00,9.00,1.00,1.00,0.00,0.00
67,-6.00,-10.00,1.00,1.00,0.00,0.00
68,-10.00,-6.00,-1.00,1.00,0.00,0.00
69,-8.00,8.00,1.00,0.00,0.00,0.00
70,9.00,-4.00,1.00,0.00,0.00,0.00
71,-1.00,4.00,0.00,0.00,0.00,0.00
