particule,x,y,vx,vy
0,0.01,-0.00,-45819.07,12817.56
1,4540828836755732992.00,-5703559495349170176.00,5676036045944667.00,-7129449369186463.00
2,54463799441737493591883776.00,307468218124258078497964032.00,77805427773910716252160.00,439240311606082912911360.00
3,3838357229685261312.00,13098955548586659840.00,7676714459370523.00,26197911097173320.00
4,-97919108556161520.00,1732139779310221568.00,-97919108556161.50,1732139779310221.50
5,2910688114726949879808.00,-664594747772521807872.00,4158125878181358080.00,-949421068246459648.00
6,-82891925886134592.00,-3256711294669520896.00,-276267051306751.59,-10855859553615994.00
7,123605677143752211087356720054272.00,-13488624304084530762698719232000.00,412018923812507405944686116864.00,-44962081013615099610298056704.00
8,107328764064384286720.00,-32505138986776002560.00,268321905056028832.00,-81262846577291200.00
9,-6720440530486407213350912.00,-3881602587541478406356992.00,-8400550663108010442752.00,-4852003234426847756288.00
10,-65010161789340280.00,94623562566944400.00,-59100147081218.43,86021420515404.02
11,6917239745813141375680512.00,-206796833730037326186283008.00,23057465819377138925568.00,-689322779100124404514816.00
12,-71677930888607740403836029763584.00,89575702231715277314230419718144.00,-358389654443038682315931779072.00,447878511158576423162899070976.00
13,0.00,-0.01,-145136589293556088832.00,345463324824131600384.00
14,21549053877096239104.00,110941875996127068160.00,71830179590320792.00,369806253320423616.00
15,-2926288253355004416.00,11986415138246971392.00,-2438573544462504.00,9988679281872476.00
16,0.97,-3.44,0.00,-0.00
17,-6371987621222532096.00,-5642763999573854208.00,-21237868724855392.00,-18807495087777484.00
18,141112186452593.38,-214650663688670.12,117593488710.49,-178875553073.89
19,5192148864892.12,4538875571793.91,3993960665.30,3491442747.53
20,-82935553822117625856.00,39307393054568652800.00,-165871107644235232.00,78614786109137312.00
21,220235043949628128.00,133164684137937280.00,220235043949628.12,133164684137937.27
22,345823919843275520716492156960768.00,-199359502656801632874889905963008.00,864559799608188852456726200320.00,-498398756642004104705222901760.00
23,-3643130404560798293688320.00,3952125891705926181715968.00,-9107826011401995943936.00,9880314729264815538176.00
24,-3113020293.76,4998312031.81,-2830018.45,4543920.03
25,-0.00,0.00,33558811.91,-16927893.38
26,-1676096120680142128283648.00,2537143069839706204143616.00,-2394423029543060111360.00,3624490099771008614400.00
27,-0.19,-0.57,-0.00,-0.00
28,-0.01,-0.01,267.59,294.15
29,0.11,-0.10,0.00,-0.00
30,89261820294968192.00,206816378312107072.00,74384850245806.83,172346981926755.91
31,868666050466022.25,1411696324979122.25,1085832562954.04,1764620406043.65
32,9825083892196948.00,-20643927214173900.00,14035834131709.93,-29491324591677.00
33,6697595.46,10579586.28,6088.72,9617.81
34,230589619279830.53,-365059370691838.62,230589619279.83,-365059370691.84
35,-34342.63,23708.79,-34.35,23.71
36,30267745907057045504.00,-7331033823632856064.00,30267745907057040.00,-7331033823632856.00
37,-302814710423545141641871360.00,-73041207777805091469262848.00,-378518388029431440474112.00,-91301509722256361652224.00
38,-2409567545667338182328320.00,-11292312799458031906586624.00,-2677297272963709534208.00,-12547014221620037287936.00
39,984921101953.12,-788432575108.02,1407030146.58,-1126332250.28
40,482382774944031.12,10076968097166762.00,803982306952.97,16794961859637.15
41,-551003199065724.44,-359042179478758.00,-551003199065.72,-359042179478.76
42,1228362635750266372096.00,6943049387142723665920.00,1754803765357523456.00,9918641981632460800.00
43,-3011816361.30,25286694516.57,-2007877.57,16857796.34
44,-70090997990039211267325952.00,-11437369424500981594324992.00,-175227494975098033537024.00,-28593423561252453482496.00
45,-139980373678346302349822132224.00,85499985641859732788125630464.00,-349950934195865758623334400.00,213749964104649327847145472.00
46,-2236313016124646.75,1303476644170583.75,-3727188711428.91,2172459550304.47
47,23.94,-38.61,0.02,-0.04
48,54909692.69,-208767746.92,54909.69,-208767.75
49,2705438534298039296.00,-448444782145509824.00,619714789220700005398399194384784424960.00,-153029640542917070878038321579985731584.00
50,-295641284009377923022876311552.00,-15720225794989872708067524608.00,-591282568018755841647706112.00,-31440451589979745862811648.00
51,-5726934564593900453888.00,11336887354419826393088.00,-9544890940989835264.00,18894812257366380544.00
52,0.04,-0.02,0.03,0.01
53,-0.51,-0.41,-0.00,-0.00
54,8331.70,-1667.48,6.41,-1.28
55,7593533133691084800.00,-1715197418198911488.00,25311777112552032.00,-5717324727345559.00
56,-550764062028203520.00,-474449975471638080.00,-786805802897433.62,-677785679245197.25
57,-499001198641.20,-585631588410.69,-415834332.20,-488026323.68
58,-0.03,-0.57,-0.00,-0.00
59,-7258906404022.47,-4969886794030.68,-12098216076.51,-8283159167.73
60,-2700412988883978.00,-192619567415630144.00,-4500688314806.63,-321032612359383.56
61,240679207651105701888.00,-1125361749479266975744.00,401132012751842816.00,-1875602915798778624.00
