//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 100 x 100.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,-73.00,4.00,6.00,3.00,0.00,0.00
1,-34.00,-37.00,-6.00,-10.00,0.00,0.00
2,-65.00,-89.00,6.00,7.00,0.00,0.00
3,97.00,-89.00,10.00,9.00,0.00,0.00
4,81.00,27.00,1.00,-4.00,0.00,0.00
5,89.00,-73.00,9.00,-7.00,0.00,0.00
6,-92.00,17.00,-7.00,6.00,0.00,0.00
7,-67.00,53.00,0.00,6.00,0.00,0.00
8,-91.00,21.00,-2.00,7.00,0.00,0.00
9,36.00,90.00,7.00,-9.00,0.00,0.00
10,-99.00,66.00,7.00,-7.00,0.00,0.00
11,29.00,-93.00,-9.00,1.00,0.00,0.00
12,-13.00,44.00,7.00,-1.00,0.00,0.00
13,23.00,61.00,2.00,-4.00,0.00,0.00
14,-70.00,17.00,-8.00,-5.00,0.00,0.00
15,-78.00,-87.00,9.00,8.00,0.00,0.00
16,-14.00,-23.00,4.00,-9.00,0.00,0.00
17,-33.00,52.00,-10.00,-4.00,0.00,0.00
18,-30.00,-26.00,-3.00,0.00,0.00,0.00
19,-66.00,-93.00,9.00,0.00,0.00,0.00
20,3.00,-51.00,9.00,3.00,0.00,0.00
21,-90.00,-74.00,7.00,-1.00,0.00,0.00
22,-5.00,-43.00,3.00,5.00,0.00,0.00
23,-78.00,31.00,0.00,-10.00,0.00,0.00
24,-91.00,-38.00,-9.00,-3.00,0.00,0.00
25,66.00,32.00,2.00,1.00,0.00,0.00
26,58.00,-81.00,-9.00,-5.00,0.00,0.00
27,78.00,-50.00,5.00,-8.00,0.00,0.00
28,-1.00,-29.00,3.00,8.00,0.00,0.00
29,-3.00,-75.00,-5.00,-8.00,0.00,0.00
30,-66.00,10.00,5.00,5.00,0.00,0.00
31,-59.00,13.00,5.00,-9.00,0.00,0.00
32,88.00,-68.00,-4.00,1.00,0.00,0.00
33,-49.00,-78.00,7.00,-8.00,0.00,0.00
34,-75.00,-40.00,-8.00,6.00,0.00,0.00
35,31.00,-25.00,2.00,9.00,0.00,0.00
36,0.00,44.00,9.00,-1.00,0.00,0.00
37,-46.00,85.00,-7.00,10.00,0.00,0.00
38,-50.00,-87.00,10.00,-10.00,0.00,0.00
39,-31.00,85.00,6.00,-7.00,0.00,0.00
40,-83.00,-42.00,4.00,-10.00,0.00,0.00
41,-67.00,-6.00,-8.00,0.00,0.00,0.00
42,55.00,14.00,-5.00,8.00,0.00,0.00
43,89.00,76.00,7.00,-9.00,0.00,0.00
44,-28.00,43.00,0.00,-6.00,0.00,0.00
45,-19.00,-77.00,-6.00,-10.00,0.00,0.00
46,88.00,76.00,9.00,5.00,0.00,0.00
47,61.00,-15.00,8.00,3.00,0.00,0.00
48,-4.00,17.00,1.00,-10.00,0.00,0.00
49,64.00,-51.00,0.00,7.00,0.00,0.00
50,63.00,77.00,2.00,1.00,0.00,0.00
51,6.00,-68.00,2.00,9.00,0.00,0.00
52,28.00,-76.00,-7.00,-5.00,0.00,0.00
53,-53.00,-69.00,-7.00,7.00,0.00,0.00
54,59.00,54.00,-1.00,5.00,0.00,0.00
55,91.00,58.00,-5.00,-3.00,0.00,0.00
56,-72.00,-100.00,-3.00,5.00,0.00,0.00
57,-51.00,7.00,-1.00,8.00,0.00,0.00
58,-15.00,-24.00,-2.00,6.00,0.00,0.00
59,-39.00,65.00,4.00,-6.00,0.00,0.00
60,90.00,-74.00,-3.00,-4.00,0.00,0.00
61,-43.00,-58.00,-9.00,-5.00,0.00,0.00
62,48.00,-79.00,8.00,-6.00,0.00,0.00
63,80.00,-10.00,1.00,0.00,0.00,0.00
64,-9.00,-56.00,-8.00,8.00,0.00,0.00
65,51.00,19.00,6.00,9.00,0.00,0.00
66,47.00,-23.00,4.00,2.00,0.00,0.00
67,-57.00,49.00,6.00,7.00,0.00,0.00
68,75.00,-1.00,-10.00,-10.00,0.00,0.00
69,-6.00,51.00,-5.00,-10.00,0.00,0.00
70,25.00,-58.00,-6.00,-6.00,0.00,0.00
71,32.00,-90.00,4.00,4.00,0.00,0.00
72,-94.00,21.00,2.00,-8.00,0.00,0.00
73,92.00,-23.00,-9.00,1.00,0.00,0.00
74,54.00,-23.00,-7.00,-5.00,0.00,0.00
75,78.00,-99.00,10.00,-9.00,0.00,0.00
76,-47.00,57.00,-9.00,0.00,0.00,0.00
77,-40.00,-56.00,-2.00,-3.00,0.00,0.00
78,-14.00,24.00,1.00,-3.00,0.00,0.00
79,34.00,-89.00,-10.00,8.00,0.00,0.00
80,-16.00,-86.00,10.00,-9.00,0.00,0.00
81,-9.00,-1.00,1.00,-9.00,0.00,0.00
82,29.00,72.00,-4.00,4.00,0.00,0.00
83,25.00,78.00,3.00,-3.00,0.00,0.00
84,35.00,-44.00,5.00,-9.00,0.00,0.00
85,1.00,71.00,-1.00,-7.00,0.00,0.00
86,-5.00,-69.00,-2.00,-9.00,0.00,0.00
87,-57.00,5.00,9.00,8.00,0.00,0.00
88,19.00,-26.00,8.00,2.00,0.00,0.00
89,26.00,-72.00,1.00,-2.00,0.00,0.00
90,-100.00,-96.00,10.00,-1.00,0.00,0.00
91,82.00,-68.00,7.00,-10.00,0.00,0.00
92,-12.00,-63.00,-8.00,-8.00,0.00,0.00
93,-92.00,-46.00,-4.00,-3.00,0.00,0.00
94,-15.00,-61.00,-2.00,-4.00,0.00,0.00
95,44.00,9.00,-6.00,4.00,0.00,0.00
96,36.00,-32.00,-7.00,7.00,0.00,0.00
97,-4.00,88.00,-6.00,-2.00,0.00,0.00
98,44.00,-13.00,5.00,-5.00,0.00,0.00
99,19.00,-15.00,-5.00,-10.00,0.00,0.00
###### Tour 1 ######
0,-72.99,4.00,6.00,3.00,3.26,-4.69
1,-34.01,-37.01,-6.00,-10.00,-1.58,0.62
2,-64.99,-88.99,196978.71,1647.25,393945414.38,3280494.70
3,97.01,-88.99,10.00,9.00,-0.13,0.75
4,81.00,27.00,1.00,-4.00,1.53,-5.61
5,89.01,-73.01,-2041.24,2061.92,-4100485.49,4137831.10
6,-92.01,17.01,-7.00,6.01,-0.58,11.43
7,-67.00,53.01,0.00,6.00,1.28,1.93
8,-91.00,21.01,-1.90,7.00,194.28,-3.47
9,36.01,89.99,7.00,-9.00,-1.51,2.07
10,-98.99,65.99,7.00,-7.00,-0.57,4.17
11,28.99,-93.00,-9.00,1.00,7.20,3.28
12,-12.99,44.00,7.00,-1.00,6.96,-1.78
13,23.00,61.00,-4.25,-0.89,-12499.45,6217.98
14,-70.01,17.00,-8.00,-5.00,0.23,-0.45
15,-77.99,-86.99,9.00,8.00,0.12,-0.02
16,-14.00,-23.01,1997.94,1951.95,3987870.75,3921895.58
17,-33.01,52.00,-10.00,-4.00,-4.65,-4.56
18,-30.00,-26.00,-3.00,0.00,-0.15,0.07
19,-65.99,-93.00,9.00,-0.08,-2.45,-169.48
20,3.01,-51.00,9.00,3.00,-0.37,-0.64
21,-89.99,-74.00,7.00,-1.00,-0.94,-2.60
22,-5.00,-42.99,3.00,5.00,-6.89,0.96
23,-78.00,30.99,0.00,-10.00,2.18,-1.64
24,-91.01,-38.00,-9.00,-3.00,-0.02,-0.10
25,66.00,32.00,2.00,1.00,0.00,0.01
26,57.99,-81.00,-9.00,-5.00,-1.00,-0.81
27,78.00,-50.01,5.00,-8.00,-0.02,-0.04
28,-1.00,-28.99,-26.11,8.22,-58213.37,435.98
29,-3.00,-75.01,-5.00,-8.00,-0.53,0.50
30,-66.00,10.01,1647.69,-232182.37,3285371.33,-464374748.82
31,-58.99,12.99,5.00,-9.00,0.77,-2.62
32,88.00,-68.00,-4.00,1.00,-0.06,-0.15
33,-48.99,-78.01,7.04,-7.88,72.92,234.01
34,-75.01,-39.99,-1.75,2.89,12499.05,-6218.18
35,31.00,-24.99,2.00,9.00,-1.99,-2.39
36,0.01,44.00,9.00,-1.00,0.43,0.88
37,-46.01,85.01,-7.00,10.00,0.26,-0.12
38,-49.99,-87.01,10.00,-10.00,2.09,0.46
39,-30.99,84.99,6.00,-7.00,-0.12,-0.03
40,-83.00,-42.01,4.00,-10.00,0.36,0.21
41,-67.01,-6.00,-8.00,-0.00,1.49,-1.98
42,54.99,14.01,-5.00,8.00,-2.25,0.83
43,89.01,75.99,245874.58,-3458.07,491735169.16,-6898138.43
44,-28.00,42.99,-0.00,-6.00,-0.01,0.06
45,-19.01,-77.01,-6.00,-10.00,2.42,8.00
46,88.01,76.00,-245852.66,3451.17,-491723317.05,6892347.02
47,61.01,-15.00,8.00,3.00,-0.16,-0.10
48,-4.00,16.99,1.00,-10.00,0.14,-0.62
49,64.00,-50.99,0.00,7.00,4.05,4.32
50,63.00,77.00,2.00,1.00,0.08,0.04
51,6.00,-67.99,2.00,9.00,0.11,-0.22
52,27.99,-76.00,-7.00,-5.00,-2.21,4.32
53,-53.01,-68.99,-7.00,7.00,0.02,-0.05
54,59.00,54.01,-1.00,5.00,-0.05,-0.05
55,91.00,58.00,-5.00,-3.00,6.85,-1.83
56,-72.00,-100.00,-3.00,5.00,-1.53,7.06
57,-51.00,7.01,-1.00,8.00,-1.97,1.24
58,-15.00,-23.99,-2001.90,-1952.06,-3999792.06,-3916128.55
59,-39.00,64.99,4.00,-6.00,1.57,-0.64
60,90.00,-74.00,2047.24,-2072.92,4100476.25,-4137834.71
61,-43.01,-58.01,-9.00,-5.00,2.51,1.68
62,48.01,-79.01,7.96,-6.01,-70.74,-25.57
63,80.00,-10.00,1.00,0.00,-0.01,0.02
64,-9.01,-55.99,-8.00,8.00,-7.58,-0.10
65,51.01,19.01,6.00,8.90,-1.50,-209.84
66,47.00,-23.00,4.00,2.00,0.29,0.03
67,-56.99,49.01,6.00,7.00,-0.02,0.02
68,74.99,-1.01,-10.00,-10.00,2.83,1.85
69,-6.00,50.99,-5.00,-10.00,0.05,0.66
70,24.99,-58.01,-6.00,-6.00,-0.00,-0.01
