particule,x,y,vx,vy
0,289816754238995.75,866313502622846.50,579633643759.89,1732627392359.24
1,636885122185845030040572440290000896.00,-565432123737040324611539534289567744.00,3184425610929225173261292293586944.00,-2827160618685201945875718961364992.00
2,-2012332.25,3834265.54,-106994807564464719891907970334720.00,203863586782561469711207383433216.00
3,2575564984332732746925471522736312418304.00,12136800630457242108281406717861554028544.00,25755649843327326335886759338648272896.00,121368006304572418060499518142042603520.00
4,-1.70,-2.83,-0.00,-0.00
5,41281597128810839341366865320677998592.00,-44561720041175498081376766955456823296.00,137605323762702797066686454787211264.00,-148539066803918341941274403135291392.00
6,-350330285826.49,-295503761579.26,-291941904.86,-246253134.65
7,0.55,-0.70,-132344197954234331693056.00,209425523627618451062784.00
8,-445776040728740261604660084736.00,-54122662552662170817750106112.00,-4457760407287402769978228736.00,-541226625526621713675059200.00
9,-206.20,515.60,-12431847690948189339925872640.00,32816747151648107788121407488.00
10,-237446.48,-28950.05,-12402083372496638535578194804736.00,-1450626940509289413660993650688.00
11,0.00,0.01,-2715.13,-16742.40
12,952047905311524480.00,-349927932953094336.00,6158327184047900093079792917280827899904.00,6508151406664992239761262126077912809472.00
13,4464924558221.31,-42161867958694.73,4961027289.02,-46846519947.03
14,-41788349418883940352.00,-11896976766578151424.00,-69647249031473232.00,-19828294610963588.00
15,-184766409913930547858505728.00,-87150300807499780653580288000.00,-923832049569652755398656.00,-435751504037498903267901440.00
16,1538470473835551916032.00,-466471051449200541696.00,3076940947671103488.00,-932942102898401024.00
17,0.00,-0.00,-61987324688928072.00,51675267077608672.00
18,6868899892976826712064.00,-26939260233142541221888.00,22896332976589422592.00,-89797534110475141120.00
19,23422909753292077981601095483392.00,8107290315793067568349036150784.00,78076365844306925901649543168.00,27024301052643558619804073984.00
20,-0.00,-0.00,-2157463354159.01,2872571936776.99
21,997658796440020972123482381877248.00,-385815217269528769499730355945472.00,3325529321466736753888926367744.00,-1286050724231762366090117644288.00
22,28558070423776304690198506110976.00,-37924873348629457338083827515392.00,285580704237763058160984129536.00,-379248733486294553677589905408.00
23,-54298093805445100081250304.00,-4430501334886415643705344.00,-180993646018150325551104.00,-14768337782954719707136.00
24,0.04,-0.11,0.00,-0.00
25,144429729818986009329664.00,229427733022648582537216.00,240716216364976668672.00,382379555037747609600.00
26,-3315041882891267966653385670656.00,-4524126613212218010212845486080.00,-6630083765782535370356817920.00,-9048253226424435844503830528.00
27,-60656278257.40,-30112292499.83,-86651893.96,-43017615.43
28,1901.39,3569.84,111244590053884484404566294528.00,207984231753267446730108960768.00
29,660125158737544969218686976.00,-12625811023751992297933242368.00,943035941053635825238016.00,-18036872891074275889381376.00
30,-1293.64,96.60,-80001332540399360731068235776.00,4745312636439873953218953216.00
31,2.40,-1.13,0.00,-0.00
32,-13179955676.22,-21087746121.14,-622342219493126649967684796597403648.00,-998292933698637337032565430673211392.00
33,2632235594880697633865728.00,1832622049281832936013824.00,5264471189761396047872.00,3665244098563665821696.00
34,-1.40,1.87,2002927360660206912536576.00,-1564762338998564474060800.00
35,10.87,-3.99,0.00,-0.00
36,1958643621595421740914025036466454790144.00,-204265336860195771790382435986732744704.00,19586436215954216748008942762914217984.00,-2042653368601957765127489188563779584.00
37,2325095056842786542776720818176.00,2264521132582314653058965962752.00,11625475284213933945336627200.00,11322605662911573529177620480.00
38,-2292010264219642710368609894400.00,-3766017964305252160994348630016.00,-11460051321098213551843049472.00,-18830089821526260717010812928.00
39,187986044948096135405247097995264.00,-86185667686448057444572820668416.00,626620149826987123646989860864.00,-287285558954826859555950952448.00
40,-5367495284812120746476880003072.00,-424926506342156230121414983680.00,-7667850406874458410306240512.00,-607037866203080252171747328.00
41,207.79,88.78,0.10,0.04
42,0.04,0.01,0.03,0.02
43,3182626146277560320.00,3253333356151109120.00,7956565365694001.00,8133333390377842.00
44,-1450173017013620970833031802432520192.00,-323321275242912395918555635974668288.00,-14501730170136209800564038392872960.00,-3233212752429124097536136912568320.00
45,1319604.79,-667754.43,1099.67,-556.46
46,-3600573876265987.50,577616498239852.38,-5143676966094.27,825166426056.93
47,1523750854174346563289088.00,-2929967267453300874674176.00,2176786934534781009920.00,-4185667524933286625280.00
48,57149487098422.48,-227480955731127.75,6642683934119840350471781771961696256.00,-2236248830049875750910049426241224704.00
49,58577531277110414263568847094506091586781184.00,-125888545634450071712798860514917002340466688.00,585775312771104176679039551293018475593728.00,-1258885456344500723317688801576071397900288.00
50,86.04,11.53,6705853072173171244466700288.00,913623823402869362138284032.00
51,0.01,-0.00,-4559923.54,1328598.14
52,-13260353107604.62,-7897982983667.32,-21736620033162849514715979388240789504.00,-55707061023919235449902287687283376128.00
53,-96196498874984193772628071153664.00,-33318097553599679626077146185728.00,-240491247187460488653694828544.00,-83295243883999207509442166784.00
54,-4476523953369807056797696.00,-3731875414715508505706496.00,-11191309883424517390336.00,-9329688536788771012608.00
55,-0.05,0.23,-0.00,0.00
56,15403323479800597897845669888.00,-16642431552203172985538871296.00,30806646959601194696179712.00,-33284863104406342741262336.00
