//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 100 tours.
// Ce CSV contient 100 tours sur les 100.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,89.00,71.00,-1.00,0.00,0.00,0.00
1,41.00,31.00,0.00,0.00,0.00,0.00
2,57.00,-77.00,-1.00,-1.00,0.00,0.00
3,90.00,13.00,-1.00,-1.00,0.00,0.00
4,22.00,-94.00,-1.00,0.00,0.00,0.00
5,57.00,-35.00,0.00,0.00,0.00,0.00
6,-97.00,19.00,-1.00,0.00,0.00,0.00
7,-80.00,-67.00,-1.00,-1.00,0.00,0.00
8,-97.00,52.00,0.00,0.00,0.00,0.00
9,-68.00,66.00,-1.00,-1.00,0.00,0.00
10,89.00,27.00,0.00,0.00,0.00,0.00
11,90.00,97.00,-1.00,0.00,0.00,0.00
12,54.00,91.00,-1.00,-1.00,0.00,0.00
13,-45.00,-37.00,-1.00,-1.00,0.00,0.00
14,32.00,43.00,-1.00,-1.00,0.00,0.00
15,76.00,98.00,0.00,0.00,0.00,0.00
16,-1.00,100.00,-1.00,-1.00,0.00,0.00
17,66.00,94.00,0.00,-1.00,0.00,0.00
18,20.00,-49.00,-1.00,0.00,0.00,0.00
19,-53.00,-82.00,-1.00,-1.00,0.00,0.00
20,-92.00,89.00,0.00,0.00,0.00,0.00
21,-99.00,38.00,0.00,0.00,0.00,0.00
22,-20.00,2.00,0.00,0.00,0.00,0.00
23,-50.00,-56.00,-1.00,0.00,0.00,0.00
24,95.00,58.00,-1.00,-1.00,0.00,0.00
25,1.00,-100.00,-1.00,-1.00,0.00,0.00
26,-99.00,45.00,0.00,-1.00,0.00,0.00
27,63.00,-100.00,0.00,0.00,0.00,0.00
28,39.00,-90.00,-1.00,-1.00,0.00,0.00
29,48.00,58.00,0.00,-1.00,0.00,0.00
30,-40.00,6.00,0.00,0.00,0.00,0.00
31,51.00,19.00,-1.00,-1.00,0.00,0.00
32,-74.00,39.00,-1.00,-1.00,0.00,0.00
33,-11.00,17.00,-1.00,-1.00,0.00,0.00
34,-88.00,29.00,0.00,0.00,0.00,0.00
35,-21.00,-62.00,-1.00,0.00,0.00,0.00
36,99.00,82.00,0.00,0.00,0.00,0.00
37,40.00,29.00,0.00,0.00,0.00,0.00
38,-66.00,7.00,-1.00,0.00,0.00,0.00
39,-75.00,-83.00,0.00,-1.00,0.00,0.00
40,7.00,-67.00,-1.00,-1.00,0.00,0.00
41,1.00,77.00,0.00,0.00,0.00,0.00
42,-45.00,-25.00,-1.00,0.00,0.00,0.00
43,-37.00,-16.00,-1.00,-1.00,0.00,0.00
44,-35.00,58.00,0.00,0.00,0.00,0.00
45,-14.00,-21.00,-1.00,0.00,0.00,0.00
46,86.00,-88.00,0.00,-1.00,0.00,0.00
47,81.00,-66.00,-1.00,-1.00,0.00,0.00
48,-32.00,-60.00,-1.00,-1.00,0.00,0.00
49,67.00,-82.00,0.00,0.00,0.00,0.00
50,-57.00,-32.00,-1.00,0.00,0.00,0.00
51,52.00,6.00,0.00,-1.00,0.00,0.00
52,-87.00,-27.00,0.00,-1.00,0.00,0.00
53,53.00,26.00,0.00,-1.00,0.00,0.00
54,-12.00,74.00,0.00,0.00,0.00,0.00
55,-92.00,61.00,0.00,0.00,0.00,0.00
56,-100.00,-62.00,0.00,-1.00,0.00,0.00
57,-94.00,76.00,0.00,0.00,0.00,0.00
58,-57.00,-7.00,-1.00,-1.00,0.00,0.00
59,99.00,-77.00,-1.00,-1.00,0.00,0.00
60,-4.00,-66.00,-1.00,0.00,0.00,0.00
61,10.00,-71.00,-1.00,-1.00,0.00,0.00
62,-98.00,36.00,0.00,0.00,0.00,0.00
63,-4.00,73.00,-1.00,0.00,0.00,0.00
64,61.00,31.00,0.00,-1.00,0.00,0.00
65,6.00,-98.00,0.00,0.00,0.00,0.00
66,-5.00,23.00,0.00,-1.00,0.00,0.00
67,46.00,-42.00,-1.00,-1.00,0.00,0.00
68,-58.00,-34.00,-1.00,-1.00,0.00,0.00
69,-5.00,-23.00,-1.00,0.00,0.00,0.00
70,-88.00,68.00,0.00,0.00,0.00,0.00
71,-10.00,45.00,-1.00,0.00,0.00,0.00
72,-74.00,-31.00,-1.00,-1.00,0.00,0.00
73,-79.00,84.00,0.00,0.00,0.00,0.00
74,-44.00,77.00,0.00,0.00,0.00,0.00
75,85.00,16.00,-1.00,-1.00,0.00,0.00
76,82.00,34.00,-1.00,-1.00,0.00,0.00
77,-90.00,31.00,0.00,0.00,0.00,0.00
78,-52.00,82.00,-1.00,-1.00,0.00,0.00
79,-23.00,86.00,0.00,0.00,0.00,0.00
80,-46.00,6.00,0.00,-1.00,0.00,0.00
81,-60.00,-84.00,0.00,-1.00,0.00,0.00
82,43.00,-49.00,-1.00,0.00,0.00,0.00
83,67.00,42.00,0.00,-1.00,0.00,0.00
84,-75.00,-66.00,-1.00,-1.00,0.00,0.00
85,65.00,-3.00,0.00,-1.00,0.00,0.00
86,-71.00,-63.00,-1.00,-1.00,0.00,0.00
87,73.00,91.00,0.00,0.00,0.00,0.00
88,-54.00,93.00,0.00,-1.00,0.00,0.00
89,59.00,43.00,0.00,0.00,0.00,0.00
90,94.00,-19.00,-1.00,0.00,0.00,0.00
91,73.00,-16.00,0.00,0.00,0.00,0.00
92,-32.00,-69.00,0.00,0.00,0.00,0.00
93,-22.00,-10.00,0.00,-1.00,0.00,0.00
94,-23.00,-54.00,-1.00,-1.00,0.00,0.00
95,-64.00,71.00,0.00,0.00,0.00,0.00
96,64.00,-72.00,-1.00,0.00,0.00,0.00
97,71.00,52.00,-1.00,-1.00,0.00,0.00
98,83.00,3.00,0.00,0.00,0.00,0.00
99,37.00,-19.00,-1.00,0.00,0.00,0.00
###### Tour 1 ######
0,88.99,71.00,-1.00,0.00,0.00,0.00
1,41.00,31.00,0.00,0.00,0.00,0.00
2,56.99,-77.01,-1.00,-1.00,0.00,0.00
3,89.99,12.99,-1.00,-1.00,0.00,0.00
4,21.99,-94.00,-1.00,0.00,0.00,0.00
5,57.00,-35.00,0.00,0.00,0.00,0.00
6,-97.01,19.00,-1.00,-0.00,0.00,0.00
7,-80.01,-67.01,-1.00,-1.00,0.00,0.00
8,-97.00,52.00,0.00,0.00,0.00,0.00
9,-68.01,65.99,-1.00,-1.00,0.00,0.00
10,89.00,27.00,0.00,-0.00,0.00,0.00
11,89.99,97.00,-1.00,0.00,0.00,0.00
12,53.99,90.99,-1.00,-1.00,0.00,0.00
13,-45.01,-37.01,-1.00,-1.00,0.00,0.00
14,31.99,42.99,-1.00,-1.00,0.00,0.00
15,76.00,98.00,0.00,0.00,0.00,0.00
16,-1.01,99.99,-1.00,-1.00,0.00,0.00
17,66.00,93.99,-0.00,-1.00,0.00,0.00
18,19.99,-49.00,-1.00,0.00,0.00,0.00
19,-53.01,-82.01,-1.00,-1.00,0.00,0.00
20,-92.00,89.00,-0.00,0.00,0.00,0.00
21,-99.00,38.00,-0.00,0.00,0.00,0.00
22,-20.00,2.00,0.00,0.00,0.00,0.00
23,-50.01,-56.00,-1.00,-0.00,0.00,0.00
24,94.99,57.99,-1.00,-1.00,0.00,0.00
25,0.99,-100.01,-1.00,-1.00,0.00,0.00
26,-99.00,44.99,-0.00,-1.00,0.00,0.00
27,63.00,-100.00,-0.00,-0.00,0.00,0.00
28,38.99,-90.01,-1.00,-1.00,0.00,0.00
29,48.00,57.99,-0.00,-1.00,0.00,0.00
30,-40.00,6.00,0.00,0.00,0.00,0.00
31,50.99,18.99,-1.00,-1.00,0.00,0.00
32,-74.01,38.99,-1.00,-1.00,0.00,0.00
33,-11.01,16.99,-1.00,-1.00,0.00,0.00
34,-88.00,29.00,0.00,-0.00,0.00,0.00
35,-21.01,-62.00,-1.00,-0.00,0.00,0.00
36,99.00,82.00,0.00,0.00,0.00,0.00
37,40.00,29.00,-0.00,-0.00,0.00,0.00
38,-66.01,7.00,-1.00,0.00,0.00,0.00
39,-75.00,-83.01,-0.00,-1.00,0.00,0.00
40,6.99,-67.01,-1.00,-1.00,0.00,0.00
41,1.00,77.00,0.00,0.00,0.00,0.00
42,-45.01,-25.00,-1.00,0.00,0.00,0.00
43,-37.01,-16.01,-1.00,-1.00,0.00,0.00
44,-35.00,58.00,0.00,-0.00,0.00,0.00
45,-14.01,-21.00,-1.00,0.00,0.00,0.00
46,86.00,-88.01,-0.00,-1.00,0.00,0.00
47,80.99,-66.01,-1.00,-1.00,0.00,0.00
48,-32.01,-60.01,-1.00,-1.00,0.00,0.00
49,67.00,-82.00,0.00,-0.00,0.00,0.00
50,-57.01,-32.00,-1.00,0.00,0.00,0.00
51,52.00,5.99,-0.00,-1.00,0.00,0.00
52,-87.00,-27.01,-0.00,-1.00,0.00,0.00
53,53.00,25.99,0.00,-1.00,0.00,0.00
54,-12.00,74.00,-0.00,0.00,0.00,0.00
55,-92.00,61.00,-0.00,-0.00,0.00,0.00
56,-100.00,-62.01,-0.00,-1.00,0.00,0.00
57,-94.00,76.00,-0.00,0.00,0.00,0.00
58,-57.01,-7.01,-1.00,-1.00,0.00,0.00
59,98.99,-77.01,-1.00,-1.00,0.00,0.00
60,-4.01,-66.00,-1.00,0.00,0.00,0.00
61,9.99,-71.01,-1.00,-1.00,0.00,0.00
62,-98.00,36.00,0.00,-0.00,0.00,0.00
63,-4.01,73.00,-1.00,-0.00,0.00,0.00
64,61.00,30.99,0.00,-1.00,0.00,0.00
65,6.00,-98.00,0.00,0.00,0.00,0.00
66,-5.00,22.99,0.00,-1.00,0.00,0.00
67,45.99,-42.01,-1.00,-1.00,0.00,0.00
68,-58.01,-34.01,-1.00,-1.00,0.00,0.00
69,-5.01,-23.00,-1.00,-0.00,0.00,0.00
70,-88.00,68.00,0.00,0.00,0.00,0.00
71,-10.01,45.00,-1.00,0.00,0.00,0.00
72,-74.01,-31.01,-1.00,-1.00,0.00,0.00
73,-79.00,84.00,0.00,-0.00,0.00,0.00
74,-44.00,77.00,0.00,-0.00,0.00,0.00
75,84.99,15.99,-1.00,-1.00,0.00,0.00
76,81.99,33.99,-1.00,-1.00,0.00,0.00
