particule,x,y,vx,vy
0,200561811828700754508513280.00,-120325671223313204565245952.00,286516874041001066364928.00,-171893816033304595398656.00
1,-2608025770441944814382481408.00,2133689433293488134425673728.00,-3725751100631349823799296.00,3048127761847840004898816.00
2,-10620137198471046317998080.00,18449521890345636197302272.00,-15171624569244351463424.00,26356459843350903652352.00
3,140074173418633028503076864.00,-152609034123681475594289152.00,200105962026618648002560.00,-218012905890973506076672.00
4,-87832239996422145462763520.00,670050892849459404466028544.00,-125474628566317371752448.00,957215561213513694183424.00
5,-324439358301212640575855001600.00,-394342004187656804794676281344.00,-463484797573160846388887552.00,-563345720268081168948133888.00
6,-2426539732.21,-6898068910.92,-3466485.32,-9854384.15
7,-27791378912217581428383154176.00,-19403259414046401234934431744.00,-39701969874596548235493376.00,-27718942020066287699361792.00
8,18852188578461157163008.00,115854168686826847469568.00,26931697969230225408.00,165505955266895478784.00
9,-3443272529362835174588416.00,28307890924608261455872.00,-4918960756232621654016.00,40439844178011807744.00
10,-96866965931422664726937600.00,-170558443876687303550173184.00,-138381379902032387768320.00,-243654919823839018876928.00
11,15718171350054996653746683904.00,-193838397048302623732581531648.00,22454530500078563433119744.00,-276911995783289470525112320.00
12,12516115619139619112615936.00,-3548842676160828866035712.00,17880165170199452975104.00,-5069775251658326933504.00
13,2999999999944.24,2999999999967.78,3749999999.93,3749999999.96
14,-227995898461373442555904.00,732003861235612522643456.00,-325708426304819167232.00,1045719801765160681472.00
15,-4346933516971680116768768.00,-5552625454819758644920320.00,-6209905024245257207808.00,-7932322078313941041152.00
16,4430283902267632310214983680.00,-4860734618504467742189420544.00,6328977003239475465158656.00,-6943906597863525720260608.00
17,-15816370068617037545996288.00,-19430644718918207635718144.00,-22594814383738622836736.00,-27758063884168870232064.00
18,-3303440928259438230926000128.00,-6602897819885814621082222592.00,-4719201326084912414982144.00,-9432711171265450213376000.00
19,2559640083245065306112.00,2233371063720760311808.00,3656628690350092288.00,3190530091029657600.00
20,-9843043717.79,-4918012248.31,-12306062.45,-6148017.50
21,13258597190810721062223519678464.00,-1441954064108687351301063835648.00,18940853129729601102789214208.00,-2059934377298124908519227392.00
22,-108189493363670809313280.00,-155107958923992009539584.00,-154556419090958286848.00,-221582798462845747200.00
23,320327048877082553614336.00,409459630958832349347840.00,457610069824403668992.00,584942329941189066752.00
24,-271181421065232967817756672.00,313394809452005113615876096.00,-387402030093189949423616.00,447706870645721594331136.00
25,1753647259190085183078400.00,65988108696950923067392.00,2505210370271550636032.00,94268726709929902080.00
26,84436070451153776815374336.00,-35131757163125237690138624.00,120622957787362531213312.00,-50188224518750338023424.00
27,-11380656571618137473024.00,12512308731060884078592.00,-16258080816597340160.00,17874726758658404352.00
28,-396574117858492819701760.00,-306386476173671480164352.00,-566534454083561127936.00,-437694965962387816448.00
29,-9353276220431062269952.00,-3765506217734751911936.00,-13361823172044374016.00,-5379294596763931648.00
30,-3786305571782770152177664.00,-12375574276583395598270464.00,-5409007959689671999488.00,-17679391823690565943296.00
31,-216298513697451254797565952.00,-1847333616954468580907286528.00,-308997876710644681539584.00,-2639048024220669367549952.00
32,44327633299246668731354447872.00,-110647302427832721924130078720.00,63325190427495246984118272.00,-158067574896903881591095296.00
33,42239689292823445224030208.00,24767729891135956048674816.00,60342413275462067290112.00,35382471273051366359040.00
34,1705139012254532632576.00,-90732095880113996955648.00,2435912874649332224.00,-129617279828734263296.00
35,-23552748900935127793664.00,11580291712550355075072.00,-33646784144193036288.00,16543273875071938560.00
