//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 100 x 100.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,30.00,57.00,9.00,-8.00,0.00,0.00
1,-33.00,-79.00,-6.00,6.00,0.00,0.00
2,28.00,77.00,-6.00,-10.00,0.00,0.00
3,-88.00,-68.00,3.00,4.00,0.00,0.00
4,84.00,-4.00,0.00,-8.00,0.00,0.00
5,-46.00,-37.00,-9.00,-5.00,0.00,0.00
6,27.00,-51.00,-1.00,-1.00,0.00,0.00
7,89.00,82.00,9.00,-3.00,0.00,0.00
8,40.00,53.00,-1.00,-8.00,0.00,0.00
9,27.00,47.00,6.00,-8.00,0.00,0.00
10,-24.00,47.00,-10.00,0.00,0.00,0.00
11,31.00,82.00,-6.00,9.00,0.00,0.00
12,-69.00,18.00,9.00,-8.00,0.00,0.00
13,81.00,32.00,-3.00,-9.00,0.00,0.00
14,81.00,38.00,0.00,0.00,0.00,0.00
15,-28.00,55.00,7.00,9.00,0.00,0.00
16,8.00,97.00,9.00,-7.00,0.00,0.00
17,-4.00,2.00,-7.00,3.00,0.00,0.00
18,-99.00,-64.00,-8.00,9.00,0.00,0.00
19,-81.00,33.00,5.00,8.00,0.00,0.00
20,-96.00,-4.00,10.00,-9.00,0.00,0.00
21,-72.00,73.00,-9.00,-10.00,0.00,0.00
22,-37.00,49.00,-2.00,2.00,0.00,0.00
23,4.00,24.00,-1.00,10.00,0.00,0.00
24,22.00,-29.00,-10.00,-10.00,0.00,0.00
25,25.00,95.00,3.00,-2.00,0.00,0.00
26,83.00,-95.00,-3.00,8.00,0.00,0.00
27,38.00,-89.00,3.00,6.00,0.00,0.00
28,8.00,96.00,8.00,-10.00,0.00,0.00
29,21.00,-70.00,10.00,9.00,0.00,0.00
30,31.00,33.00,0.00,-7.00,0.00,0.00
31,-42.00,-81.00,-10.00,2.00,0.00,0.00
32,-57.00,5.00,2.00,-9.00,0.00,0.00
33,-48.00,-6.00,0.00,-4.00,0.00,0.00
34,-1.00,6.00,-9.00,4.00,0.00,0.00
35,17.00,47.00,0.00,-6.00,0.00,0.00
36,-5.00,16.00,-7.00,-8.00,0.00,0.00
37,-2.00,-32.00,-10.00,-6.00,0.00,0.00
38,53.00,-29.00,-5.00,3.00,0.00,0.00
39,-57.00,70.00,-6.00,-3.00,0.00,0.00
40,-72.00,-54.00,-4.00,-4.00,0.00,0.00
41,-8.00,-95.00,0.00,0.00,0.00,0.00
42,11.00,-89.00,-9.00,-10.00,0.00,0.00
43,10.00,20.00,-6.00,-3.00,0.00,0.00
44,88.00,28.00,-1.00,1.00,0.00,0.00
45,48.00,73.00,6.00,1.00,0.00,0.00
46,96.00,33.00,-9.00,6.00,0.00,0.00
47,4.00,61.00,-8.00,0.00,0.00,0.00
48,59.00,88.00,4.00,2.00,0.00,0.00
49,93.00,85.00,-9.00,-1.00,0.00,0.00
50,96.00,-70.00,-1.00,4.00,0.00,0.00
51,51.00,48.00,-10.00,-9.00,0.00,0.00
52,-23.00,-16.00,3.00,-9.00,0.00,0.00
53,-91.00,-6.00,2.00,-8.00,0.00,0.00
54,-73.00,45.00,9.00,0.00,0.00,0.00
55,6.00,78.00,8.00,2.00,0.00,0.00
56,18.00,-16.00,-7.00,-2.00,0.00,0.00
57,-31.00,-38.00,7.00,-9.00,0.00,0.00
58,-56.00,11.00,5.00,0.00,0.00,0.00
59,-41.00,86.00,0.00,0.00,0.00,0.00
60,-78.00,-35.00,0.00,-3.00,0.00,0.00
61,59.00,93.00,-1.00,0.00,0.00,0.00
62,38.00,-11.00,-10.00,-4.00,0.00,0.00
63,-80.00,89.00,8.00,1.00,0.00,0.00
64,-27.00,77.00,9.00,7.00,0.00,0.00
65,91.00,-73.00,8.00,10.00,0.00,0.00
66,38.00,-66.00,-3.00,0.00,0.00,0.00
67,72.00,-30.00,8.00,10.00,0.00,0.00
68,-13.00,-100.00,-4.00,-10.00,0.00,0.00
69,46.00,-30.00,1.00,6.00,0.00,0.00
70,59.00,59.00,-8.00,-6.00,0.00,0.00
71,48.00,90.00,6.00,2.00,0.00,0.00
72,20.00,76.00,-2.00,3.00,0.00,0.00
73,-96.00,80.00,0.00,-8.00,0.00,0.00
74,66.00,-17.00,0.00,7.00,0.00,0.00
75,5.00,31.00,4.00,-3.00,0.00,0.00
76,31.00,67.00,-5.00,8.00,0.00,0.00
77,-63.00,76.00,2.00,2.00,0.00,0.00
78,35.00,95.00,7.00,-1.00,0.00,0.00
79,85.00,2.00,-10.00,-9.00,0.00,0.00
80,-22.00,-70.00,5.00,-2.00,0.00,0.00
81,62.00,-80.00,-1.00,-6.00,0.00,0.00
82,-45.00,73.00,-10.00,0.00,0.00,0.00
83,28.00,-3.00,-1.00,-9.00,0.00,0.00
84,-26.00,31.00,2.00,8.00,0.00,0.00
85,26.00,94.00,-4.00,10.00,0.00,0.00
86,-4.00,59.00,-10.00,7.00,0.00,0.00
87,42.00,-58.00,-5.00,9.00,0.00,0.00
88,-37.00,-58.00,-10.00,3.00,0.00,0.00
89,-85.00,-39.00,-10.00,1.00,0.00,0.00
90,-77.00,85.00,-6.00,-10.00,0.00,0.00
91,-17.00,25.00,-8.00,0.00,0.00,0.00
92,-43.00,83.00,-5.00,-7.00,0.00,0.00
93,77.00,72.00,-8.00,1.00,0.00,0.00
94,-17.00,21.00,-3.00,-10.00,0.00,0.00
95,63.00,-36.00,8.00,-1.00,0.00,0.00
96,6.00,-81.00,-10.00,0.00,0.00,0.00
97,-67.00,-20.00,-10.00,-5.00,0.00,0.00
98,-82.00,2.00,-5.00,0.00,0.00,0.00
99,-73.00,-24.00,10.00,-4.00,0.00,0.00
###### Tour 1 ######
0,30.01,56.99,9.00,-8.00,0.00,-0.00
1,-33.01,-78.99,-6.00,6.00,-0.00,0.00
2,27.99,76.99,-6.00,-10.00,-0.00,0.00
3,-88.00,-68.00,3.00,4.00,-0.00,0.00
4,84.00,-4.01,-0.00,-8.00,-0.00,0.00
5,-46.01,-37.01,-9.00,-5.00,0.00,-0.00
6,27.00,-51.00,-1.00,-1.00,0.00,0.00
7,89.01,82.00,9.00,-3.00,-0.00,-0.00
8,40.00,52.99,-1.00,-8.00,-0.00,-0.00
9,27.01,46.99,6.01,-8.00,24.00,-0.00
10,-24.01,47.00,-10.01,0.00,-24.00,0.00
11,30.99,82.01,-6.00,9.00,-0.00,-0.00
12,-68.99,17.99,9.00,-8.00,0.00,0.00
13,81.00,31.99,-3.00,-9.00,0.00,0.00
14,81.00,38.00,-0.00,-0.00,-0.00,-0.00
15,-27.99,55.01,7.00,9.00,-0.00,-0.00
16,8.01,96.99,9.00,-6.99,0.00,24.00
17,-4.01,2.00,-7.00,3.00,-0.00,0.00
18,-99.01,-63.99,-8.00,9.00,0.00,0.00
19,-81.00,33.01,5.00,8.00,0.00,0.00
20,-95.99,-4.01,10.00,-9.00,0.00,-0.00
21,-72.01,72.99,-9.00,-10.00,0.00,-0.00
22,-37.00,49.00,-2.00,2.00,0.00,-0.00
23,4.00,24.01,-1.00,10.00,0.00,0.00
24,21.99,-29.01,-10.00,-10.00,-0.00,-0.00
25,25.00,95.00,3.00,-2.00,1.13,-1.13
26,83.00,-94.99,-3.00,8.00,-0.00,0.00
27,38.00,-88.99,3.00,6.00,0.00,-0.00
28,8.01,95.99,8.00,-10.01,0.00,-24.01
29,21.01,-69.99,10.00,9.00,-0.00,0.00
30,31.00,32.99,-0.00,-7.00,-0.00,-0.00
31,-42.01,-81.00,-10.00,2.00,0.00,-0.00
32,-57.00,4.99,2.00,-9.00,0.00,-0.00
33,-48.00,-6.00,0.00,-4.00,0.00,-0.00
34,-1.01,6.00,-9.00,4.00,-0.00,0.00
35,17.00,46.99,-0.00,-6.00,-0.00,0.00
36,-5.01,15.99,-7.00,-8.00,-0.00,0.00
37,-2.01,-32.01,-10.00,-6.00,0.00,0.00
38,52.99,-29.00,-5.00,3.00,-0.00,-0.00
39,-57.01,70.00,-6.00,-3.00,0.00,-0.00
40,-72.00,-54.00,-4.00,-4.00,-0.00,0.00
41,-8.00,-95.00,-0.00,-0.00,-0.00,-0.00
