//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 100 tours.
// Ce CSV contient 100 tours sur les 100.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,29.00,-13.00,0.00,-1.00,0.00,0.00
1,66.00,20.00,0.00,-1.00,0.00,0.00
2,38.00,-58.00,-1.00,0.00,0.00,0.00
3,-33.00,34.00,0.00,-1.00,0.00,0.00
4,-37.00,-79.00,-1.00,0.00,0.00,0.00
5,34.00,53.00,0.00,0.00,0.00,0.00
6,88.00,-84.00,-1.00,0.00,0.00,0.00
7,-52.00,7.00,-1.00,0.00,0.00,0.00
8,95.00,39.00,-1.00,0.00,0.00,0.00
9,-92.00,23.00,0.00,-1.00,0.00,0.00
10,16.00,86.00,-1.00,0.00,0.00,0.00
11,-31.00,-10.00,0.00,0.00,0.00,0.00
12,11.00,-14.00,-1.00,0.00,0.00,0.00
13,-61.00,65.00,0.00,-1.00,0.00,0.00
14,31.00,27.00,-1.00,-1.00,0.00,0.00
15,-66.00,4.00,0.00,0.00,0.00,0.00
16,93.00,44.00,-1.00,-1.00,0.00,0.00
17,-33.00,88.00,0.00,0.00,0.00,0.00
18,74.00,4.00,-1.00,0.00,0.00,0.00
19,44.00,7.00,-1.00,0.00,0.00,0.00
20,94.00,-41.00,-1.00,0.00,0.00,0.00
21,-77.00,35.00,0.00,-1.00,0.00,0.00
22,-88.00,-95.00,-1.00,0.00,0.00,0.00
23,-41.00,-10.00,-1.00,-1.00,0.00,0.00
24,-67.00,-88.00,0.00,-1.00,0.00,0.00
25,100.00,-51.00,0.00,-1.00,0.00,0.00
26,3.00,47.00,-1.00,0.00,0.00,0.00
27,-46.00,-60.00,-1.00,-1.00,0.00,0.00
28,-1.00,99.00,0.00,-1.00,0.00,0.00
29,-16.00,-12.00,0.00,0.00,0.00,0.00
30,-56.00,-41.00,-1.00,0.00,0.00,0.00
31,-1.00,67.00,-1.00,0.00,0.00,0.00
32,29.00,-43.00,0.00,0.00,0.00,0.00
33,6.00,-85.00,-1.00,-1.00,0.00,0.00
34,12.00,-33.00,0.00,0.00,0.00,0.00
35,7.00,55.00,0.00,-1.00,0.00,0.00
36,53.00,-8.00,-1.00,0.00,0.00,0.00
37,81.00,-96.00,-1.00,0.00,0.00,0.00
38,-86.00,-26.00,-1.00,-1.00,0.00,0.00
39,91.00,82.00,0.00,-1.00,0.00,0.00
40,89.00,79.00,-1.00,-1.00,0.00,0.00
41,44.00,49.00,-1.00,-1.00,0.00,0.00
42,-85.00,57.00,-1.00,-1.00,0.00,0.00
43,11.00,34.00,-1.00,-1.00,0.00,0.00
