//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 100 tours.
// Ce CSV contient 100 tours sur les 100.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy
//////////////////////////////////////////////////////
###### Tour 0 ######
49,0.57,-1.30,-0.00,-0.01
50,-0.49,-0.85,-0.01,-0.01
51,-0.78,0.81,0.00,0.00
52,0.49,-0.62,-0.00,0.00
53,-1.13,-0.80,-0.01,-0.00
54,-1.00,-1.66,-0.01,-0.01
55,-0.53,-1.41,-0.01,-0.01
56,0.97,-1.51,-0.00,-0.01
57,-0.81,-0.87,-0.01,-0.01
58,0.79,-0.70,0.00,-0.00
59,0.61,-1.66,0.00,-0.01
60,-0.77,-0.38,-0.00,0.00
61,-1.17,-1.55,-0.01,-0.01
62,-1.71,-0.40,-0.01,0.00
63,-1.31,-0.77,-0.01,-0.01
64,0.22,-0.30,0.00,-0.00
65,0.84,-0.28,-0.00,0.00
66,-0.97,-0.61,1.12,1.11
67,-0.76,-0.82,-0.01,-0.01
68,0.31,-1.79,0.00,-0.01
69,-1.84,-0.31,-0.01,-0.01
70,0.79,-1.42,0.00,-0.01
71,-0.69,0.46,-0.01,0.00
72,-1.84,-0.69,-0.01,0.00
73,-0.96,0.55,-0.01,0.00
74,-0.06,0.23,-0.00,0.00
75,-0.59,-1.07,0.00,-0.01
76,-0.86,-0.29,-0.01,-0.01
77,-1.11,-0.19,-0.01,-0.01
78,-1.62,-1.02,-0.01,-0.01
79,-0.56,-0.71,0.00,-0.01
80,0.60,0.16,-0.00,0.00
81,-1.29,0.71,-0.01,0.00
82,-1.07,-0.10,-0.01,-0.00
83,0.83,-0.04,-0.00,-0.00
84,-0.84,-0.60,-0.00,-0.01
85,-0.80,-0.97,-0.01,-0.00
86,-0.98,-0.62,-0.01,-0.01
87,-1.34,-0.51,-0.01,-0.01
88,-1.35,-1.85,-0.01,-0.01
89,0.86,0.09,-0.00,0.00
90,0.99,-1.18,0.00,-0.01
91,-0.72,0.18,-0.01,0.00
92,-0.42,-0.96,0.00,-0.00
93,-0.92,-1.80,-0.00,-0.01
94,-0.42,-1.87,-0.01,-0.01
95,0.62,-0.39,-0.00,-0.00
96,-0.74,0.39,0.00,-0.00
97,-0.02,-1.38,-0.01,-0.01
98,-1.06,0.02,-0.02,0.00
99,-1.80,-0.45,-0.01,-0.01
###### Tour 2 ######
0,0.01,-0.01,137906882211965.75,93639691646801.20
1,-0.01,0.01,-11130205.02,756878.08
2,-0.01,-0.02,-558791723416957376.00,558795195604462528.00
3,-0.02,-0.03,-2065786732474.11,13455885142956.08
4,-0.00,-0.01,26443445145010.95,-33920038157264.41
5,-0.01,-0.03,14727779028012.82,-14783436467039.46
6,-0.02,0.01,-558793535666564928.00,-558793535681671424.00
7,0.00,-0.00,-4819263348.23,-5765797804.30
8,-0.01,0.00,9409499534896.57,4696174690877.78
9,-0.02,-0.03,12114056897.36,-12880388754.43
10,-0.02,-0.01,-533530641551370.69,-238883806676232.41
11,0.01,-0.01,-10559553823.04,-16181022146.77
12,-0.01,-0.01,597625518824434560.00,74513692747846844416.00
13,-0.01,-0.02,109829441702.72,4146954062.55
14,-0.00,-0.02,-7663141.49,-5550729.22
15,-0.01,-0.01,15908282891917.02,-37132338225373.77
16,-0.02,-0.00,-187007733178.74,-196907831509.68
17,-0.01,0.00,5061927480291.34,-624598595205.08
18,-0.02,0.01,58593748666772224.00,-175781244040371136.00
19,-0.03,-0.02,3866921918907.74,-3128346466974.36
20,0.00,0.00,-2102901667.48,4530973541.97
21,-0.01,-0.01,1811797427625441.25,-2908019764246478.50
22,0.00,-0.01,14562441436.04,-11222420532.54
23,-0.02,-0.02,-77073408622582816.00,-38587123783409464.00
24,-0.01,-0.03,-8643059368.97,-2746091820.26
25,0.00,-0.01,556525722918168832.00,1391314307281019136.00
26,0.00,-0.02,-38319727851.47,-9581536671.28
27,-nan,-nan,-nan,-nan
28,-0.03,-0.00,-nan,-nan
29,-0.03,-0.02,-nan,-nan
30,-0.01,-0.03,-nan,-nan
31,0.00,0.01,-nan,-nan
32,-0.01,-0.01,-nan,-nan
33,-0.01,-0.02,-nan,-nan
34,-0.02,-0.01,-nan,-nan
35,-0.02,-0.02,-nan,-nan
36,0.01,-0.02,-nan,-nan
37,-0.01,-0.02,-nan,-nan
38,-0.01,0.00,-nan,-nan
39,0.01,-0.02,-nan,-nan
40,-0.02,-0.01,-nan,-nan
41,0.00,-0.03,-nan,-nan
42,-0.01,-0.02,-nan,-nan
43,-0.03,0.01,-nan,-nan
44,-0.01,-0.03,-nan,-nan
45,-0.02,-0.00,-nan,-nan
46,-0.02,0.00,-nan,-nan
47,0.00,-0.02,-nan,-nan
48,0.01,0.01,-nan,-nan
49,0.01,-0.02,-nan,-nan
50,-0.01,-0.02,-nan,-nan
51,-0.01,0.01,-nan,-nan
52,0.00,-0.01,-nan,-nan
53,-0.02,-0.01,-nan,-nan
54,-0.02,-0.03,-nan,-nan
55,-0.02,-0.02,-nan,-nan
56,0.01,-0.03,-nan,-nan
57,-0.02,-0.02,-nan,-nan
58,0.01,-0.01,-nan,-nan
59,0.01,-0.03,-nan,-nan
60,-0.01,-0.00,-nan,-nan
61,-0.02,-0.03,-nan,-nan
62,-0.03,-0.00,-nan,-nan
63,-0.02,-0.02,-nan,-nan
64,0.00,-0.00,-nan,-nan
65,0.01,-0.00,-nan,-nan
66,1.11,1.11,-nan,-nan
67,-0.02,-0.02,-nan,-nan
68,0.00,-0.03,-nan,-nan
69,-0.03,-0.01,-nan,-nan
70,0.01,-0.02,-nan,-nan
71,-0.02,0.00,-nan,-nan
72,-0.03,-0.01,-nan,-nan
73,-0.02,0.01,-nan,-nan
74,-0.00,0.00,-nan,-nan
75,-0.01,-0.02,-nan,-nan
76,-0.02,-0.01,-nan,-nan
77,-0.02,-0.01,-nan,-nan
78,-0.03,-0.02,-nan,-nan
79,-0.01,-0.02,-nan,-nan
80,0.01,0.00,-nan,-nan
81,-0.02,0.01,-nan,-nan
82,-0.02,-0.00,-nan,-nan
83,0.01,-0.00,-nan,-nan
84,-0.01,-0.02,-nan,-nan
85,-0.02,-0.01,-nan,-nan
86,-0.02,-0.02,-nan,-nan
87,-0.02,-0.02,-nan,-nan
88,-0.02,-0.03,-nan,-nan
89,0.01,0.00,-nan,-nan
90,0.01,-0.02,-nan,-nan
91,-0.02,0.00,-nan,-nan
92,-0.00,-0.01,-nan,-nan
93,-0.01,-0.03,-nan,-nan
94,-0.01,-0.03,-nan,-nan
95,0.01,-0.00,-nan,-nan
96,-0.01,0.00,-nan,-nan
97,-0.01,-0.02,-nan,-nan
98,-0.03,0.00,-nan,-nan
99,-0.03,-0.01,-nan,-nan
###### Tour 3 ######
0,137906882211965.75,93639691646801.20,-nan,-nan
1,-11130205.02,756878.08,-nan,-nan
2,-558791723416957376.00,558795195604462528.00,-nan,-nan
3,-2065786732474.11,13455885142956.08,-nan,-nan
4,26443445145010.95,-33920038157264.41,-nan,-nan
5,14727779028012.82,-14783436467039.46,-nan,-nan
6,-558793535666564928.00,-558793535681671424.00,-nan,-nan
7,-4819263348.23,-5765797804.30,-nan,-nan
8,9409499534896.57,4696174690877.78,-nan,-nan
9,12114056897.36,-12880388754.43,-nan,-nan
10,-533530641551370.69,-238883806676232.41,-nan,-nan
11,-10559553823.04,-16181022146.77,-nan,-nan
12,597625518824434560.00,74513692747846844416.00,-nan,-nan
13,109829441702.72,4146954062.55,-nan,-nan
14,-7663141.49,-5550729.22,-nan,-nan
15,15908282891917.02,-37132338225373.77,-nan,-nan
16,-187007733178.74,-196907831509.68,-nan,-nan
17,5061927480291.34,-624598595205.08,-nan,-nan
18,58593748666772224.00,-175781244040371136.00,-nan,-nan
19,3866921918907.74,-3128346466974.36,-nan,-nan
20,-2102901667.48,4530973541.97,-nan,-nan
21,1811797427625441.25,-2908019764246478.50,-nan,-nan
22,14562441436.04,-11222420532.54,-nan,-nan
23,-77073408622582816.00,-38587123783409464.00,-nan,-nan
24,-8643059368.97,-2746091820.26,-nan,-nan
25,556525722918168832.00,1391314307281019136.00,-nan,-nan
26,-38319727851.47,-9581536671.28,-nan,-nan
