//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=10000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
160,62.00,-621.00,0.00,-4.00,-441.00,-107.00,-3.00,-1.00,265.00,824.00,2.00,5.00,1411.00,-55.00,9.00,-0.00,1216.00,1394.00,7.00,9.00,-1556.00,23.00,-10.00,0.00,1435.00,-359.00,9.00,-2.00,1006.00,706.00,6.00,4.00,35.00,1429.00,0.00,9.00,418.00,81.00,3.00,1.00
170,62.00,-661.00,0.00,-4.00,-471.00,-117.00,-3.00,-1.00,285.00,874.00,2.00,5.00,1501.00,-55.00,9.00,-0.00,1286.00,1484.00,7.00,9.00,-1656.00,23.00,-10.00,0.00,1525.00,-379.00,9.00,-2.00,1066.00,746.00,6.00,4.00,35.00,1519.00,0.00,9.00,448.00,91.00,3.00,1.00
180,62.00,-701.00,0.00,-4.00,-501.00,-127.00,-3.00,-1.00,305.00,924.00,2.00,5.00,1591.00,-55.00,9.00,-0.00,1356.00,1574.00,7.00,9.00,-1756.00,23.00,-10.00,0.00,1615.00,-399.00,9.00,-2.00,1126.00,786.00,6.00,4.00,35.00,1609.00,0.00,9.00,478.00,101.00,3.00,1.00
190,62.00,-741.00,0.00,-4.00,-531.00,-137.00,-3.00,-1.00,325.00,974.00,2.00,5.00,1681.00,-55.00,9.00,-0.00,1426.00,1664.00,7.00,9.00,-1856.00,23.00,-10.00,0.00,1705.00,-419.00,9.00,-2.00,1186.00,826.00,6.00,4.00,35.00,1699.00,0.00,9.00,508.00,111.00,3.00,1.00
200,62.00,-781.00,0.00,-4.00,-561.00,-147.00,-3.00,-1.00,345.00,1024.00,2.00,5.00,1771.00,-55.00,9.00,-0.00,1496.00,1754.00,7.00,9.00,-1956.00,23.00,-10.00,0.00,1795.00,-439.00,9.00,-2.00,1246.00,866.00,6.00,4.00,35.00,1789.00,0.00,9.00,538.00,121.00,3.00,1.00
210,62.00,-821.00,0.00,-4.00,-591.00,-157.00,-3.00,-1.00,365.00,1074.00,2.00,5.00,1861.00,-55.00,9.00,-0.00,1566.00,1844.00,7.00,9.00,-2056.00,23.00,-10.00,0.00,1885.00,-459.00,9.00,-2.00,1306.00,906.00,6.00,4.00,35.00,1879.00,0.00,9.00,568.00,131.00,3.00,1.00
220,62.00,-861.00,0.00,-4.00,-621.00,-167.00,-3.00,-1.00,385.00,1124.00,2.00,5.00,1951.00,-55.00,9.00,-0.00,1636.00,1934.00,7.00,9.00,-2156.00,23.00,-10.00,0.00,1975.00,-479.00,9.00,-2.00,1366.00,946.00,6.00,4.00,35.00,1969.00,0.00,9.00,598.00,141.00,3.00,1.00
230,62.00,-901.00,0.00,-4.00,-651.00,-177.00,-3.00,-1.00,405.00,1174.00,2.00,5.00,2041.00,-55.00,9.00,-0.00,1706.00,2024.00,7.00,9.00,-2256.00,23.00,-10.00,0.00,2065.00,-499.00,9.00,-2.00,1426.00,986.00,6.00,4.00,35.00,2059.00,0.00,9.00,628.00,151.00,3.00,1.00
240,62.00,-941.00,0.00,-4.00,-681.00,-187.00,-3.00,-1.00,425.00,1224.00,2.00,5.00,2131.00,-55.00,9.00,-0.00,1776.00,2114.00,7.00,9.00,-2356.00,23.00,-10.00,0.00,2155.00,-519.00,9.00,-2.00,1486.00,1026.00,6.00,4.00,35.00,2149.00,0.00,9.00,658.00,161.00,3.00,1.00
250,62.00,-981.00,0.00,-4.00,-711.00,-197.00,-3.00,-1.00,445.00,1274.00,2.00,5.00,2221.00,-55.00,9.00,-0.00,1846.00,2204.00,7.00,9.00,-2456.00,23.00,-10.00,0.00,2245.00,-539.00,9.00,-2.00,1546.00,1066.00,6.00,4.00,35.00,2239.00,0.00,9.00,688.00,171.00,3.00,1.00
260,62.00,-1021.00,0.00,-4.00,-741.00,-207.00,-3.00,-1.00,465.00,1324.00,2.00,5.00,2311.00,-55.00,9.00,-0.00,1916.00,2294.00,7.00,9.00,-2556.00,23.00,-10.00,0.00,2335.00,-559.00,9.00,-2.00,1606.00,1106.00,6.00,4.00,35.00,2329.00,0.00,9.00,718.00,181.00,3.00,1.00
270,62.00,-1061.00,0.00,-4.00,-771.00,-217.00,-3.00,-1.00,485.00,1374.00,2.00,5.00,2401.00,-55.00,9.00,-0.00,1986.00,2384.00,7.00,9.00,-2656.00,23.00,-10.00,0.00,2425.00,-579.00,9.00,-2.00,1666.00,1146.00,6.00,4.00,35.00,2419.00,0.00,9.00,748.00,191.00,3.00,1.00
280,62.00,-1101.00,0.00,-4.00,-801.00,-227.00,-3.00,-1.00,505.00,1424.00,2.00,5.00,2491.00,-55.00,9.00,-0.00,2056.00,2474.00,7.00,9.00,-2756.00,23.00,-10.00,0.00,2515.00,-599.00,9.00,-2.00,1726.00,1186.00,6.00,4.00,35.00,2509.00,0.00,9.00,778.00,201.00,3.00,1.00
290,62.00,-1141.00,0.00,-4.00,-831.00,-237.00,-3.00,-1.00,525.00,1474.00,2.00,5.00,2581.00,-55.00,9.00,-0.00,2126.00,2564.00,7.00,9.00,-2856.00,23.00,-10.00,0.00,2605.00,-619.00,9.00,-2.00,1786.00,1226.00,6.00,4.00,35.00,2599.00,0.00,9.00,808.00,211.00,3.00,1.00
300,62.00,-1181.00,0.00,-4.00,-861.00,-247.00,-3.00,-1.00,545.00,1524.00,2.00,5.00,2671.00,-55.00,9.00,-0.00,2196.00,2654.00,7.00,9.00,-2956.00,23.00,-10.00,0.00,2695.00,-639.00,9.00,-2.00,1846.00,1266.00,6.00,4.00,35.00,2689.00,0.00,9.00,838.00,221.00,3.00,1.00
310,62.00,-1221.00,0.00,-4.00,-891.00,-257.00,-3.00,-1.00,565.00,1574.00,2.00,5.00,2761.00,-55.00,9.00,-0.00,2266.00,2744.00,7.00,9.00,-3056.00,23.00,-10.00,0.00,2785.00,-659.00,9.00,-2.00,1906.00,1306.00,6.00,4.00,35.00,2779.00,0.00,9.00,868.00,231.00,3.00,1.00
320,62.00,-1261.00,0.00,-4.00,-921.00,-267.00,-3.00,-1.00,585.00,1624.00,2.00,5.00,2851.00,-55.00,9.00,-0.00,2336.00,2834.00,7.00,9.00,-3156.00,23.00,-10.00,0.00,2875.00,-679.00,9.00,-2.00,1966.00,1346.00,6.00,4.00,35.00,2869.00,0.00,9.00,898.00,241.00,3.00,1.00
330,62.00,-1301.00,0.00,-4.00,-951.00,-277.00,-3.00,-1.00,605.00,1674.00,2.00,5.00,2941.00,-55.00,9.00,-0.00,2406.00,2924.00,7.00,9.00,-3256.00,23.00,-10.00,0.00,2965.00,-699.00,9.00,-2.00,2026.00,1386.00,6.00,4.00,35.00,2959.00,0.00,9.00,928.00,251.00,3.00,1.00
340,62.00,-1341.00,0.00,-4.00,-981.00,-287.00,-3.00,-1.00,625.00,1724.00,2.00,5.00,3031.00,-55.00,9.00,-0.00,2476.00,3014.00,7.00,9.00,-3356.00,23.00,-10.00,0.00,3055.00,-719.00,9.00,-2.00,2086.00,1426.00,6.00,4.00,35.00,3049.00,0.00,9.00,958.00,261.00,3.00,1.00
350,62.00,-1381.00,0.00,-4.00,-1011.00,-297.00,-3.00,-1.00,645.00,1774.00,2.00,5.00,3121.00,-55.00,9.00,-0.00,2546.00,3104.00,7.00,9.00,-3456.00,23.00,-10.00,0.00,3145.00,-739.00,9.00,-2.00,2146.00,1466.00,6.00,4.00,35.00,3139.00,0.00,9.00,988.00,271.00,3.00,1.00
360,62.00,-1421.00,0.00,-4.00,-1041.00,-307.00,-3.00,-1.00,665.00,1824.00,2.00,5.00,3211.00,-55.00,9.00,-0.00,2616.00,3194.00,7.00,9.00,-3556.00,23.00,-10.00,0.00,3235.00,-759.00,9.00,-2.00,2206.00,1506.00,6.00,4.00,35.00,3229.00,0.00,9.00,1018.00,281.00,3.00,1.00
370,62.00,-1461.00,0.00,-4.00,-1071.00,-317.00,-3.00,-1.00,685.00,1874.00,2.00,5.00,3301.00,-55.00,9.00,-0.00,2686.00,3284.00,7.00,9.00,-3656.00,23.00,-10.00,0.00,3325.00,-779.00,9.00,-2.00,2266.00,1546.00,6.00,4.00,35.00,3319.00,0.00,9.00,1048.00,291.00,3.00,1.00
380,62.00,-1501.00,0.00,-4.00,-1101.00,-327.00,-3.00,-1.00,705.00,1924.00,2.00,5.00,3391.00,-55.00,9.00,-0.00,2756.00,3374.00,7.00,9.00,-3756.00,23.00,-10.00,0.00,3415.00,-799.00,9.00,-2.00,2326.00,1586.00,6.00,4.00,35.00,3409.00,0.00,9.00,1078.00,301.00,3.00,1.00
390,62.00,-1541.00,0.00,-4.00,-1131.00,-337.00,-3.00,-1.00,725.00,1974.00,2.00,5.00,3481.00,-55.00,9.00,-0.00,2826.00,3464.00,7.00,9.00,-3856.00,23.00,-10.00,0.00,3505.00,-819.00,9.00,-2.00,2386.00,1626.00,6.00,4.00,35.00,3499.00,0.00,9.00,1108.00,311.00,3.00,1.00
400,62.00,-1581.00,0.00,-4.00,-1161.00,-347.00,-3.00,-1.00,745.00,2024.00,2.00,5.00,3571.00,-55.00,9.00,-0.00,2896.00,3554.00,7.00,9.00,-3956.00,23.00,-10.00,0.00,3595.00,-839.00,9.00,-2.00,2446.00,1666.00,6.00,4.00,35.00,3589.00,0.00,9.00,1138.00,321.00,3.00,1.00
410,62.00,-1621.00,0.00,-4.00,-1191.00,-357.00,-3.00,-1.00,765.00,2074.00,2.00,5.00,3661.00,-55.00,9.00,-0.00,2966.00,3644.00,7.00,9.00,-4056.00,23.00,-10.00,0.00,3685.00,-859.00,9.00,-2.00,2506.00,1706.00,6.00,4.00,35.00,3679.00,0.00,9.00,1168.00,331.00,3.00,1.00
420,62.00,-1661.00,0.00,-4.00,-1221.00,-367.00,-3.00,-1.00,785.00,2124.00,2.00,5.00,3751.00,-55.00,9.00,-0.00,3036.00,3734.00,7.00,9.00,-4156.00,23.00,-10.00,0.00,3775.00,-879.00,9.00,-2.00,2566.00,1746.00,6.00,4.00,35.00,3769.00,0.00,9.00,1198.00,341.00,3.00,1.00
430,62.00,-1701.00,0.00,-4.00,-1251.00,-377.00,-3.00,-1.00,805.00,2174.00,2.00,5.00,3841.00,-55.00,9.00,-0.00,3106.00,3824.00,7.00,9.00,-4256.00,23.00,-10.00,0.00,3865.00,-899.00,9.00,-2.00,2626.00,1786.00,6.00,4.00,35.00,3859.00,0.00,9.00,1228.00,351.00,3.00,1.00
