//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,-50.00,-72.00,-1.00,-1.00,59.00,35.00,-1.00,-1.00,-74.00,23.00,0.00,1.00,-80.00,35.00,0.00,1.00,-9.00,3.00,-1.00,1.00
1,-0.05,-0.07,-0.00,-0.00,0.06,0.03,-0.00,-0.00,-0.07,0.02,0.00,0.00,-0.08,0.04,-0.00,0.00,-0.01,0.00,-0.00,0.00
2,1191805933195461.00,3086372313594048.00,1191805933195461.00,3086372313594048.00,-20778321794065832.00,-9155823692773658.00,-20778321794065832.00,-9155823692773658.00,-47027931444864849331355648.00,94055863074884450303082496.00,-47027931444864849331355648.00,94055863074884450303082496.00,13154399586530356.00,-6013752652606054.00,13154399586530356.00,-6013752652606054.00,-0.00,0.00,-0.00,0.00
3,2383611866390.92,6172744627188.10,1191805933195.46,3086372313594.05,-41556643588131.66,-18311647385547.32,-20778321794065.83,-9155823692773.66,-94055862889729694367744.00,188111726149768918859776.00,-47027931444864847183872.00,94055863074884459429888.00,26308799173060.71,-12027505305212.11,13154399586530.36,-6013752652606.05,-0.00,0.00,-0.00,0.00
4,3575417799.59,9259116940.78,1191805933.20,3086372313.59,-62334965382.20,-27467471078.32,-20778321794.07,-9155823692.77,-141083794334594564096.00,282167589224653389824.00,-47027931444864851968.00,94055863074884468736.00,39463198759.59,-18041257957.82,13154399586.53,-6013752652.61,-0.00,0.00,-0.00,0.00
5,4767223.73,12345489.25,1191805.93,3086372.31,-83113287.18,-36623294.77,-20778321.79,-9155823.69,-188111725779459424.00,376223452299537856.00,-47027931444864856.00,94055863074884464.00,52617598.35,-24055010.61,13154399.59,-6013752.65,-0.00,0.00,-0.00,0.00
6,5959.03,15431.86,1191.81,3086.37,-103891.61,-45779.12,-20778.32,-9155.82,-235139657224324.31,470279315374422.38,-47027931444864.86,94055863074884.47,65772.00,-30068.76,13154.40,-6013.75,-0.00,0.00,-0.00,0.00
7,7.15,18.52,1.19,3.09,-124.67,-54.93,-20.78,-9.16,-282167588669.19,564335178449.31,-47027931444.86,94055863074.88,78.93,-36.08,13.15,-6.01,-0.00,-0.00,-0.00,-0.00
8,0.01,0.02,0.00,0.00,-0.15,-0.06,-0.02,-0.01,-329195520.11,658391041.52,-47027931.44,94055863.07,0.09,-0.04,0.01,-0.01,31357975658417981751296.00,81206498338563610902528.00,31357975658417981751296.00,81206498338563610902528.00
9,197047975354925.91,-150251400297483.59,197047975354925.91,-150251400297483.59,5901041629.55,546419245.37,5901041629.55,546419245.37,-376223.45,752446.90,-47027.93,94055.86,0.00,-0.00,0.00,-0.00,62715951316835966976.00,162412996677127208960.00,31357975658417983488.00,81206498338563604480.00
10,394095950709.85,-300502800594.97,197047975354.93,-150251400297.48,11802083.26,1092838.49,5901041.63,546419.25,-423.25,846.50,-47.03,94.06,0.00,-0.00,0.00,-0.00,94073926975253952.00,243619495015690816.00,31357975658417984.00,81206498338563600.00
11,591143926.06,-450754200.89,197047975.35,-150251400.30,17703.12,1639.26,5901.04,546.42,-0.47,0.94,-0.05,0.09,-3.62,7.23,-3.62,7.23,125431902633671.94,324825993354254.44,31357975658417.98,81206498338563.61
12,788191.90,-601005.60,197047.98,-150251.40,23.60,2.19,5.90,0.55,-0.00,0.00,-0.00,0.00,-0.01,0.01,-0.00,0.01,156789878292.09,406032491692.82,31357975658.42,81206498338.56
13,985.24,-751.26,197.05,-150.25,0.03,0.00,0.01,0.00,-10530712109454066494472192.00,21067457922138105792430080.00,-10530712109454066494472192.00,21067457922138105792430080.00,109278306090220945408.00,-34921178023041388544.00,109278306090220945408.00,-34921178023041388544.00,188147853.95,487238990.03,31357975.66,81206498.34
14,1.18,-0.90,0.20,-0.15,-1.04,0.82,-1.04,0.82,-21061424218908133425152.00,42134915844276215611392.00,-10530712109454066712576.00,21067457922138107805696.00,218556612180441888.00,-69842356046082776.00,109278306090220944.00,-34921178023041388.00,219505.83,568445.49,31357.98,81206.50
15,0.02,-0.01,0.01,-0.01,-1.59,1.25,-1.59,1.25,-31592136328362205184.00,63202373766414319616.00,-10530712109454067712.00,21067457922138107904.00,327834918270662.88,-104763534069124.17,109278306090220.95,-34921178023041.39,250.86,649.65,31.36,81.21
16,0.12,-0.10,0.12,-0.10,-0.08,0.06,-0.08,0.06,-42122848437816272.00,84269831688552432.00,-10530712109454068.00,21067457922138108.00,437113224360.88,-139684712092.17,109278306090.22,-34921178023.04,0.28,0.73,0.03,0.08
17,-1485448814.37,1164848633.74,-1485448814.37,1164848633.74,742.43,1358.97,742.43,1358.97,-52653560547270.34,105337289610690.55,-10530712109454.07,21067457922138.11,546391530.45,-174605890.12,109278306.09,-34921178.02,0.00,0.00,0.00,0.00
