//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=100 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,94.00,-76.00,2.00,9.00,-93.00,-47.00,-2.00,8.00,95.00,33.00,7.00,8.00,-64.00,-29.00,-10.00,-1.00,-23.00,-47.00,4.00,8.00
10,114.00,14.00,2.00,9.00,-113.00,33.00,-2.00,8.00,165.00,113.00,7.00,8.00,-164.00,-39.00,-10.00,-1.00,17.00,33.00,4.00,8.00
20,134.00,104.00,2.00,9.00,-133.00,113.00,-2.00,8.00,235.00,193.00,7.00,8.00,-264.00,-49.00,-10.00,-1.00,57.00,113.00,4.00,8.00
30,154.00,194.00,2.00,9.00,-153.00,193.00,-2.00,8.00,305.00,273.00,7.00,8.00,-364.00,-59.00,-10.00,-1.00,97.00,193.00,4.00,8.00
40,174.00,284.00,2.00,9.00,-173.00,273.00,-2.00,8.00,375.00,353.00,7.00,8.00,-464.00,-69.00,-10.00,-1.00,137.00,273.00,4.00,8.00
50,194.00,374.00,2.00,9.00,-193.00,353.00,-2.00,8.00,445.00,433.00,7.00,8.00,-564.00,-79.00,-10.00,-1.00,177.00,353.00,4.00,8.00
60,214.00,464.00,2.00,9.00,-213.00,433.00,-2.00,8.00,515.00,513.00,7.00,8.00,-664.00,-89.00,-10.00,-1.00,217.00,433.00,4.00,8.00
70,234.00,554.00,2.00,9.00,-233.00,513.00,-2.00,8.00,585.00,593.00,7.00,8.00,-764.00,-99.00,-10.00,-1.00,257.00,513.00,4.00,8.00
80,254.00,644.00,2.00,9.00,-253.00,593.00,-2.00,8.00,655.00,673.00,7.00,8.00,-864.00,-109.00,-10.00,-1.00,297.00,593.00,4.00,8.00
90,274.00,734.00,2.00,9.00,-273.00,673.00,-2.00,8.00,725.00,753.00,7.00,8.00,-964.00,-119.00,-10.00,-1.00,337.00,673.00,4.00,8.00
