//CSV contenant les positions et les vitesses de N=100 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9,x10,y10,vx10,vy10,x11,y11,vx11,vy11,x12,y12,vx12,vy12,x13,y13,vx13,vy13,x14,y14,vx14,vy14,x15,y15,vx15,vy15,x16,y16,vx16,vy16,x17,y17,vx17,vy17,x18,y18,vx18,vy18,x19,y19,vx19,vy19,x20,y20,vx20,vy20,x21,y21,vx21,vy21,x22,y22,vx22,vy22,x23,y23,vx23,vy23,x24,y24,vx24,vy24,x25,y25,vx25,vy25,x26,y26,vx26,vy26,x27,y27,vx27,vy27,x28,y28,vx28,vy28,x29,y29,vx29,vy29,x30,y30,vx30,vy30,x31,y31,vx31,vy31,x32,y32,vx32,vy32,x33,y33,vx33,vy33,x34,y34,vx34,vy34,x35,y35,vx35,vy35,x36,y36,vx36,vy36,x37,y37,vx37,vy37,x38,y38,vx38,vy38,x39,y39,vx39,vy39,x40,y40,vx40,vy40,x41,y41,vx41,vy41,x42,y42,vx42,vy42,x43,y43,vx43,vy43,x44,y44,vx44,vy44,x45,y45,vx45,vy45,x46,y46,vx46,vy46,x47,y47,vx47,vy47,x48,y48,vx48,vy48,x49,y49,vx49,vy49,x50,y50,vx50,vy50,x51,y51,vx51,vy51,x52,y52,vx52,vy52,x53,y53,vx53,vy53,x54,y54,vx54,vy54,x55,y55,vx55,vy55,x56,y56,vx56,vy56,x57,y57,vx57,vy57,x58,y58,vx58,vy58,x59,y59,vx59,vy59,x60,y60,vx60,vy60,x61,y61,vx61,vy61,x62,y62,vx62,vy62,x63,y63,vx63,vy63,x64,y64,vx64,vy64,x65,y65,vx65,vy65,x66,y66,vx66,vy66,x67,y67,vx67,vy67,x68,y68,vx68,vy68,x69,y69,vx69,vy69,x70,y70,vx70,vy70,x71,y71,vx71,vy71,x72,y72,vx72,vy72,x73,y73,vx73,vy73,x74,y74,vx74,vy74,x75,y75,vx75,vy75,x76,y76,vx76,vy76,x77,y77,vx77,vy77,x78,y78,vx78,vy78,x79,y79,vx79,vy79,x80,y80,vx80,vy80,x81,y81,vx81,vy81,x82,y82,vx82,vy82,x83,y83,vx83,vy83,x84,y84,vx84,vy84,x85,y85,vx85,vy85,x86,y86,vx86,vy86,x87,y87,vx87,vy87,x88,y88,vx88,vy88,x89,y89,vx89,vy89,x90,y90,vx90,vy90,x91,y91,vx91,vy91,x92,y92,vx92,vy92,x93,y93,vx93,vy93,x94,y94,vx94,vy94,x95,y95,vx95,vy95,x96,y96,vx96,vy96,x97,y97,vx97,vy97,x98,y98,vx98,vy98,x99,y99,vx99,vy99
0,-19.00,-92.00,2.00,-2.00,14.00,-22.00,6.00,9.00,65.00,95.00,-10.00,7.00,8.00,-71.00,6.00,-3.00,28.00,29.00,-5.00,-2.00,6.00,-41.00,0.00,-8.00,49.00,77.00,-6.00,10.00,-30.00,84.00,-2.00,6.00,42.00,20.00,-7.00,8.00,48.00,-36.00,6.00,4.00,-91.00,16.00,1.00,-1.00,-4.00,-6.00,4.00,1.00,-78.00,69.00,8.00,4.00,78.00,15.00,6.00,-4.00,-59.00,-91.00,-7.00,-7.00,43.00,53.00,7.00,3.00,-78.00,41.00,0.00,-10.00,55.00,86.00,4.00,-4.00,-48.00,-87.00,3.00,0.00,7.00,47.00,9.00,10.00,-35.00,39.00,3.00,-1.00,-97.00,-36.00,4.00,-1.00,-27.00,-8.00,0.00,-3.00,95.00,18.00,8.00,4.00,-92.00,-8.00,4.00,10.00,-23.00,-81.00,-4.00,-9.00,84.00,58.00,1.00,6.00,5.00,-2.00,5.00,-7.00,-64.00,-22.00,1.00,-8.00,42.00,-69.00,-1.00,5.00,-27.00,-9.00,10.00,-5.00,-92.00,32.00,9.00,-2.00,-77.00,-78.00,-2.00,-2.00,92.00,7.00,-1.00,-8.00,-86.00,57.00,9.00,-1.00,-46.00,-65.00,3.00,-3.00,13.00,-48.00,-1.00,-3.00,-67.00,-85.00,-10.00,-9.00,-43.00,-50.00,-4.00,10.00,83.00,-92.00,-4.00,2.00,81.00,-38.00,8.00,-7.00,19.00,37.00,-5.00,3.00,-7.00,63.00,-8.00,-3.00,99.00,92.00,4.00,-3.00,94.00,18.00,3.00,7.00,-17.00,36.00,8.00,1.00,36.00,-44.00,-1.00,-8.00,-86.00,38.00,5.00,3.00,100.00,-70.00,4.00,3.00,67.00,15.00,-7.00,8.00,-22.00,-98.00,-6.00,1.00,44.00,94.00,6.00,1.00,11.00,-47.00,-3.00,2.00,39.00,-55.00,-7.00,-1.00,1.00,90.00,-1.00,-5.00,-23.00,17.00,6.00,-2.00,-2.00,-22.00,9.00,0.00,94.00,-6.00,-4.00,-4.00,-3.00,30.00,5.00,-6.00,23.00,-66.00,6.00,-9.00,-62.00,-10.00,4.00,5.00,35.00,62.00,-9.00,-4.00,1.00,-55.00,0.00,-6.00,12.00,-89.00,2.00,-7.00,-10.00,-3.00,2.00,-10.00,91.00,-52.00,-6.00,6.00,28.00,-99.00,-10.00,2.00,86.00,-95.00,1.00,-10.00,-55.00,-38.00,4.00,4.00,74.00,2.00,10.00,7.00,-3.00,-33.00,9.00,2.00,-21.00,-96.00,5.00,-5.00,-49.00,-58.00,-7.00,-3.00,-60.00,6.00,-8.00,-3.00,-43.00,-43.00,7.00,-3.00,-38.00,4.00,-2.00,-4.00,67.00,-33.00,8.00,-10.00,19.00,4.00,8.00,6.00,22.00,16.00,-3.00,5.00,-29.00,94.00,8.00,10.00,-64.00,71.00,-6.00,-5.00,-74.00,-56.00,0.00,-2.00,1.00,14.00,5.00,8.00,-82.00,-59.00,-9.00,8.00,-42.00,60.00,8.00,6.00,-87.00,39.00,1.00,5.00,-45.00,69.00,-3.00,-3.00,62.00,54.00,-6.00,9.00,24.00,-88.00,-6.00,-1.00,-44.00,19.00,5.00,7.00,84.00,-92.00,4.00,-2.00,-51.00,92.00,-5.00,0.00,51.00,-40.00,-5.00,-6.00,100.00,79.00,9.00,9.00,47.00,35.00,-7.00,-7.00,-62.00,78.00,-8.00,3.00,40.00,81.00,10.00,-5.00,-1.00,96.00,-8.00,4.00,-97.00,-27.00,-9.00,-2.00,-85.00,-31.00,8.00,10.00
1,-0.02,-0.09,0.00,-0.00,0.02,-0.01,0.01,0.01,0.06,0.10,-0.01,0.01,0.01,-0.07,0.01,-0.00,0.02,0.03,-0.00,-0.00,0.01,-0.05,-0.00,-0.01,0.04,0.09,-0.01,0.01,-0.03,0.09,-0.00,0.01,0.03,0.03,-0.01,0.01,0.05,-0.03,0.01,0.00,-0.09,0.01,0.00,-0.00,-0.00,-0.01,0.00,0.00,-0.07,0.07,0.01,0.00,0.08,0.01,0.01,-0.00,-0.07,-0.10,-0.01,-0.01,0.05,0.06,0.01,0.00,-0.08,0.03,0.00,-0.01,0.06,0.08,0.00,-0.00,-0.04,-0.09,0.00,-0.00,0.02,0.06,0.01,0.01,-0.03,0.04,0.00,-0.00,-0.09,-0.04,0.00,-0.00,-0.03,-24.01,-0.00,-24.00,-23.90,0.02,-23.99,0.00,-0.09,0.00,0.00,0.01,-0.03,-0.09,-0.00,-0.01,0.09,0.06,0.00,0.01,0.01,-0.01,0.01,-0.01,-0.06,-0.03,0.00,-0.01,0.04,-0.06,-0.00,0.00,-0.02,-0.01,0.01,-0.01,-0.08,0.03,0.01,-0.00,-0.08,-0.08,-0.00,-0.00,0.09,-0.00,-0.00,-0.01,-0.08,0.06,0.01,-0.00,-0.04,-0.07,0.00,-0.00,0.09,-0.09,0.07,-0.04,-0.08,-0.09,-0.01,-0.01,-0.05,-0.04,-0.00,0.01,24.08,-0.09,24.00,0.00,0.09,-0.05,0.01,-0.01,0.01,0.04,-0.00,0.00,-0.01,0.06,-0.01,-0.00,0.10,0.09,0.00,-0.00,0.10,0.03,0.00,0.01,-0.01,0.04,0.01,0.00,0.03,-0.05,-0.00,-0.01,1.04,-1.08,1.13,-1.12,0.10,-0.07,0.00,0.00,0.06,0.02,-0.01,0.01,-0.07,-0.17,-0.04,-0.07,0.05,0.10,0.01,0.00,0.01,-0.04,-0.00,0.00,0.03,-0.06,-0.01,-0.00,0.00,0.08,-0.00,-0.01,-0.02,0.02,0.01,-0.00,-0.00,-0.01,-0.00,0.01,0.09,-0.01,-0.00,-0.00,0.00,0.02,0.00,-0.01,0.03,-0.07,0.01,-0.01,-0.06,-0.01,0.00,0.00,0.03,0.06,-0.01,-0.00,0.00,-0.06,0.00,-0.01,0.01,-0.10,0.00,-0.01,-0.01,-0.01,0.00,-0.01,0.09,-0.05,-0.01,0.01,0.02,-0.10,-0.01,0.00,0.09,-0.11,0.00,-0.01,-0.05,-0.03,0.00,0.00,0.08,0.01,0.01,0.01,0.01,-0.03,0.01,0.00,-0.02,-0.10,0.00,-0.01,-0.06,-0.06,-0.01,-0.00,-0.07,0.00,-0.01,-0.00,-0.04,-0.05,0.01,-0.00,-0.04,-0.00,-0.00,-0.00,0.08,-0.04,0.01,-0.01,0.03,0.01,0.01,0.01,0.02,0.02,-0.00,0.01,-0.02,0.10,0.01,0.01,-0.07,0.07,-0.01,-0.01,-0.07,-0.06,0.00,-0.00,0.01,0.02,0.01,0.01,-0.09,-0.05,-0.01,0.01,-0.03,0.07,0.01,0.01,-0.09,0.04,0.00,0.00,-0.05,0.07,-0.00,-0.00,0.06,0.06,-0.01,0.01,0.02,-0.09,-0.01,-0.00,-0.04,0.03,0.00,0.01,0.09,-0.09,0.00,-0.00,-0.06,0.09,-0.00,0.00,0.05,-0.05,-0.00,-0.01,0.11,0.09,0.01,0.01,0.04,0.03,-0.01,-0.01,-0.07,0.08,-0.01,0.00,0.05,0.08,0.01,-0.00,-0.01,0.10,-0.01,0.00,-0.11,-0.03,-0.01,-0.00,-0.08,-0.02,0.01,0.01
2,11986570936453498751548391424.00,-151233677577870549986112962560.00,11986570936453498751548391424.00,-151233677577870549986112962560.00,-2084756452959198340983231086592.00,831812734423120357363189547008.00,-2084756452959198340983231086592.00,831812734423120357363189547008.00,-19750769820697682421156413440.00,-27650451040151317605070667776.00,-19750769820697682421156413440.00,-27650451040151317605070667776.00,26768083400948569471975424.00,-15809634363622172557049856.00,26768083400948569471975424.00,-15809634363622172557049856.00,-186399912437325028606517182464.00,-280148240801004664547992141824.00,-186399912437325028606517182464.00,-280148240801004664547992141824.00,76769481708159275577419365351424.00,152307832965917919986864183312384.00,76769481708159275577419365351424.00,152307832965917919986864183312384.00,1513970306941440990759616512.00,1500154878275052680417116160.00,1513970306941440990759616512.00,1500154878275052680417116160.00,1609143639234719560761344.00,2045914876013347979919360.00,1609143639234719560761344.00,2045914876013347979919360.00,39319946693812520100695147282432.00,699146137203978561856208896.00,39319946693812520100695147282432.00,699146137203978561856208896.00,-4151375825871901252648960.00,-7678087058480167768817664.00,-4151375825871901252648960.00,-7678087058480167768817664.00,24007429227646719851757568.00,-127826499206878376396587008.00,24007429227646719851757568.00,-127826499206878376396587008.00,-670197906431711594026526310400.00,-653053638026053715618642788352.00,-670197906431711594026526310400.00,-653053638026053715618642788352.00,-404359483259445496340545536.00,-388809824868687144973471055872.00,-404359483259445496340545536.00,-388809824868687144973471055872.00,-3241813438195921476655125693988864.00,-5848471523237517830117263004955312128.00,-3241813438195921476655125693988864.00,-5848471523237517830117263004955312128.00,-581808924736803128993644544.00,211775843580740460122996736.00,-581808924736803128993644544.00,211775843580740460122996736.00,8981902086044961187198664704.00,10480928909843093287029702656.00,8981902086044961187198664704.00,10480928909843093287029702656.00,-28187799167599183198192771530752.00,-5695661851932718962620690857984.00,-28187799167599183198192771530752.00,-5695661851932718962620690857984.00,-1446324362101156771167993856.00,-950086071804362438668713984.00,-1446324362101156771167993856.00,-950086071804362438668713984.00,2012786044020844203606016.00,755334826954246324224000.00,2012786044020844203606016.00,755334826954246324224000.00,4476278596390097463663394816.00,443231950520481726255333376.00,4476278596390097463663394816.00,443231950520481726255333376.00,-33581989347611830833381376.00,-57744072833167395947282432.00,-33581989347611830833381376.00,-57744072833167395947282432.00,-9065411436175707930099712.00,-42385351580214155450253312.00,-9065411436175707930099712.00,-42385351580214155450253312.00,-0.00,-0.05,-0.00,-0.02,-0.05,0.00,-0.02,0.00,589672068910227564527616.00,11471740506156264587264.00,589672068910227564527616.00,11471740506156264587264.00,10854712474521752200806400.00,-10852319734234448352247808.00,10854712474521752200806400.00,-10852319734234448352247808.00,-3146898459633171562496.00,2008724446304096485376.00,-3146898459633171562496.00,2008724446304096485376.00,-1230702802464896406519808.00,-94624314395825646075904.00,-1230702802464896406519808.00,-94624314395825646075904.00,210365735519085924534190080.00,-68732787690661068264177664.00,210365735519085924534190080.00,-68732787690661068264177664.00,-373381059719824014059765760.00,374483991253577818825555968.00,-373381059719824014059765760.00,374483991253577818825555968.00,20329299868358346900036911104.00,2264231510577614985243918336.00,20329299868358346900036911104.00,2264231510577614985243918336.00,-9350039350150180789813248.00,43835633845068393187639296.00,-9350039350150180789813248.00,43835633845068393187639296.00,7528085128026454709239808.00,-52358800665359140201168896.00,7528085128026454709239808.00,-52358800665359140201168896.00,-2133233632459617801997385728.00,-17053771188328533962067542016.00,-2133233632459617801997385728.00,-17053771188328533962067542016.00,196133017326350847833014272.00,281227675907180808311406592.00,196133017326350847833014272.00,281227675907180808311406592.00,-26337166172050020617945088.00,14311367874143487199805440.00,-26337166172050020617945088.00,14311367874143487199805440.00,1785744124638276906658088091648.00,-21726120483014450330847835848704.00,1785744124638276906658088091648.00,-21726120483014450330847835848704.00,69792513934460813312.00,362797568501560836096.00,69792513934460813312.00,362797568501560836096.00,-178173918859565879816443920384.00,268578901305916634551629643776.00,-178173918859565879816443920384.00,268578901305916634551629643776.00,0.05,-0.00,0.02,0.00,-467752485581317681571904406683648.00,-116934156653550923989044487520256.00,-467752485581317681571904406683648.00,-116934156653550923989044487520256.00,-419454920933449190604800.00,-1681209746559012345741312.00,-419454920933449190604800.00,-1681209746559012345741312.00,-570226785590714447167488.00,129253935348694462234624.00,-570226785590714447167488.00,129253935348694462234624.00,3033142366232737744694433284096.00,-505710160170309549724172025856.00,3033142366232737744694433284096.00,-505710160170309549724172025856.00,-249406583535355220197376.00,-306963946401040055664640.00,-249406583535355220197376.00,-306963946401040055664640.00,3228899434250226569838592.00,-3883353904368336081256448.00,3228899434250226569838592.00,-3883353904368336081256448.00,-23556270741711251232193305903104.00,-31419380247225019666310052708352.00,-23556270741711251232193305903104.00,-31419380247225019666310052708352.00,45.17,-46.54,45.17,-46.53,-5257830102708797833216.00,3359844325785441140736.00,-5257830102708797833216.00,3359844325785441140736.00,-385598434290815612223488.00,74336239032546342469632.00,-385598434290815612223488.00,74336239032546342469632.00,1859772187876237.00,2815306038368416.00,1859772187876237.00,2815306038368416.00,172570664845738803200.00,-1142247763322246248005632.00,172570664845738803200.00,-1142247763322246248005632.00,-33176352344062367926050619392.00,-12406422916623088050543525888.00,-33176352344062367926050619392.00,-12406422916623088050543525888.00,3220922334071805718822912.00,1450135761265379082502144.00,3220922334071805718822912.00,1450135761265379082502144.00,-1649903688449966882160640.00,2750772550813791499059200.00,-1649903688449966882160640.00,2750772550813791499059200.00,288896304337721504038912.00,147617780442102413393920.00,288896304337721504038912.00,147617780442102413393920.00,-110687789159535106760571623571456.00,-108201563526747329352080553934848.00,-110687789159535106760571623571456.00,-108201563526747329352080553934848.00,-185460386335751340556288.00,586283873970996698415104.00,-185460386335751340556288.00,586283873970996698415104.00,153180780829651045857921960247296.00,-75902843906579053881202978062336.00,153180780829651045857921960247296.00,-75902843906579053881202978062336.00,-1672843573512897015316480.00,-2140559215239746021228544.00,-1672843573512897015316480.00,-2140559215239746021228544.00,737638201191529652391247872.00,561488343919690471868203008.00,737638201191529652391247872.00,561488343919690471868203008.00,5193432091432368209920.00,1259559095047048396800.00,5193432091432368209920.00,1259559095047048396800.00,-12171611669051868721446912.00,153913462384828742094553088.00,-12171611669051868721446912.00,153913462384828742094553088.00,466325137180076811781132479627264.00,-116558157044975555995683197550592.00,466325137180076811781132479627264.00,-116558157044975555995683197550592.00,63847436081849295699968.00,-81749810224598968434688.00,63847436081849295699968.00,-81749810224598968434688.00,-2625880144639665236298694656.00,787772635380974072390221824.00,-2625880144639665236298694656.00,787772635380974072390221824.00,-2971043987591261002399744.00,87205236449419817185043283968.00,-2971043987591261002399744.00,87205236449419817185043283968.00,-4703785099270645757247488.00,93639009185141887929942016.00,-4703785099270645757247488.00,93639009185141887929942016.00,766510534940624378920960.00,-625202563547280133062656.00,766510534940624378920960.00,-625202563547280133062656.00,-194860357390958362624.00,-46323062904249999360.00,-194860357390958362624.00,-46323062904249999360.00,-744144958720568406835200.00,-2100765200649875907149824.00,-744144958720568406835200.00,-2100765200649875907149824.00,259632709471475204096.00,93863335882602446848.00,259632709471475204096.00,93863335882602446848.00,-1885770775922984448163840.00,338354983090970867793920.00,-1885770775922984448163840.00,338354983090970867793920.00,467538407677250414575616.00,-91719104309631115067392.00,467538407677250414575616.00,-91719104309631115067392.00,196616152141930594304.00,-16486128945597992960.00,196616152141930594304.00,-16486128945597992960.00,-104648489644939900862892867584.00,345347744808358332191473664.00,-104648489644939900862892867584.00,345347744808358332191473664.00,-4343416933353542123520.00,-448309669739082809344.00,-4343416933353542123520.00,-448309669739082809344.00,-53885132283971214862450688.00,74495154572025697342062592.00,-53885132283971214862450688.00,74495154572025697342062592.00,-151868285444403692832817152.00,11946114559556430491287552.00,-151868285444403692832817152.00,11946114559556430491287552.00,214578133878104812989448192.00,-71526343155067095460347904.00,214578133878104812989448192.00,-71526343155067095460347904.00,174599044853196296028160.00,24207505791576326881148928.00,174599044853196296028160.00,24207505791576326881148928.00,-1613269237415687772700672.00,663974662233301144567808.00,-1613269237415687772700672.00,663974662233301144567808.00,469502514747687108608.00,82104031452086304768.00,469502514747687108608.00,82104031452086304768.00,-7639690156403653083136.00,12481640763245669122048.00,-7639690156403653083136.00,12481640763245669122048.00,-60415158583328349425238016.00,14584156410190472675328.00,-60415158583328349425238016.00,14584156410190472675328.00,48244760829495156736.00,68849768984159928320.00,48244760829495156736.00,68849768984159928320.00,-14872368220959800295424.00,18215932080583962787840.00,-14872368220959800295424.00,18215932080583962787840.00,-18928561813666100261421056.00,41011637623858392754814976.00,-18928561813666100261421056.00,41011637623858392754814976.00,-5067839615945298944.00,17464705136091848704.00,-5067839615945298944.00,17464705136091848704.00,-3089494591412395048960.00,-9026345831383187849216.00,-3089494591412395048960.00,-9026345831383187849216.00,-109966904765317632.00,125569610853760688.00,-109966904765317632.00,125569610853760688.00,-2089006144315385830178816.00,-1641368303110502423199744.00,-2089006144315385830178816.00,-1641368303110502423199744.00,-10854677273785819136.00,11269476311773534208.00,-10854677273785819136.00,11269476311773534208.00,-345624162566515968.00,-71192321413672800.00,-345624162566515968.00,-71192321413672800.00,1170403361413028904960.00,-4062905072133165547520.00,1170403361413028904960.00,-4062905072133165547520.00,156279805760602176.00,43348899170804912.00,156279805760602176.00,43348899170804912.00,-157002590466109440.00,46969641755802280.00,-157002590466109440.00,46969641755802280.00,-35869458288189.25,-255266303389362.53,-35869458288189.25,-255266303389362.53,2799279248242292293632.00,772215240613335662592.00,2799279248242292293632.00,772215240613335662592.00,235672567568794714112.00,170214741722606370816.00,235672567568794714112.00,170214741722606370816.00
