//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,62.00,-73.00,5.00,-9.00,77.00,-5.00,-3.00,10.00,-72.00,11.00,8.00,10.00,76.00,-34.00,0.00,6.00,-60.00,10.00,-10.00,1.00
10,112.00,-163.00,5.00,-9.00,47.00,95.00,-3.00,10.00,8.00,111.00,8.00,10.00,76.00,26.00,0.00,6.00,-160.00,20.00,-10.00,1.00
20,162.00,-253.00,5.00,-9.00,17.00,195.00,-3.00,10.00,88.00,211.00,8.00,10.00,76.00,86.00,0.00,6.00,-260.00,30.00,-10.00,1.00
30,212.00,-343.00,5.00,-9.00,-13.00,295.00,-3.00,10.00,168.00,311.00,8.00,10.00,76.00,146.00,0.00,6.00,-360.00,40.00,-10.00,1.00
40,262.00,-433.00,5.00,-9.00,-43.00,395.00,-3.00,10.00,248.00,411.00,8.00,10.00,76.00,206.00,0.00,6.00,-460.00,50.00,-10.00,1.00
50,312.00,-523.00,5.00,-9.00,-73.00,495.00,-3.00,10.00,328.00,511.00,8.00,10.00,76.00,266.00,0.00,6.00,-560.00,60.00,-10.00,1.00
60,362.00,-613.00,5.00,-9.00,-103.00,595.00,-3.00,10.00,408.00,611.00,8.00,10.00,76.00,326.00,0.00,6.00,-660.00,70.00,-10.00,1.00
70,412.00,-703.00,5.00,-9.00,-133.00,695.00,-3.00,10.00,488.00,711.00,8.00,10.00,76.00,386.00,0.00,6.00,-760.00,80.00,-10.00,1.00
80,462.00,-793.00,5.00,-9.00,-163.00,795.00,-3.00,10.00,568.00,811.00,8.00,10.00,76.00,446.00,0.00,6.00,-860.00,90.00,-10.00,1.00
90,512.00,-883.00,5.00,-9.00,-193.00,895.00,-3.00,10.00,648.00,911.00,8.00,10.00,76.00,506.00,0.00,6.00,-960.00,100.00,-10.00,1.00
100,562.00,-973.00,5.00,-9.00,-223.00,995.00,-3.00,10.00,728.00,1011.00,8.00,10.00,76.00,566.00,0.00,6.00,-1060.00,110.00,-10.00,1.00
110,612.00,-1063.00,5.00,-9.00,-253.00,1095.00,-3.00,10.00,808.00,1111.00,8.00,10.00,76.00,626.00,0.00,6.00,-1160.00,120.00,-10.00,1.00
120,662.00,-1153.00,5.00,-9.00,-283.00,1195.00,-3.00,10.00,888.00,1211.00,8.00,10.00,76.00,686.00,0.00,6.00,-1260.00,130.00,-10.00,1.00
130,712.00,-1243.00,5.00,-9.00,-313.00,1295.00,-3.00,10.00,968.00,1311.00,8.00,10.00,76.00,746.00,0.00,6.00,-1360.00,140.00,-10.00,1.00
140,762.00,-1333.00,5.00,-9.00,-343.00,1395.00,-3.00,10.00,1048.00,1411.00,8.00,10.00,76.00,806.00,0.00,6.00,-1460.00,150.00,-10.00,1.00
150,812.00,-1423.00,5.00,-9.00,-373.00,1495.00,-3.00,10.00,1128.00,1511.01,8.00,10.00,76.00,866.00,0.00,6.00,-1560.00,160.00,-10.00,1.00
160,862.00,-1513.00,5.00,-9.00,-403.00,1595.00,-3.00,10.00,1208.00,1611.01,8.00,10.00,76.00,926.00,0.00,6.00,-1660.00,170.00,-10.00,1.00
170,912.00,-1603.00,5.00,-9.00,-433.00,1695.00,-3.00,10.00,1288.00,1711.01,8.00,10.00,76.00,986.00,0.00,6.00,-1760.00,180.00,-10.00,1.00
180,962.00,-1693.00,5.00,-9.00,-463.00,1795.00,-3.00,10.00,1368.00,1811.01,8.00,10.00,76.00,1046.00,0.00,6.00,-1860.00,190.00,-10.00,1.00
190,1012.00,-1783.00,5.00,-9.00,-493.00,1895.00,-3.00,10.00,1448.00,1911.01,8.00,10.00,76.00,1106.00,0.00,6.00,-1960.00,200.00,-10.00,1.00
200,1062.00,-1873.00,5.00,-9.00,-523.00,1995.00,-3.00,10.00,1528.00,2011.01,8.00,10.00,76.00,1166.00,0.00,6.00,-2060.00,210.00,-10.00,1.00
210,1112.00,-1963.00,5.00,-9.00,-553.00,2095.00,-3.00,10.00,1608.00,2111.01,8.00,10.00,76.00,1226.00,0.00,6.00,-2160.00,220.00,-10.00,1.00
220,1162.00,-2053.00,5.00,-9.00,-583.00,2195.00,-3.00,10.00,1688.00,2211.01,8.00,10.00,76.00,1286.00,0.00,6.00,-2260.00,230.00,-10.00,1.00
230,1212.00,-2143.00,5.00,-9.00,-613.00,2295.00,-3.00,10.00,1768.00,2311.01,8.00,10.00,76.00,1346.00,0.00,6.00,-2360.00,240.00,-10.00,1.00
240,1262.00,-2233.00,5.00,-9.00,-643.00,2395.00,-3.00,10.00,1848.00,2411.01,8.00,10.00,76.00,1406.00,0.00,6.00,-2460.00,250.00,-10.00,1.00
