//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,-40.00,-85.00,0.00,0.00,-18.00,74.00,0.00,0.00,-25.00,-7.00,0.00,0.00,-26.00,-56.00,0.00,0.00,58.00,13.00,0.00,0.00
1,-0.04,-0.09,-0.00,-0.00,-0.02,0.07,-0.00,0.00,-0.03,-0.01,-0.00,-0.00,-0.03,-0.06,-0.00,-0.00,0.06,0.01,0.00,0.00
2,521097964643995615232.00,1079422869784721358848.00,521097964643995615232.00,1079422869784721358848.00,-86847695551594.69,-7487700939723405.00,-86847695551594.69,-7487700939723405.00,-100402053660716000.00,-5097434749726468096.00,-100402053660716000.00,-5097434749726468096.00,125305321104368.31,102929370893113.72,125305321104368.31,102929370893113.72,0.00,0.00,0.00,0.00
3,1042195929287991296.00,2158845739569442816.00,521097964643995648.00,1079422869784721408.00,-173695391103.19,-14975401879446.81,-86847695551.59,-7487700939723.41,-200804107321432.00,-10194869499452936.00,-100402053660716.00,-5097434749726468.00,250610642208.74,205858741786.23,125305321104.37,102929370893.11,0.00,0.00,0.00,0.00
4,1563293893931987.00,3238268609354164.00,521097964643995.69,1079422869784721.38,-260543086.65,-22463102819.17,-86847695.55,-7487700939.72,-301206160982.15,-15292304249179.40,-100402053660.72,-5097434749726.47,375915963.31,308788112.68,125305321.10,102929370.89,0.00,0.00,0.00,0.00
5,2084391858575.98,4317691479138.89,521097964644.00,1079422869784.72,-347390.78,-29950803.76,-86847.70,-7487700.94,-401608214.64,-20389738998.91,-100402053.66,-5097434749.73,501221.28,411717.48,125305.32,102929.37,0.00,0.00,0.00,0.00
6,2605489823.22,5397114348.92,521097964.64,1079422869.78,-434.24,-37438.50,-86.85,-7487.70,-502010.27,-25487173.75,-100402.05,-5097434.75,626.53,514.65,125.31,102.93,0.00,0.00,-0.00,-0.00
7,3126587.79,6476537.22,521097.96,1079422.87,-0.52,-44.93,-0.09,-7.49,-602.41,-30584.61,-100.40,-5097.43,0.75,0.62,0.13,0.10,30.50,25.05,30.50,25.05
8,3647.69,7555.96,521.10,1079.42,-0.00,-0.05,-0.00,-0.01,-0.70,-35.68,-0.10,-5.10,-15.52,-13.82,-15.52,-13.82,0.06,0.05,0.03,0.03
9,4.17,8.64,0.52,1.08,24101144156055.75,40105293882398.46,24101144156055.75,40105293882398.46,-0.00,-0.04,-0.00,-0.01,-0.03,-0.03,-0.02,-0.01,-111513818959962.08,-143630348012420.91,-111513818959962.08,-143630348012420.91
10,0.00,0.01,0.00,0.00,48202288312.11,80210587764.80,24101144156.06,40105293882.40,-809629205868524339200.00,355244211392784891904.00,-809629205868524339200.00,355244211392784891904.00,1762228863719715840.00,1842462448340663552.00,1762228863719715840.00,1842462448340663552.00,-223027637919.92,-287260696024.84,-111513818959.96,-143630348012.42
11,0.00,0.00,0.00,0.00,72303432.47,120315881.65,24101144.16,40105293.88,-1619258411737048832.00,710488422785569792.00,-809629205868524416.00,355244211392784896.00,3524457727439432.00,3684924896681327.00,1762228863719716.00,1842462448340663.50,-334541456.88,-430891044.04,-111513818.96,-143630348.01
12,0.00,0.00,0.00,0.00,96404.58,160421.18,24101.14,40105.29,-2428887617605573.00,1065732634178354.62,-809629205868524.38,355244211392784.88,5286686591159.15,5527387345021.99,1762228863719.72,1842462448340.66,-446055.28,-574521.39,-111513.82,-143630.35
13,0.00,0.00,0.00,0.00,120.51,200.53,24.10,40.11,-3238516823474.10,1420976845571.14,-809629205868.52,355244211392.78,7048915454.88,7369849793.36,1762228863.72,1842462448.34,-557.57,-718.15,-111.51,-143.63
14,0.00,0.00,0.00,0.00,0.14,0.24,0.02,0.04,-4048146029.34,1776221056.96,-809629205.87,355244211.39,8811144.32,9212312.24,1762228.86,1842462.45,-0.67,-0.86,-0.11,-0.14
