//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,-27.00,-50.00,10.00,5.00,-4.00,-78.00,7.00,-2.00,65.00,-100.00,1.00,2.00,87.00,-12.00,-1.00,-9.00,67.00,-8.00,7.00,4.00
10,73.00,0.00,10.00,5.00,66.00,-98.00,7.00,-2.00,75.00,-80.00,1.00,2.00,77.00,-102.00,-1.00,-9.00,137.00,32.00,7.00,4.00
20,173.00,50.00,10.00,5.00,136.00,-118.00,7.00,-2.00,85.00,-60.00,1.00,2.00,67.01,-192.00,-1.00,-9.00,207.00,72.00,7.00,4.00
30,273.00,100.00,10.00,5.00,206.00,-138.00,7.00,-2.00,95.00,-40.00,1.00,2.00,57.02,-282.01,-1.00,-9.00,277.00,112.00,7.00,4.00
40,373.00,150.00,10.00,5.00,276.00,-158.00,7.00,-2.00,105.00,-20.00,1.00,2.00,47.02,-372.01,-1.00,-9.00,347.00,152.00,7.00,4.00
50,473.00,200.00,10.00,5.00,346.00,-178.00,7.00,-2.00,115.00,0.00,1.00,2.00,37.03,-462.01,-1.00,-9.00,417.00,192.00,7.00,4.00
60,573.00,250.00,10.00,5.00,416.00,-198.00,7.00,-2.00,125.00,20.00,1.00,2.00,27.04,-552.02,-1.00,-9.00,487.00,232.00,7.00,4.00
70,673.00,300.00,10.00,5.00,486.00,-218.00,7.00,-2.00,134.99,40.00,1.00,2.00,17.05,-642.02,-1.00,-9.00,557.00,272.00,7.00,4.00
80,773.00,350.00,10.00,5.00,556.00,-238.00,7.00,-2.00,144.99,60.00,1.00,2.00,7.05,-732.03,-1.00,-9.00,627.00,312.00,7.00,4.00
90,873.00,400.00,10.00,5.00,626.00,-258.00,7.00,-2.00,154.99,80.00,1.00,2.00,-2.94,-822.03,-1.00,-9.00,697.00,352.00,7.00,4.00
100,973.00,450.00,10.00,5.00,696.00,-278.00,7.00,-2.00,164.99,100.00,1.00,2.00,-12.93,-912.03,-1.00,-9.00,767.00,392.00,7.00,4.00
110,1073.00,500.00,10.00,5.00,766.00,-298.00,7.00,-2.00,174.99,120.00,1.00,2.00,-22.92,-1002.04,-1.00,-9.00,837.00,432.00,7.00,4.00
120,1173.00,550.00,10.00,5.00,836.00,-318.00,7.00,-2.00,184.99,140.00,1.00,2.00,-32.92,-1092.04,-1.00,-9.00,907.00,472.00,7.00,4.00
130,1273.00,600.00,10.00,5.00,906.00,-338.00,7.00,-2.00,194.99,160.00,1.00,2.00,-42.91,-1182.04,-1.00,-9.00,977.00,512.00,7.00,4.00
140,1373.00,650.00,10.00,5.00,976.00,-358.00,7.00,-2.00,204.99,180.00,1.00,2.00,-52.90,-1272.05,-1.00,-9.00,1047.00,552.00,7.00,4.00
150,1473.00,700.00,10.00,5.00,1046.00,-378.00,7.00,-2.00,214.99,200.00,1.00,2.00,-62.89,-1362.05,-1.00,-9.00,1117.00,592.00,7.00,4.00
160,1573.00,750.00,10.00,5.00,1116.00,-398.00,7.00,-2.00,224.99,220.00,1.00,2.00,-72.88,-1452.06,-1.00,-9.00,1187.00,632.00,7.00,4.00
170,1673.00,800.00,10.00,5.00,1186.00,-418.00,7.00,-2.00,234.99,240.00,1.00,2.00,-82.88,-1542.06,-1.00,-9.00,1257.00,672.00,7.00,4.00
180,1773.00,850.00,10.00,5.00,1256.00,-438.00,7.00,-2.00,244.99,260.00,1.00,2.00,-92.87,-1632.06,-1.00,-9.00,1327.00,712.00,7.00,4.00
