//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
23,-2755296950582185984.00,-235827111983319646208.00,-2755296950582185984.00,-235827111983319646208.00,730173885495755747467722752.00,1061807303575030424330567680.00,365086942747877873733861376.00,530903651787515212165283840.00,-10673.18,10917.51,-1067.32,1091.75,0.00,-0.00,0.00,-0.00,-1941102771698644287488.00,1695392132564839038976.00,-485275692924661071872.00,423848033141209759744.00
24,-5510593901164372.00,-471654223966639296.00,-2755296950582186.00,-235827111983319648.00,1095260828243633597579264.00,1592710955362545657970688.00,365086942747877888229376.00,530903651787515241693184.00,-11.74,12.01,-1.07,1.09,0.00,-0.00,0.00,-0.00,-2426378464623305216.00,2119240165706049024.00,-485275692924661056.00,423848033141209792.00
25,-8265890851746.56,-707481335949959.00,-2755296950582.19,-235827111983319.66,1460347770991511601152.00,2123614607150060929024.00,365086942747877900288.00,530903651787515232256.00,-0.01,0.01,-0.00,0.00,-1280024737790757689098240.00,1309330084715088698146816.00,-1280024737790757689098240.00,1309330084715088698146816.00,-2911654157547966.50,2543088198847259.00,-485275692924661.06,423848033141209.81
26,-11021187802.33,-943308447933.28,-2755296950.58,-235827111983.32,1825434713739389440.00,2654518258937576448.00,365086942747877888.00,530903651787515264.00,-0.00,0.00,-0.00,0.00,-2560049475581515399168.00,2618660169430177677312.00,-1280024737790757699584.00,1309330084715088838656.00,-3396929850472.63,2966936231988.47,-485275692924.66,423848033141.21
27,-13776484.75,-1179135559.92,-2755296.95,-235827111.98,2190521656487267.50,3185421910725092.00,365086942747877.88,530903651787515.25,-0.00,0.00,-0.00,0.00,-3840074213372272640.00,3927990254145266688.00,-1280024737790757632.00,1309330084715088896.00,-3882205543.40,3390784265.13,-485275692.92,423848033.14
28,-16531.78,-1414962.67,-2755.30,-235827.11,2555608599235.15,3716325562512.61,365086942747.88,530903651787.52,-0.00,0.00,-0.00,0.00,-5120098951163030.00,5237320338860356.00,-1280024737790757.75,1309330084715089.00,-4367481.24,3814632.30,-485275.69,423848.03
29,-19.29,-1650.79,-2.76,-235.83,2920695541.98,4247229214.30,365086942.75,530903651.79,-0.00,0.00,-0.00,0.00,-6400123688953.79,6546650423575.45,-1280024737790.76,1309330084715.09,-4852.76,4238.48,-485.28,423.85
30,-0.02,-1.89,-0.00,-0.24,3285782.48,4778132.87,365086.94,530903.65,0.00,0.27,0.00,0.27,-7680148426.74,7855980508.29,-1280024737.79,1309330084.72,-5.34,4.66,-0.49,0.42
31,-0.00,-0.11,-0.00,-0.11,3650.87,5309.04,365.09,530.90,-161488.55,-13837613.82,-161488.55,-13837613.82,-8960173.16,9165310.59,-1280024.74,1309330.08,-0.01,0.01,-0.00,0.00
32,-2782523527593.09,70739563590449.00,-2782523527593.09,70739563590449.00,4.02,5.84,0.37,0.53,-322.98,-27675.23,-161.49,-13837.61,-10240.20,10474.64,-1280.02,1309.33,-0.00,-0.00,-0.00,-0.00
33,-5565047055.19,141479127180.90,-2782523527.59,70739563590.45,0.00,0.01,0.00,0.00,-0.48,-41.51,-0.16,-13.84,-11.52,11.78,-1.28,1.31,70689076921149138542914437120.00,102557759166766219479838883840.00,70689076921149138542914437120.00,102557759166766219479838883840.00
34,-8347570.58,212218690.77,-2782523.53,70739563.59,0.00,0.00,0.00,0.00,-0.00,-0.06,-0.00,-0.01,-0.01,0.01,-0.00,0.00,141378153842298288080945152.00,205115518333532447206014976.00,70689076921149144040472576.00,102557759166766223603007488.00
35,-11130.09,282958.25,-2782.52,70739.56,-1291913075087408176824320.00,1320295865590913412628480.00,-1291913075087408176824320.00,1320295865590913412628480.00,-9482063047084248.00,53395422051254392.00,-9482063047084248.00,53395422051254392.00,-0.00,0.00,-0.00,0.00,212067230763447448764416.00,307673277500298685841408.00,70689076921149146791936.00,102557759166766217428992.00
36,-13.91,353.70,-2.78,70.74,-2583826150174816206848.00,2640591731181826867200.00,-1291913075087408103424.00,1320295865590913433600.00,-18964126094168.50,106790844102508.78,-9482063047084.25,53395422051254.39,-0.00,0.00,-0.00,0.00,282756307684596580352.00,410231036667064877056.00,70689076921149145088.00,102557759166766219264.00
37,-0.02,0.42,-0.00,0.07,-3875739225262224384.00,3960887596772740608.00,-1291913075087408128.00,1320295865590913536.00,-28446189141.25,160186266153.76,-9482063047.08,53395422051.25,-128369.87,3263525.44,-128369.87,3263525.44,353445384605745728.00,512788795833831104.00,70689076921149144.00,102557759166766224.00
38,-0.00,0.00,-0.00,0.00,-5167652300349633.00,5281183462363654.00,-1291913075087408.25,1320295865590913.50,-37928252.19,213581688.21,-9482063.05,53395422.05,-256.74,6527.05,-128.37,3263.53,424134461526894.88,615346555000597.38,70689076921149.14,102557759166766.22
39,-0.00,0.00,-0.00,0.00,-6459565375437.04,6601479327954.57,-1291913075087.41,1320295865590.91,-47410.32,266977.11,-9482.06,53395.42,-0.39,9.79,-0.13,3.26,494823538448.04,717904314167.36,70689076921.15,102557759166.77
40,0.00,-0.00,0.00,-0.00,-7751478450.52,7921775193.55,-1291913075.09,1320295865.59,-56.89,320.37,-9.48,53.40,-0.00,0.01,-0.00,0.00,565512615.37,820462073.33,70689076.92,102557759.17
41,-5810513719656341800222720.00,147719709698743409118806016.00,-5810513719656341800222720.00,147719709698743409118806016.00,-9043391.53,9242071.06,-1291913.08,1320295.87,-0.07,0.37,-0.01,0.05,-3975682.53,21774281.65,-3975682.53,21774281.65,636201.69,923019.83,70689.08,102557.76
42,-11621027439312684187648.00,295439419397486812332032.00,-5810513719656342093824.00,147719709698743406166016.00,-10335.30,10562.37,-1291.91,1320.30,-0.00,0.00,-0.00,0.00,-7951.37,43548.56,-3975.68,21774.28,706.89,1025.58,70.69,102.56
43,-17431541158969028608.00,443159129096230207488.00,-5810513719656342528.00,147719709698743402496.00,-11.63,11.88,-1.29,1.32,-0.00,0.00,0.00,0.00,-11.93,65.32,-3.98,21.77,0.78,1.13,0.07,0.10
44,-23242054878625372.00,590878838794973568.00,-5810513719656343.00,147719709698743392.00,-0.01,0.01,-0.00,0.00,-1151543379806772959117312.00,1176806465057378340438016.00,-1151543379806772959117312.00,1176806465057378340438016.00,-0.02,0.09,-0.00,0.02,2.41,3.27,2.41,3.27
45,-29052568598281.71,738598548493717.00,-5810513719656.34,147719709698743.41,-978319088922561.62,24230634235218676.00,-978319088922561.62,24230634235218676.00,-2303086759613545840640.00,2353612930114756804608.00,-1151543379806772920320.00,1176806465057378402304.00,-0.00,-0.00,-0.00,-0.00,0.01,0.01,0.00,0.00
46,-34863082317.94,886318258192.46,-5810513719.66,147719709698.74,-1956638177845.12,48461268470437.35,-978319088922.56,24230634235218.68,-3454630139420318720.00,3530419395172134912.00,-1151543379806772992.00,1176806465057378304.00,1045819474158413179871297536.00,1390026034130930991299035136.00,1045819474158413179871297536.00,1390026034130930991299035136.00,0.00,0.00,0.00,0.00
47,-40673596.04,1034037967.89,-5810513.72,147719709.70,-2934957266.77,72691902705.66,-978319088.92,24230634235.22,-4606173519227092.00,4707225860229513.00,-1151543379806773.00,1176806465057378.25,2091638948316826329677824.00,2780052068261862167281664.00,1045819474158413164838912.00,1390026034130931083640832.00,0.00,0.00,0.00,0.00
48,-46484.11,1181757.68,-5810.51,147719.71,-3913276.36,96922536.94,-978319.09,24230634.24,-5757716899033.87,5884032325286.89,-1151543379806.77,1176806465057.38,3137458422475239456768.00,4170078102392793464832.00,1045819474158413152256.00,1390026034130931154944.00,0.00,0.00,0.00,0.00
49,-52.29,1329.48,-5.81,147.72,-4891.60,121153.17,-978.32,24230.63,-6909260278.84,7060838790.34,-1151543379.81,1176806465.06,4183277896633652736.00,5560104136523724800.00,1045819474158413184.00,1390026034130931200.00,0.00,0.00,0.00,0.00
50,-0.06,1.48,-0.01,0.15,-5.87,145.38,-0.98,24.23,-8060803.66,8237645.26,-1151543.38,1176806.47,5229097370792066.00,6950130170654656.00,1045819474158413.25,1390026034130931.25,0.05,-1.26,0.05,-1.26
51,-0.00,0.02,-0.00,0.02,-0.01,0.17,-0.00,0.02,-9212.35,9414.45,-1151.54,1176.81,6274916844950.48,8340156204785.59,1045819474158.41,1390026034130.93,0.15,-3.85,0.15,-3.84
52,-126580692878.95,3122828879636.89,-126580692878.95,3122828879636.89,-0.00,0.00,-0.00,0.00,-10.36,10.59,-1.15,1.18,7320736319.11,9730182238.92,1045819474.16,1390026034.13,0.00,-0.01,0.00,-0.01
53,-253161385.76,6245657759.27,-126580692.88,3122828879.64,42222972543932289064632320.00,-1071427982291916407321919488.00,42222972543932289064632320.00,-1071427982291916407321919488.00,-0.01,0.01,-0.00,0.00,8366555.79,11120208.27,1045819.47,1390026.03,-20846135544438474145792.00,37454683782649072320512.00,-20846135544438474145792.00,37454683782649072320512.00
54,-379742.08,9368486.64,-126580.69,3122828.88,84445945087864577458176.00,-2142855964583832735186944.00,42222972543932288729088.00,-1071427982291916367593472.00,-0.00,0.00,-0.00,0.00,9412.38,12510.23,1045.82,1390.03,-41692271088876945408.00,74909367565298139136.00,-20846135544438472704.00,37454683782649069568.00
55,-506.32,12491.32,-126.58,3122.83,126668917631796871168.00,-3214283946875749400576.00,42222972543932293120.00,-1071427982291916423168.00,-0.00,0.00,-0.00,0.00,10.46,13.90,1.05,1.39,-62538406633315416.00,112364051347947216.00,-20846135544438472.00,37454683782649072.00
56,-0.63,15.61,-0.13,3.12,168891890175729184.00,-4285711929167665664.00,42222972543932296.00,-1071427982291916416.00,-0.00,-0.00,-0.00,-0.00,0.01,0.02,0.00,0.00,-83384542177753.89,149818735130596.28,-20846135544438.47,37454683782649.07
57,-0.00,0.02,-0.00,0.00,211114862719661.50,-5357139911459582.00,42222972543932.30,-1071427982291916.50,570974504180421417238528.00,2183896611151687874248704.00,570974504180421417238528.00,2183896611151687874248704.00,-198437044684267384989548544.00,55771664296782131735035904.00,-198437044684267384989548544.00,55771664296782131735035904.00,-104230677722.19,187273418913.25,-20846135544.44,37454683782.65
58,-0.00,0.00,-0.00,0.00,253337835263.59,-6428567893751.50,42222972543.93,-1071427982291.92,1141949008360842854400.00,4367793222303375949824.00,570974504180421427200.00,2183896611151687974912.00,-396874089368534770515968.00,111543328593564265349120.00,-198437044684267385257984.00,55771664296782132674560.00,-125076813.27,224728102.70,-20846135.54,37454683.78
59,-0.00,0.00,-0.00,0.00,295560807.81,-7499995876.04,42222972.54,-1071427982.29,1712923512541264384.00,6551689833455064064.00,570974504180421440.00,2183896611151687936.00,-595311134052802101248.00,167314992890346405888.00,-198437044684267388928.00,55771664296782135296.00,-145922.95,262182.79,-20846.14,37454.68
60,-0.00,0.00,-0.00,0.00,337783.78,-8571423.86,42222.97,-1071427.98,2283898016721686.00,8735586444606752.00,570974504180421.50,2183896611151688.00,-793748178737069568.00,223086657187128544.00,-198437044684267392.00,55771664296782136.00,-166.77,299.64,-20.85,37.45
61,-0.00,0.00,-0.00,0.00,380.01,-9642.85,42.22,-1071.43,2854872520902.11,10919483055758.44,570974504180.42,2183896611151.69,-992185223421337.00,278858321483910.69,-198437044684267.41,55771664296782.14,-0.19,0.34,-0.02,0.04
62,-5558369.37,9986837.44,-5558369.37,9986837.44,0.42,-10.71,0.04,-1.07,3425847025.08,13103379666.91,570974504.18,2183896611.15,-1190622268105.60,334629985780.69,-198437044684.27,55771664296.78,-0.00,0.00,-0.00,0.00
63,-11116.74,19973.67,-5558.37,9986.84,0.00,-0.01,0.00,-0.00,3996821.53,15287276.28,570974.50,2183896.61,-1389059312.79,390401650.08,-198437044.68,55771664.30,20392203572641992907161600.00,-368521177890622902967992320.00,20392203572641992907161600.00,-368521177890622902967992320.00
64,-16.68,29.96,-5.56,9.99,0.00,-0.00,0.00,-0.00,4567.80,17471.17,570.97,2183.90,-1587496.36,446173.31,-198437.04,55771.66,40784407145283990847488.00,-737042355781245822042112.00,20392203572641995423744.00,-368521177890622911021056.00
65,-0.02,0.04,-0.01,0.01,-6102887014687711232.00,10968463543887855616.00,-6102887014687711232.00,10968463543887855616.00,5.14,19.66,0.57,2.18,-1785.93,501.94,-198.44,55.77,61176610717925990400.00,-1105563533671868792832.00,20392203572641996800.00,-368521177890622930944.00
66,-0.00,0.00,-0.00,0.00,-12205774029375422.00,21936927087775712.00,-6102887014687711.00,10968463543887856.00,0.01,0.02,0.00,0.00,-1.98,0.56,-0.20,0.06,81568814290567984.00,-1474084711562491648.00,20392203572641996.00,-368521177890622912.00
67,31682572546245528649728.00,120318631854347168776192.00,31682572546245528649728.00,120318631854347168776192.00,-18308661044063.13,32905390631663.57,-6102887014687.71,10968463543887.86,0.14,-0.04,0.14,-0.04,-0.09,0.03,-0.09,0.02,101961017863209.98,-1842605889453114.75,20392203572642.00,-368521177890622.94
68,63365145092491059200.00,240637263708694347776.00,31682572546245529600.00,120318631854347173888.00,-24411548058.75,43873854175.55,-6102887014.69,10968463543.89,-4720832631.75,1290821790.03,-4720832631.75,1290821790.03,-0.00,0.00,-0.00,0.00,122353221435.85,-2211127067343.74,20392203572.64,-368521177890.62
69,95047717638736592.00,360955895563041536.00,31682572546245532.00,120318631854347184.00,-30514435.07,54842317.72,-6102887.01,10968463.54,-9441665.26,2581643.58,-4720832.63,1290821.79,-0.00,0.00,-0.00,0.00,142745425.01,-2579648245.23,20392203.57,-368521177.89
70,126730290184982.12,481274527417388.75,31682572546245.53,120318631854347.19,-36617.32,65810.78,-6102.89,10968.46,-14162.50,3872.47,-4720.83,1290.82,-0.00,0.00,-0.00,0.00,163137.63,-2948169.42,20392.20,-368521.18
71,158412862731.23,601593159271.74,31682572546.25,120318631854.35,-42.72,76.78,-6.10,10.97,-18.88,5.16,-4.72,1.29,0.00,-0.00,0.00,-0.00,183.53,-3316.69,20.39,-368.52
72,190095435.28,721911791.13,31682572.55,120318631.85,-0.05,0.09,-0.01,0.01,-0.02,0.01,-0.00,0.00,-41037507375893177171968.00,11220925153766570721280.00,-41037507375893177171968.00,11220925153766570721280.00,0.20,-3.69,0.02,-0.37
73,221778.01,842230.42,31682.57,120318.63,1155711733984773.50,-3725459444741600.50,1155711733984773.50,-3725459444741600.50,-0.00,0.00,-0.00,0.00,-82075014751786352640.00,22441850307533139968.00,-41037507375893176320.00,11220925153766569984.00,0.00,-0.01,0.00,-0.00
74,253.46,962.55,31.68,120.32,2311423467969.55,-7450918889483.20,1155711733984.77,-3725459444741.60,901705645670314074951385088.00,-14995810265625471516938338304.00,901705645670314074951385088.00,-14995810265625471516938338304.00,-123112522127679520.00,33662775461299712.00,-41037507375893176.00,11220925153766570.00,0.00,-0.00,0.00,-0.00
75,0.29,1.08,0.03,0.12,3467135201.95,-11176378334.22,1155711733.98,-3725459444.74,1803411291340628285194240.00,-29991620531250945404698624.00,901705645670314142597120.00,-14995810265625472702349312.00,-164150029503572.69,44883700615066.28,-41037507375893.18,11220925153766.57,0.04,0.15,0.04,0.15
76,-11.95,-45.39,-11.95,-45.40,4622846.94,-14901837.78,1155711.73,-3725459.44,2705116937010942574592.00,-44987430796876421529600.00,901705645670314147840.00,-14995810265625473843200.00,-205187536879.47,56104625768.83,-41037507375.89,11220925153.77,0.00,0.00,0.00,0.00
77,-0.02,-0.09,-0.01,-0.05,5778.56,-18627.30,1155.71,-3725.46,3606822582681256448.00,-59983241062501900288.00,901705645670314112.00,-14995810265625475072.00,-246225044.26,67325550.92,-41037507.38,11220925.15,-265884983640376.84,-1009730628852257.50,-265884983640376.84,-1009730628852257.50
78,-0.00,-0.00,-0.00,-0.00,6.93,-22.35,1.16,-3.73,4508528228351571.00,-74979051328127376.00,901705645670314.12,-14995810265625476.00,-287262.55,78546.48,-41037.51,11220.93,-531769967280.75,-2019461257704.52,-265884983640.38,-1009730628852.26
79,-0.00,-0.00,-0.00,-0.00,0.01,-0.03,0.00,-0.00,5410233874021.89,-89974861593752.84,901705645670.31,-14995810265625.48,-328.30,89.77,-41.04,11.22,-797654950.92,-3029191886.56,-265884983.64,-1009730628.85
80,3033921932191011962880.00,-9779780964225780809728.00,3033921932191011962880.00,-9779780964225780809728.00,0.00,-0.00,0.00,-0.00,6311939519.69,-104970671859.38,901705645.67,-14995810265.63,-0.37,0.10,-0.04,0.01,-1063539.93,-4038922.52,-265884.98,-1009730.63
81,6067843864382023680.00,-19559561928451563520.00,3033921932191011840.00,-9779780964225781760.00,-12150725.51,3323281.88,-12150725.51,3323281.88,7213645.17,-119966482.13,901705.65,-14995810.27,-0.00,0.00,-0.00,0.00,-1329.42,-5048.65,-265.88,-1009.73
82,9101765796573036.00,-29339342892677344.00,3033921932191012.00,-9779780964225782.00,-24301.45,6646.56,-12150.73,3323.28,8115.35,-134962.29,901.71,-14995.81,-0.00,0.00,-0.00,0.00,-1.60,-6.06,-0.27,-1.01
83,12135687728764.05,-39119123856903.12,3033921932191.01,-9779780964225.78,-36.45,9.97,-12.15,3.32,9.02,-149.96,0.90,-15.00,0.00,0.00,0.00,0.00,-0.00,-0.01,-0.00,-0.00
84,15169609660.96,-48898904821.13,3033921932.19,-9779780964.23,-0.05,0.01,-0.01,0.00,0.01,-0.16,0.00,-0.01,-57535801898752404079557738496.00,-218499278126992190107983806464.00,-57535801898752404079557738496.00,-218499278126992190107983806464.00,-2789739673219713024.00,1219319835962273792.00,-2789739673219713024.00,1219319835962273792.00
85,18203531.59,-58678685.79,3033921.93,-9779780.96,41978489548.50,-127859342137.97,41978489548.50,-127859342137.97,0.00,-0.00,0.00,-0.00,-115071603797504803211313152.00,-436998556253984404405223424.00,-57535801898752401605656576.00,-218499278126992202202611712.00,-5579479346439426.00,2438639671924547.50,-2789739673219713.00,1219319835962273.75
86,21237.45,-68458.47,3033.92,-9779.78,83956979.10,-255718684.28,41978489.55,-127859342.14,0.00,-0.00,0.00,-0.00,-172607405696257221459968.00,-655497834380976698949632.00,-57535801898752404357120.00,-218499278126992221798400.00,-8369219019659.14,3657959507886.82,-2789739673219.71,1219319835962.27
87,24.27,-78.24,3.03,-9.78,125935.47,-383578.03,41978.49,-127859.34,0.00,-0.00,0.00,-0.00,-230143207595009638400.00,-873997112507968913408.00,-57535801898752409600.00,-218499278126992228352.00,-11158958692.88,4877279343.85,-2789739673.22,1219319835.96
88,0.03,-0.09,0.00,-0.01,167.91,-511.44,41.98,-127.86,411290524513794.88,-1325786003915781.00,411290524513794.88,-1325786003915781.00,-287679009493762048.00,-1092496390634961152.00,-57535801898752408.00,-218499278126992224.00,-13948698.37,6096599.18,-2789739.67,1219319.84
89,0.00,-0.00,0.00,-0.00,0.21,-0.64,0.04,-0.13,822581049027.59,-2651572007831.56,411290524513.79,-1325786003915.78,-345214811392514.50,-1310995668761953.25,-57535801898752.41,-218499278126992.22,-16738.44,7315.92,-2789.74,1219.32
90,2468.54,-7518.69,2468.54,-7518.69,0.00,-0.00,0.00,-0.00,1233871573.54,-3977358011.75,411290524.51,-1325786003.92,-402750613291.27,-1529494946888.95,-57535801898.75,-218499278126.99,-19.53,8.54,-2.79,1.22
91,4.94,-15.04,2.47,-7.52,0.00,-0.00,0.00,-0.00,1645162.10,-5303144.02,411290.52,-1325786.00,-460286415.19,-1747994225.02,-57535801.90,-218499278.13,-0.02,0.01,-0.00,0.00
92,0.01,-0.02,0.00,-0.01,-21731595812639059476480.00,-41843921481912836685824.00,-21731595812639059476480.00,-41843921481912836685824.00,2056.45,-6628.93,411.29,-1325.79,-517822.22,-1966493.50,-57535.80,-218499.28,14434767625145649152.00,-15691203513772089344.00,14434767625145649152.00,-15691203513772089344.00
93,0.00,-0.00,0.00,-0.00,-43463191625278119936.00,-83687842963825672192.00,-21731595812639059968.00,-41843921481912836096.00,2.47,-7.95,0.41,-1.33,-575.36,-2184.99,-57.54,-218.50,28869535250291300.00,-31382407027544180.00,14434767625145650.00,-15691203513772090.00
94,-0.00,0.00,-0.00,0.00,-65194787437917184.00,-125531764445738528.00,-21731595812639060.00,-41843921481912840.00,0.00,-0.01,0.00,-0.00,-0.63,-2.40,-0.06,-0.22,43304302875436.95,-47073610541316.27,14434767625145.65,-15691203513772.09
95,2019065202724670949591875584.00,-6508414026512901051928018944.00,2019065202724670949591875584.00,-6508414026512901051928018944.00,-86926383250556.25,-167375685927651.38,-21731595812639.06,-41843921481912.84,0.01,0.04,0.01,0.04,-0.01,-0.04,-0.01,-0.04,57739070500.58,-62764814055.09,14434767625.15,-15691203513.77
96,4038130405449342186946560.00,-13016828053025801554100224.00,2019065202724671093473280.00,-6508414026512900777050112.00,-108657979063.20,-209219607409.56,-21731595812.64,-41843921481.91,-2071876448253364.25,-7831175861869445.00,-2071876448253364.25,-7831175861869445.00,-0.00,-0.00,-0.00,-0.00,72173838.13,-78456017.57,14434767.63,-15691203.51
97,6057195608174013448192.00,-19525242079538703237120.00,2019065202724671062016.00,-6508414026512901079040.00,-130389574.88,-251063528.89,-21731595.81,-41843921.48,-4143752896506.73,-15662351723738.89,-2071876448253.36,-7831175861869.45,-0.00,-0.00,-0.00,-0.00,86608.61,-94147.22,14434.77,-15691.20
