//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,-73.00,-87.00,6.00,6.00,91.00,-34.00,7.00,-5.00,80.00,-58.00,3.00,6.00,-49.00,6.00,1.00,9.00,-56.00,-41.00,5.00,9.00
100,527.00,513.00,6.00,6.00,791.00,-534.00,7.00,-5.00,380.00,542.00,3.00,6.00,51.00,906.00,1.00,9.00,444.00,859.00,5.00,9.00
200,1127.00,1113.00,6.00,6.00,1491.00,-1034.00,7.00,-5.00,680.00,1142.00,3.00,6.00,151.00,1806.00,1.00,9.00,944.00,1759.00,5.00,9.00
300,1727.00,1713.00,6.00,6.00,2191.00,-1534.00,7.00,-5.00,980.00,1742.00,3.00,6.00,251.00,2706.00,1.00,9.00,1444.00,2659.00,5.00,9.00
400,2327.00,2313.00,6.00,6.00,2891.00,-2034.00,7.00,-5.00,1280.00,2342.00,3.00,6.00,351.00,3606.00,1.00,9.00,1944.00,3559.00,5.00,9.00
500,2927.00,2913.00,6.00,6.00,3591.00,-2534.00,7.00,-5.00,1580.00,2942.00,3.00,6.00,451.00,4506.00,1.00,9.00,2444.00,4459.00,5.00,9.00
600,3527.00,3513.00,6.00,6.00,4291.00,-3034.00,7.00,-5.00,1880.00,3542.00,3.00,6.00,551.00,5406.00,1.00,9.00,2944.00,5359.00,5.00,9.00
700,4127.00,4113.00,6.00,6.00,4991.00,-3534.00,7.00,-5.00,2180.00,4142.00,3.00,6.00,651.00,6306.00,1.00,9.00,3444.00,6259.00,5.00,9.00
800,4727.00,4713.00,6.00,6.00,5691.00,-4034.00,7.00,-5.00,2480.00,4742.00,3.00,6.00,751.00,7206.00,1.00,9.00,3944.00,7159.00,5.00,9.00
900,5327.00,5313.00,6.00,6.00,6391.00,-4534.00,7.00,-5.00,2780.00,5342.00,3.00,6.00,851.00,8106.00,1.00,9.00,4444.00,8059.00,5.00,9.00
